dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,107.0524,128,1.0,1.0,1175.0,1176.0,0.9991,0.3787
cuda,huggingface,MobileBertForQuestionAnswering,67.818,32,1.0,1.0,1653.0,1653.0,1.0,0.9991
cuda,huggingface,MobileBertForMaskedLM,67.615,16,1.0,1.0,1621.0,1621.0,1.0,0.9992
cuda,timm_models,nasnetalarge,29.9915,16,1.0,1.0,1530.0,1530.0,1.0,0.9996
cuda,timm_models,pnasnet5large,22.6583,16,1.0,1.0,1153.0,1153.0,1.0,0.9994
cuda,timm_models,hrnet_w18,18.9697,128,1.0,1.0,1471.0,1471.0,1.0,0.9993
cuda,timm_models,dpn107,17.5242,64,1.0,1.0,913.0,913.0,1.0,0.9987
cuda,huggingface,MegatronBertForQuestionAnswering,16.9645,8,1.0,1.0,780.0,780.0,1.0,0.9985
cuda,huggingface,MegatronBertForCausalLM,16.7404,8,1.0,1.0,774.0,774.0,1.0,0.9984
cuda,timm_models,tf_mixnet_l,16.2341,128,1.0,1.0,489.0,489.0,1.0,0.9985
cuda,torchbench,yolov3,15.8491,16,5.0,3.0,328.0,329.0,0.997,0.9969
cuda,huggingface,XLNetLMHeadModel,14.766,8,1.0,1.0,985.0,985.0,1.0,0.9993
cuda,torchbench,vision_maskrcnn,14.2378,4,245.0,265.0,3991.0,12173.0,0.3279,0.4714
cuda,huggingface,MT5ForConditionalGeneration,13.4679,4,1.0,1.0,1240.0,1240.0,1.0,0.9991
cuda,timm_models,mixnet_l,12.4151,128,1.0,1.0,474.0,474.0,1.0,0.9986
cuda,torchbench,timm_regnet,11.1763,32,1.0,1.0,447.0,447.0,1.0,0.9986
cuda,huggingface,MBartForConditionalGeneration,10.5239,8,1.0,1.0,1324.0,1324.0,1.0,0.9992
cuda,torchbench,maml,10.3199,1,23.0,23.0,751.0,1198.0,0.6269,0.581
cuda,huggingface,BartForConditionalGeneration,10.3052,2,1.0,1.0,1318.0,1318.0,1.0,0.9989
cuda,timm_models,swin_base_patch4_window7_224,9.8863,64,1.0,1.0,1414.0,1414.0,1.0,0.9985
cuda,torchbench,hf_Longformer,9.8444,1,4.0,4.0,3329.0,3331.0,0.9994,0.995
cuda,timm_models,dm_nfnet_f0,9.6731,128,1.0,1.0,590.0,590.0,1.0,0.9986
cuda,huggingface,AllenaiLongformerBase,9.6682,1,4.0,4.0,3304.0,3305.0,0.9997,0.995
cuda,timm_models,fbnetv3_b,9.54,128,1.0,1.0,456.0,456.0,1.0,0.9982
cuda,timm_models,gluon_senet154,9.3319,64,1.0,1.0,979.0,979.0,1.0,0.9993
cuda,torchbench,timm_nfnet,9.3076,128,1.0,1.0,590.0,590.0,1.0,0.9988
cuda,huggingface,YituTechConvBert,8.3476,1,1.0,1.0,681.0,681.0,1.0,0.9981
cuda,timm_models,cait_m36_384,8.291,4,1.0,1.0,1366.0,1366.0,1.0,0.9989
cuda,torchbench,hf_BigBird,7.9576,1,64.0,75.0,5499.0,5571.0,0.9871,0.9702
cuda,timm_models,resnest101e,7.8402,64,1.0,1.0,1012.0,1012.0,1.0,0.9992
