dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.614536,6.780119,2.381429,10.170290,4.076209,1.553494,0.311464,8.992551,6.059416
cuda,Background_Matting,4,1.707266,5.644773,2.671634,9.664753,5.055402,2.165994,0.221379,6.781787
cuda,LearningToPaint,96,0.688024,2.798480,0.944927,3.969829,1.374409,0.530898,0.075641,2.153526
cuda,Super_SloMo,6,1.959319,8.212367,2.954062,11.012809,5.828640,2.150283,0.136705,5.843243
cuda,alexnet,128,0.132446,1.698239,0.224740,3.039944,0.909393,0.276799,0.015506,1.573133
cuda,attention_is_all_you_need_pytorch,256,2.243166,7.442312,2.244372,9.943118,4.175180,1.674426,0.346102,9.553133,5.081272
cuda,dcgan,32,0.146313,1.361406,0.198451,1.993679,0.191975,0.082709,0.012557,0.838552
cuda,demucs,4,0.310677
cuda,densenet121,4,3.993016,15.213059,6.882558,22.188460,12.935055,4.131143,0.659037,14.112094
cuda,drq,1,0.250455,1.845222,0.151168,2.949038,0.169871,0.084962,0.015162,1.263569
cuda,fastNLP_Bert,6,2.727943,8.322624,2.079656,11.246859,3.571383,1.610670,0.289930,4.331728,5.291551
cuda,functorch_dp_cifar10,64,0.395019,3.252140,1.499490,5.721586,2.096761,0.677063,0.075534,4.012553,3.318132
cuda,hf_Albert,8,2.229914,3.775088,1.943701,7.021654,3.162264,1.113099,0.145607,5.280163,2.963969
cuda,hf_Bart,4,3.232828,8.483346,3.313735,12.637656,4.368738,1.954952,0.405095,4.151671,7.599326
cuda,hf_Bert,4,2.659809,4.900102,2.272684,7.451059,3.167442,1.439641,0.285808,4.918402,0.406852
cuda,hf_DistilBert,8,1.195007,2.961628,1.288606,5.162375,1.577419,0.792818,0.121614,3.540834,1.869910
cuda,hf_GPT2,4,2.694826,5.063260,2.195111,7.966010,3.377685,1.386556,0.251999,5.186964,1.825356
cuda,hf_GPT2_large,4,9.092891,14.578864,8.446730,21.048576,10.976602,4.042796,1.313966,15.187034,1.352450
cuda,hf_Longformer,2,8.959867,93.949306,7.727038,99.781018,78.606450,4.365393,0.394518,0.733421,13.858203
cuda,hf_Reformer,4,2.299155,8.185887,0.764578,9.098114,1.552745,0.601929,0.052091,3.175488,1.713966
cuda,hf_T5,8,3.502066,7.029923,2.627614,10.683524,4.099545,1.541509,0.287545,5.928347,6.406667
cuda,hf_T5_large,2,17.225700,22.227743,10.399172,36.212808,19.607070,5.748902,2.298861,23.835665,24.872799
cuda,lennard_jones,1000,0.105736,0.995435,0.079033,1.563852,0.073371,0.046324,0.006629,0.651947
cuda,mnasnet1_0,32,1.582858,6.346434,2.373571,8.760624,3.818432,1.512421,0.213038,5.050034,2.425813
cuda,mobilenet_v2,96,1.662779,6.773196,2.703157,8.565676,3.928641,1.612498,0.249166,4.592818
cuda,mobilenet_v3_large,32,1.742481,6.554057,2.588142,9.788813,4.260378,1.666357,0.245406,6.170455,30.312219
cuda,nvidia_deeprecommender,256,0.177547,1.255656,0.133352,2.389203,0.126669,0.074126,0.010380,1.273281,0.439119
cuda,pytorch_CycleGAN_and_pix2pix,1,0.663349,2.099262,0.980124,4.582088,1.829199,0.658699,0.061944,3.497074
cuda,pytorch_stargan,16,0.656846,3.302581,0.981002,4.781021,1.240782,0.789846,0.060548,27.334735,2.503877
cuda,pytorch_struct,200,0.290836,1.247549,0.182474,2.805135,0.233971,0.133867,0.022378,1.751331,18.422653
cuda,pytorch_unet,1,0.839477,3.550339,1.219235,5.491542,2.135160,0.861146,0.084663,3.204770
cuda,resnet152,32,4.793884,11.779340,7.701269,15.535555,8.565921,3.220152,0.929669,11.740239,2.375265
cuda,resnet18,16,0.677593,3.434526,1.121784,4.856078,1.778713,0.648583,0.073281,2.581874,2.379902
cuda,resnet50,32,1.672514,5.366264,2.293792,7.734324,3.508420,1.337725,0.213456,4.755256,2.461945
