dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,5.325846,20.706152,1.957086,23.506540,3.887484,1.386398,0.278863,0.000008,4.887846
cuda,Background_Matting,4,4.297798,5.645868,1.255115,10.703875,4.402814,1.919386,0.193362,17.929602,24.332358
cuda,LearningToPaint,96,1.131950,3.812134,0.571830,6.222646,1.686999,0.593248,0.074362,21.289380,24.311116
cuda,Super_SloMo,6,2.741858,6.906639,1.323853,8.233778,4.307575,1.589971,0.104995,0.370180,3.100049
cuda,alexnet,128,0.217866,1.451492,0.125583,2.143064,0.434842,0.187889,0.013691,0.122727,0.947242
cuda,attention_is_all_you_need_pytorch,256,4.844814,9.160052,2.067813,12.096513,3.744597,1.608680,0.325946,19.992330,25.127853
cuda,dcgan,32,0.186352,1.282846,0.120843,1.888173,0.175555,0.071311,0.012092,0.105682,0.840420
cuda,demucs,4,0.811157
cuda,densenet121,4,14.257059,18.026068,3.686187,27.260844,14.573262,4.545459,0.696765,58.615486,71.829678
cuda,drq,1,0.315033,1.555946,0.090235,2.562712,0.147224,0.065423,0.014380,0.262808,1.370771
cuda,fastNLP_Bert,6,5.389218,21.337507,1.530004,24.199512,3.999836,1.482414,0.270428,12.950574,17.460002
cuda,functorch_dp_cifar10,64,0.858834,4.065797,0.626037,6.417905,2.220125,0.645604,0.071255,41.473902,44.499481
cuda,hf_Albert,8,1.615649,3.442647,1.514855,6.030425,2.469336,1.004305,0.140972,23.615173,27.814157
cuda,hf_Bart,4,7.820642,7.780931,1.790256,11.845083,4.709598,1.683479,0.359627,19.443253,25.442820
cuda,hf_Bert,4,5.545501,6.271402,1.472551,8.496677,3.389441,1.323861,0.267757,1.823151,5.635785
cuda,hf_BigBird,2,12.794554,6.231104,1.358406,8.929227,2.567614,1.193158,0.224430,12.605376,16.852401
cuda,hf_DistilBert,8,1.926998,3.176784,1.034722,4.623384,1.646652,0.706400,0.116694,8.589553,11.131838
cuda,hf_GPT2,4,3.956099,14.080720,1.362341,16.403474,3.107844,1.223826,0.221493,10.559913,14.341318
cuda,hf_Reformer,4,3.613425,7.187752,0.550743,7.808558,1.175332,0.595974,0.063635,10.099118,11.373628
cuda,hf_T5,8,4.561499,8.465962,1.538202,21.581687,4.074827,1.389823,0.267589,12.658924,27.442260
cuda,hf_T5_large,2,38.611816,42.307079,5.665338,662.136141,20.227551,5.497587,1.944324,27.662601,654.670725
cuda,lennard_jones,1000,0.157089,1.115575,0.056565,1.685965,0.071462,0.040442,0.006520,0.121897,0.755289
cuda,mnasnet1_0,32,3.442622,6.209568,1.433899,11.360884,5.069514,1.871096,0.220957,345.379827,352.068634
cuda,mobilenet_v2,96,3.483631,6.680862,1.540124,11.747440,5.388246,2.018552,0.248641,222.631024,229.337130
cuda,mobilenet_v3_large,32,3.933843,6.881812,1.554564,12.024676,5.410722,2.006301,0.249081,261.049710,267.849791
