dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.721592,12.955319,5.394661,2.520985,8.292642,3.812825,1.542178,0.323089,0.000005,5.720517
cuda,Background_Matting,4,1.756494,12.264933,5.757989,2.434076,10.035303,5.406726,2.181140,0.227160,0.495049,7.307682
cuda,LearningToPaint,96,0.729357,5.607532,2.806956,0.967052,3.760182,1.172740,0.539551,0.077316,0.242887,2.202046
cuda,Super_SloMo,6,2.152874,14.957350,8.568442,3.020567,11.485742,6.107672,2.213943,0.151249,0.377560,6.406167
cuda,alexnet,128,0.137983,2.077948,1.715786,0.223295,2.966454,0.793252,0.277720,0.015599,0.139556,1.620300
cuda,attention_is_all_you_need_pytorch,256,2.285676,14.928689,7.271650,2.581302,9.931172,4.300164,1.731475,0.371941,0.481703,1.089247,5.846855
cuda,dcgan,32,0.138801,1.816330,1.341284,0.192912,1.985855,0.192048,0.082148,0.012646,0.112807,0.958279
cuda,demucs,4,0.309490
cuda,densenet121,4,4.106404,32.749482,15.235743,6.313802,23.699553,13.482079,5.109978,0.656248,0.601681,15.666954
cuda,dlrm,1024,0.260149,1.664716,1.191108,0.174842,2.139384,0.376108,0.125507,0.015233,0.118930,1.250412
cuda,drq,1,0.241004,2.323914,1.866268,0.145586,2.927731,0.168221,0.083053,0.015391,0.259433,1.475022
cuda,fastNLP_Bert,6,2.713912,15.297304,8.810216,2.226038,12.005628,3.739802,1.587885,0.303850,0.802580,4.613565,6.330517
cuda,functorch_dp_cifar10,64,0.401833,5.664192,3.285939,1.368851,5.758308,2.141487,0.693898,0.074130,3.324108,7.210119,3.164912
cuda,hf_Albert,8,2.259867,10.934730,4.565567,2.114301,8.277908,3.312539,1.178915,0.172575,3.214926,3.232248,9.135859
cuda,hf_Bart,4,3.235728,17.346036,8.314421,3.162966,12.722624,4.553592,2.011376,0.451878,3.254067,3.949668,10.963775
