,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.08x,1.00x,1.00x
aot_nvfuser,aot_nvfuser,1.16x,0.0x,1.19x
inductor,inductor,1.75x,2.12x,1.47x
