dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForQuestionAnswering,4,11.068695,9.523705,3.779577,1.811692,8.038733,2.817602,1.053151,0.138253,1.113070,7.265724,0.513848
cuda,BartForCausalLM,4,16.669705,13.524280,7.167555,2.187791,10.196730,3.574142,1.483962,0.271022,1.393876,1.508554,6.716720
cuda,BartForConditionalGeneration,2,42.678753,34.786361,17.958514,6.990994,22.400744,9.170619,3.691846,0.966694,0.629707,1.184011,12.336364
cuda,BertForMaskedLM,16,15.951524,12.736540,5.892398,2.497036,8.542630,3.510779,1.514297,0.275757,2.005090,7.265722,1.415937
cuda,BertForQuestionAnswering,16,15.941279,12.770605,5.941808,2.267623,8.508124,3.502141,1.499498,0.268371,1.532853,6.661077,1.011121
cuda,BlenderbotSmallForCausalLM,64,10.892883,8.874591,4.349853,1.638654,6.370124,2.141663,1.017346,0.166839,2.504827,6.238788,2.093232
cuda,BlenderbotSmallForConditionalGeneration,64,27.127198,22.063591,11.045410,3.713053,14.503164,6.263350,2.484617,0.539489,2.069878,1.799603,9.420237
cuda,CamemBert,16,16.152423,12.861009,5.894439,2.523126,8.352944,3.551020,1.519325,0.272044,0.877090,5.970619,0.341128
cuda,DebertaForMaskedLM,4,29.056933,22.434256,13.860690,2.988755,17.220775,4.299460,2.131851,0.352672,15.009470,0.848401,21.621174
cuda,DebertaForQuestionAnswering,8,28.900551,22.279536,13.677970,2.937037,17.207540,4.221928,2.102054,0.361838,15.864009,1.782647,22.589768
cuda,DebertaV2ForMaskedLM,1,43.599847,31.609739,17.589808,4.166537,20.208902,5.029597,2.678366,0.611115,33.165012,1.511291,40.384753
