dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.626337,14.184956,6.933578,2.452394,10.289637,4.067059,1.573093,0.309409,0.000006,9.050454,6.097775
cuda,Background_Matting,4,1.709590,11.964041,5.671517,2.431754,9.728201,5.133578,2.164815,0.222761,0.438047,7.023121
cuda,LearningToPaint,96,0.712159,5.388815,2.798888,0.953205,3.702074,1.156806,0.538963,0.076417,0.244579,2.139769
cuda,Super_SloMo,6,1.982680,14.243384,8.293207,3.016551,11.294433,5.886055,2.188284,0.138122,0.403684,6.513823
cuda,alexnet,128,0.150079,2.114222,1.736589,0.232623,2.968848,0.800757,0.283890,0.015533,0.156690,1.628939
cuda,attention_is_all_you_need_pytorch,256,2.229531,14.992712,7.561858,2.277896,10.106086,4.238717,1.707295,0.353572,0.419373,9.577923,5.569839
cuda,dcgan,32,0.139028,1.791564,1.328983,0.191484,1.980842,0.191329,0.085846,0.012473,0.110580,0.961716
cuda,demucs,4,0.285315
cuda,densenet121,4,4.026062,32.460641,15.300805,6.401400,23.187977,13.182059,4.869524,0.653072,0.456374,15.009996
cuda,drq,1,0.246158,2.311385,1.852887,0.148169,3.034022,0.168772,0.083999,0.015154,0.387372,1.725986
cuda,fastNLP_Bert,6,2.806085,14.876066,8.199177,2.126226,11.249001,3.798318,1.603567,0.303762,0.833808,4.347898,6.117324
cuda,functorch_dp_cifar10,64,0.396834,5.591486,3.218340,1.343732,5.673118,2.103024,0.687444,0.072197,3.641395,7.484474,3.479632
cuda,hf_Albert,8,2.253968,10.078209,3.880059,1.999236,7.168703,3.194438,1.134984,0.145809,3.580618,8.958385,3.228505
cuda,hf_Bart,4,3.168464,17.005400,8.180485,2.914368,12.250889,4.266312,1.908473,0.398139,3.300238,4.112604,10.416105
cuda,hf_Bert,4,2.717824,11.639954,4.970676,2.017476,7.832751,3.466264,1.467752,0.290932,0.783202,5.759543,0.407453
cuda,hf_DistilBert,8,1.189555,6.448388,2.981553,1.057832,5.098952,1.564351,0.782907,0.121390,2.101862,5.328170,1.833840
cuda,hf_GPT2,4,2.618159,10.932411,4.989897,2.180547,7.938884,3.088486,1.752131,0.248740,2.088313,7.309824,1.839458
cuda,hf_Longformer,2,8.808925,106.631779,91.414747,7.219351,97.344625,75.732456,4.486924,0.400484,17.859519,0.750643,31.356985
cuda,hf_Reformer,4,2.316085,9.472421,8.248386,0.764529,9.045224,1.189360,0.605847,0.051622,2.386847,3.106240,3.988168
cuda,hf_T5,8,3.416982,14.598623,6.971335,2.305561,10.870394,4.361260,1.539865,0.289352,2.782254,5.905007,9.112028
cuda,hf_T5_large,2,17.691435,53.496667,22.501059,9.678129,37.971622,19.904253,5.859584,2.361811,3.893373,23.376811,29.554449
cuda,lennard_jones,1000,0.109011,1.254978,0.975515,0.073047,1.539073,0.072260,0.045689,0.006381,0.100347,0.741573
cuda,mnasnet1_0,32,1.559996,12.332196,6.264938,2.370552,8.672229,3.778603,1.514648,0.213530,2.827441,7.874281,2.515348
cuda,mobilenet_v2,96,1.643799,13.494604,6.704670,2.441598,8.785663,3.905145,1.922046,0.243426,0.246508,4.873876
cuda,mobilenet_v3_large,32,1.738222,13.916696,6.729745,2.593757,10.054175,4.449908,1.677473,0.246694,30.938226,36.986561,30.644935
cuda,nvidia_deeprecommender,256,0.174643,1.576682,1.177440,0.132328,2.312822,0.127518,0.074184,0.010540,0.576565,1.850773,0.446384
cuda,pytorch_CycleGAN_and_pix2pix,1,0.664630,4.372229,2.129916,0.991459,4.602898,1.681661,0.816694,0.061798,0.162438,3.661880
cuda,pytorch_stargan,16,0.659071,6.099891,3.320953,0.985956,4.599746,1.249725,0.603929,0.061396,19.692316,29.538514,22.002712
cuda,pytorch_struct,200,0.286802,1.922824,1.238037,0.179313,2.755221,0.230749,0.132755,0.022224,18.357569,20.066016,18.213779
