dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert
cuda,adv_inception_v3,128,8.181686
cuda,beit_base_patch16_224,64,4.755461
cuda,botnet26t_256,128,2.338843
cuda,cait_m36_384,2,47.333567
cuda,coat_lite_mini,128,3.314342
cuda,convit_base,32,4.103260
cuda,convmixer_768_32,32,6.979787
cuda,convnext_base,32,12.083059
cuda,crossvit_9_240,64,7.704116
cuda,cspdarknet53,64,5.860299
cuda,deit_base_distilled_patch16_224,64,3.234159
cuda,dla102,64,10.491744
cuda,dm_nfnet_f0,128,6.649833
cuda,dpn107,32,13.268893
cuda,eca_botnext26ts_256,64,2.487331
cuda,eca_halonext26ts,64,2.601020
cuda,ese_vovnet19b_dw,128,1.921632
cuda,fbnetc_100,128,5.464505
cuda,fbnetv3_b,128,12.830902
cuda,gernet_l,128,4.736088
cuda,ghostnet_100,128,8.778651
cuda,gluon_inception_v3,128,8.150672
cuda,gluon_xception65,32,14.830945
cuda,gmixer_24_224,64,8.591778
cuda,gmlp_s16_224,64,9.391500
cuda,hrnet_w18,2,99.426056
cuda,inception_v3,128,8.216970
cuda,jx_nest_base,32,10.285715
cuda,lcnet_050,128,1.898648
cuda,mixer_b16_224,64,2.857816
cuda,mixnet_l,64,13.190987
cuda,mnasnet_100,128,4.018251
cuda,mobilenetv2_100,128,4.054470
cuda,mobilenetv3_large_100,128,4.377508
cuda,mobilevit_s,32,5.757274
cuda,nfnet_l0,64,5.919521
cuda,pit_b_224,64,3.747571
cuda,pnasnet5large,16,60.255770
cuda,poolformer_m36,64,13.642153
cuda,regnety_002,128,4.685885
cuda,repvgg_a2,128,4.617878
cuda,res2net101_26w_4s,64,25.666919
cuda,res2net50_14w_8s,2,19.532409
cuda,res2next50,2,7.088420
cuda,resmlp_12_224,128,2.842716
cuda,resnest101e,32,26.221666
cuda,rexnet_100,128,6.532111
cuda,sebotnet33ts_256,64,3.755572
cuda,selecsls42b,128,2.258745
cuda,spnasnet_100,128,5.481789
cuda,swin_base_patch4_window7_224,64,12.690227
cuda,swsl_resnext101_32x16d,32,10.529897
cuda,tf_efficientnet_b0,128,5.955136
cuda,tf_mixnet_l,64,13.889160
cuda,tinynet_a,128,7.610564
cuda,tnt_s_patch16_224,64,12.601168
cuda,twins_pcpvt_base,32,26.337676
cuda,visformer_small,128,2.344071
cuda,vit_base_patch16_224,64,3.101744
cuda,volo_d1_224,64,6.934735
cuda,xcit_large_24_p8_224,5,37.129627
