dev,name,batch_size,accuracy
cuda,adv_inception_v3,2,fail_to_run
cuda,beit_base_patch16_224,2,fail_to_run
cuda,botnet26t_256,2,fail_to_run
cuda,cait_m36_384,2,fail_to_run
cuda,coat_lite_mini,2,fail_to_run
cuda,convit_base,2,fail_to_run
cuda,convmixer_768_32,2,fail_to_run
cuda,convnext_base,2,fail_to_run
cuda,crossvit_9_240,2,fail_to_run
cuda,cspdarknet53,2,fail_to_run
cuda,deit_base_distilled_patch16_224,2,fail_to_run
cuda,dla102,2,fail_to_run
cuda,dm_nfnet_f0,2,fail_to_run
cuda,dpn107,2,fail_to_run
cuda,eca_botnext26ts_256,2,fail_to_run
cuda,eca_halonext26ts,2,fail_to_run
cuda,ese_vovnet19b_dw,2,fail_to_run
cuda,fbnetc_100,2,fail_to_run
cuda,fbnetv3_b,2,fail_to_run
cuda,gernet_l,2,fail_to_run
cuda,ghostnet_100,2,fail_to_run
cuda,gluon_inception_v3,2,fail_to_run
cuda,gluon_xception65,2,fail_to_run
cuda,gmixer_24_224,2,fail_to_run
cuda,gmlp_s16_224,2,fail_to_run
cuda,hrnet_w18,2,fail_to_run
cuda,inception_v3,2,fail_to_run
cuda,jx_nest_base,2,fail_to_run
cuda,lcnet_050,2,fail_to_run
cuda,mixer_b16_224,2,fail_to_run
cuda,mixnet_l,2,fail_to_run
cuda,mnasnet_100,2,fail_to_run
cuda,mobilenetv2_100,2,fail_to_run
cuda,mobilenetv3_large_100,2,fail_to_run
cuda,mobilevit_s,2,fail_to_run
cuda,nfnet_l0,2,fail_to_run
cuda,pit_b_224,2,fail_to_run
cuda,pnasnet5large,2,fail_to_run
cuda,poolformer_m36,2,fail_to_run
cuda,regnety_002,2,fail_to_run
cuda,repvgg_a2,2,fail_to_run
cuda,res2net101_26w_4s,2,fail_to_run
cuda,res2net50_14w_8s,2,fail_to_run
cuda,res2next50,2,fail_to_run
cuda,resmlp_12_224,2,fail_to_run
cuda,resnest101e,2,fail_to_run
cuda,rexnet_100,2,fail_to_run
cuda,sebotnet33ts_256,2,fail_to_run
cuda,selecsls42b,2,fail_to_run
cuda,spnasnet_100,2,fail_to_run
cuda,swin_base_patch4_window7_224,2,fail_to_run
cuda,swsl_resnext101_32x16d,2,fail_to_run
cuda,tf_efficientnet_b0,2,fail_to_run
cuda,tf_mixnet_l,2,fail_to_run
cuda,tinynet_a,2,fail_to_run
cuda,tnt_s_patch16_224,2,fail_to_run
cuda,twins_pcpvt_base,2,fail_to_run
cuda,visformer_small,2,fail_to_run
cuda,vit_base_patch16_224,2,fail_to_run
cuda,volo_d1_224,2,fail_to_run
cuda,xcit_large_24_p8_224,2,fail_to_run
