dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.172887,6.826825,2.723387,9.435647,3.420537,1.642895,0.268392,0.000005,9.965789,5.433110
cuda,Background_Matting,4,1.399769,4.747099,1.928809,7.946268,4.052496,1.740068,0.180460,0.478786,5.675832
cuda,LearningToPaint,96,0.614998,2.527586,0.834042,3.318620,0.936278,0.449236,0.069526,0.235466,1.892259
cuda,Super_SloMo,6,1.431134,6.338302,2.123321,7.301154,3.492031,1.305433,0.092132,0.340768,3.479706
cuda,alexnet,128,0.102388,1.475492,0.171066,2.201627,0.368240,0.159658,0.011374,0.128022,1.030199
cuda,attention_is_all_you_need_pytorch,256,1.828579,21.520874,2.802490,24.316370,3.378577,1.823651,0.303178,2.456132,14.029793,8.160815
cuda,dcgan,32,0.125351,1.901270,0.160021,2.482864,0.156887,0.075237,0.010667,0.105827,2.719118,0.853756
cuda,demucs,4,0.221815
cuda,densenet121,4,3.559043,13.597595,6.802676,20.169757,11.832684,3.752354,0.580444,0.948234,14.532067
cuda,dlrm,2048,0.380634,1.030149,0.149822,2.012077,0.335158,0.106516,0.013734,0.119516,1.258108
cuda,drq,1,0.193492,1.658156,0.114171,2.640700,0.098662,0.049302,0.012169,0.374599,1.478597
cuda,fastNLP_Bert,6,2.161117,8.481135,2.546350,12.195039,2.960995,1.683632,0.253780,2.593611,6.019786,8.948243
cuda,functorch_dp_cifar10,64,0.337439,3.273400,1.164776,5.696177,1.912371,0.640490,0.059987,3.586755,5.894720,7.339834
cuda,hf_Albert,8,1.663496,3.047988,1.967986,6.729989,2.949595,1.001988,0.146015,4.490499,10.219215,3.949656
cuda,hf_Bart,4,2.412210,9.563980,3.244050,13.695676,4.962740,1.710117,0.369472,3.705283,4.217940,11.201749
cuda,hf_Bert,4,2.140219,6.527130,2.646320,8.688148,2.858640,1.238437,0.253734,2.324887,7.225889,1.815039
cuda,hf_DistilBert,8,0.897600,3.158026,1.204572,5.029337,1.512975,0.656084,0.117177,3.142931,6.267593,2.751271
cuda,hf_GPT2,4,2.055926,4.371798,1.883247,6.567484,2.697408,1.156058,0.215343,2.097042,6.256624,1.710768
cuda,hf_Reformer,4,1.999641,7.184319,0.672681,7.943407,1.061252,0.510483,0.046098,2.415578,3.543317,3.889876
cuda,hf_T5_large,2,16.832543,25.405643,15.778655,36.974866,21.452050,5.176932,2.422466,6.598675,24.030770,34.977638
cuda,lennard_jones,1000,0.075046,0.919838,0.056095,1.440000,0.040245,0.028543,0.005424,0.096771,0.676696
cuda,mnasnet1_0,32,1.371478,5.379838,2.348672,7.024247,2.724570,1.279481,0.182225,3.534360,7.605755,3.275285
cuda,mobilenet_v2,96,1.502192,6.414886,2.410282,7.490225,3.368112,1.401919,0.212090,0.434948,4.193607
cuda,mobilenet_v2_quantized_qat,96,2.449750,9.369027,4.945206,12.628680,6.444075,2.501336,0.562369,8.787585
cuda,mobilenet_v3_large,32,1.481383,5.981358,2.669029,7.961796,3.336985,1.394170,0.215700,6.302528,11.035802,6.016109
cuda,nvidia_deeprecommender,256,0.146406,1.023209,0.103435,2.078796,0.086709,0.044872,0.007980,0.527049,1.691761,0.396656
cuda,pytorch_CycleGAN_and_pix2pix,1,0.554763,2.308458,0.920052,4.170318,1.570259,0.598508,0.062269,0.198695,3.018896
cuda,pytorch_stargan,16,0.588262,2.087262,0.711507,3.490017,0.995036,0.285553,0.042617,20.584838,22.730236,20.379306
cuda,pytorch_struct,200,0.213852,1.144448,0.138059,2.434848,0.168608,0.096964,0.019267,20.486504,21.924129,20.345891
cuda,pytorch_unet,1,0.615455,2.763891,0.813896,3.921634,1.580567,0.551134,0.064007,0.218081,2.223058
cuda,resnet152,32,4.305702,10.979831,8.266476,13.438019,7.431437,2.617470,0.832134,4.137639,15.109653,3.062432
cuda,resnet18,16,0.578017,3.005623,0.863163,4.427960,1.473031,0.560867,0.062844,2.782913,5.097390,2.601646
cuda,resnet50,32,1.445094,4.779061,2.390678,6.202526,2.467737,1.116651,0.183746,3.344943,7.239441,2.954833
cuda,resnet50_quantized_qat,32,2.277483,7.752526,4.423938,11.084796,5.604069,2.077478,0.510152,7.903219,2.622738
cuda,resnext50_32x4d,8,1.460559,4.125866,2.248047,5.680721,2.095314,1.105707,0.169474,3.523200,7.405401,3.281063
cuda,shufflenet_v2_x1_0,128,1.634702,5.866835,2.281988,8.335696,3.704979,2.233528,0.265206,0.269407,5.108359
cuda,soft_actor_critic,256,0.114592,1.454230,0.054478,2.367365,0.049576,0.029320,0.005754,0.264254,1.236311
cuda,speech_transformer,32,2.630113,8.086581,2.407407,12.854494,4.040176,1.754004,0.287688,0.147319,7.438189,7.396794
cuda,squeezenet1_1,32,0.242300,1.865928,0.377032,2.558778,0.549795,0.414485,0.030099,0.135789,1.216462
cuda,timm_efficientdet,1,22.035364,18.449411,13.193442,29.871567,16.835313,4.926452,1.267528,30.657559,41.159679,55.670624
cuda,timm_efficientnet,32,2.473201,6.164247,3.018054,9.307157,3.858122,1.664024,0.272983,3.272744,9.537055,2.913635
cuda,timm_nfnet,128,2.771412,10.596444,5.753257,10.461658,5.583668,1.803753,0.300722,1.458795,7.229379,0.723101
cuda,timm_regnet,32,3.179996,5.405501,3.476005,7.183772,2.982049,1.371938,0.320070,3.856794,9.228478,3.409070
cuda,timm_resnest,32,0.818202,5.007577,1.195719,7.589130,2.717591,1.426938,0.091845,15.409902,27.481913,19.383683
