dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.228441,6.721642,2.670306,9.362704,3.813775,1.283448,0.267866,9.938687,5.413575
cuda,Background_Matting,4,1.376736,4.651406,1.925660,7.840439,4.023603,1.739200,0.181589,5.182206
cuda,LearningToPaint,96,0.629218,2.518452,0.838078,3.268856,0.932857,0.449931,0.064773,1.619655
cuda,Super_SloMo,6,1.423049,6.398202,2.121335,7.342253,3.477810,1.311606,0.095296,3.115259
cuda,alexnet,128,0.102342,1.467174,0.171748,2.147045,0.364442,0.159821,0.011539,0.856337
cuda,attention_is_all_you_need_pytorch,256,1.814585,21.426394,2.805910,24.358463,3.832849,1.428300,0.307439,14.008747,5.844480
cuda,dcgan,32,0.122209,1.887628,0.158294,2.457867,0.160369,0.074681,0.010790,2.640666,0.734524
cuda,demucs,4,0.223950
cuda,densenet121,4,3.582003,13.590129,6.847699,20.548621,12.121914,3.834691,0.575365,14.010004
cuda,dlrm,2048,0.380058,1.032645,0.151336,1.952306,0.334090,0.105989,0.013554,1.077553
cuda,drq,1,0.199330,1.654184,0.121590,2.662498,0.099258,0.050181,0.012331,1.137064
cuda,fastNLP_Bert,6,2.190732,8.325633,2.317662,12.095623,2.978591,1.338230,0.257800,6.023258,6.645479
cuda,functorch_dp_cifar10,64,0.332283,3.202569,1.154050,5.569232,1.901553,0.634081,0.060186,5.615248,3.835798
cuda,hf_Albert,8,1.688236,3.047237,2.240195,6.403997,2.592128,1.012710,0.146628,5.674577,4.144533
cuda,hf_Bart,4,2.373198,9.457669,3.593909,13.234028,4.579143,1.723997,0.366638,4.014252,7.486997
cuda,hf_Bert,4,2.107987,6.554043,2.651045,8.980141,3.148569,1.220711,0.248992,5.167671,1.811900
cuda,hf_DistilBert,8,0.912901,3.135411,1.555929,5.002860,1.506814,0.654700,0.111943,3.472492,2.733541
cuda,hf_GPT2,4,2.071127,4.455549,1.892084,6.666180,2.703642,1.160838,0.218328,4.179337,1.646507
cuda,hf_GPT2_large,4,7.196199,12.084820,7.286085,17.041435,9.439897,3.327574,1.061770,12.477410,1.193366
cuda,hf_Reformer,4,2.018447,7.487374,0.680097,8.259364,1.074306,0.688051,0.046592,3.505108,1.492676
cuda,hf_T5,8,3.141112,6.763934,2.442919,11.562759,4.171219,1.293185,0.290889,5.753353,7.352848
cuda,hf_T5_large,2,16.766972,25.541867,15.701415,36.616764,20.984797,5.144843,2.425019,24.450649,29.044965
cuda,lennard_jones,1000,0.076242,0.956359,0.057299,1.487121,0.041574,0.028553,0.005511,0.591539
cuda,mnasnet1_0,32,1.382415,5.365112,2.341031,6.973006,2.709736,1.271157,0.183231,4.252673,2.951086
cuda,mobilenet_v2,96,1.490641,6.275600,2.389275,7.654438,3.640865,1.401755,0.214545,4.023977
cuda,mobilenet_v2_quantized_qat,96,2.452980,9.359750,4.950070,12.664906,6.415412,2.489050,0.554670,8.868702
cuda,mobilenet_v3_large,32,1.506426,5.985700,2.673595,8.245297,3.317309,1.704687,0.216022,5.013596,5.632471
cuda,nvidia_deeprecommender,256,0.150172,1.115474,0.104319,2.179751,0.088479,0.044314,0.007995,1.173988,0.394143
cuda,pytorch_CycleGAN_and_pix2pix,1,0.553052,2.283168,0.919191,4.331911,1.746587,0.598541,0.062119,3.005990
cuda,pytorch_stargan,16,0.585115,2.067213,0.709975,3.449210,0.992414,0.283764,0.042182,2.122084,20.392857
cuda,pytorch_struct,200,0.212423,1.148069,0.140515,2.485042,0.173490,0.097671,0.019420,1.486312,19.744423
cuda,pytorch_unet,1,0.598419,2.730615,0.800622,4.130677,1.578271,0.714115,0.065057,2.229312
cuda,resnet152,32,4.271493,10.886199,8.318444,13.431887,7.467651,2.618232,0.839034,11.102144,2.557584
cuda,resnet18,16,0.600237,3.083524,0.881746,4.485754,1.531320,0.567263,0.063575,2.313900,2.750458
cuda,resnet50,32,1.463298,4.744692,2.375118,6.143884,2.459264,1.115705,0.184491,4.089376,2.981227
cuda,resnet50_quantized_qat,32,2.313340,7.804695,4.431637,11.085687,5.633206,2.068214,0.494970,7.858278,2.381966
cuda,resnext50_32x4d,8,1.464206,4.111470,2.483437,5.717244,2.103594,1.102455,0.168834,4.166626,2.796500
