,Compiler,torchbench,huggingface,timm_models
eager,eager,0.97x,0.97x,0.99x
aot_eager,aot_eager,0.86x,0.89x,0.88x
inductor,inductor,0.94x,0.99x,1.02x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.94x,1.03x,1.01x
