dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.961068,72.369230,3.458092,145.466163,7.935329,3.536993,0.552919,1.267064,77.985255
cuda,beit_base_patch16_224,64,1.388195,26.907943,1.644486,52.301889,2.541779,1.260314,0.206882,6.837236,34.159015
cuda,botnet26t_256,128,1.615243,87.920371,2.178391,171.497458,5.443897,2.015972,0.129714,46.939675,132.765283
cuda,cait_m36_384,2,4.551432,49.280656,5.890980,104.752796,10.583999,4.757483,1.618495,70.980577,132.657614
cuda,coat_lite_mini,128,1.333961,198.277516,3.106695,416.757923,5.443553,2.193097,0.190126,193.965345,415.644974
cuda,convit_base,32,1.517026,56.820155,2.182292,121.509899,3.608370,1.622762,0.242674,45.332182,112.308858
cuda,convmixer_768_32,32,2.020476,9.345932,1.976325,19.876438,1.886061,0.990134,0.225621,2.254837,14.875298
cuda,convnext_base,32,1.870781,78.889379,3.737741,212.550373,7.259066,2.785586,0.448207,99.363678,236.894788
cuda,crossvit_9_240,64,2.040668,54.667912,2.766812,126.835018,4.562128,1.844034,0.312742,95.642849,170.711257
cuda,cspdarknet53,64,3.289488,51.115310,2.265900,109.436225,3.788143,1.675097,0.326671,0.917089,61.627953
cuda,deit_base_distilled_patch16_224,64,1.075911,25.391805,1.430397,56.575206,2.660311,1.088446,0.167900,14.998154,47.687395
cuda,dla102,64,3.147820,57.611374,3.118080,122.491876,5.976112,2.512381,0.508400,1.043729,69.223463
cuda,dm_nfnet_f0,128,2.633631,45.382182,4.153134,82.619578,5.328719,1.721068,0.266465,1.124181,42.999829
cuda,dpn107,32,5.486635,123.753594,3.659628,208.295275,6.865403,2.824462,0.493439,1.480043,90.335832
cuda,eca_botnext26ts_256,64,1.733768,121.829959,2.792010,232.080069,5.360541,2.351015,0.152064,151.525274,264.650527
cuda,eca_halonext26ts,64,1.770320,93.851815,3.026084,216.227255,9.710475,3.146793,0.158492,161.144364,286.630749
cuda,ese_vovnet19b_dw,128,1.176221,43.945167,1.033827,88.530441,3.112839,1.250454,0.109320,0.585218,46.254190
cuda,fbnetc_100,128,3.165052,58.953261,2.085453,110.118986,3.822514,1.694103,0.282574,0.849298,54.213442
cuda,fbnetv3_b,128,4.592630,74.204043,3.715410,147.958986,7.087823,2.636123,0.665521,1.259530,78.921505
cuda,gernet_l,128,2.725246,32.881435,1.905311,65.837250,2.238277,1.180449,0.216165,0.809400,35.769971
cuda,ghostnet_100,128,3.912130,110.763453,3.168542,212.502421,6.710904,3.386732,0.466484,1.052083,106.112242
cuda,gluon_inception_v3,128,2.752942,71.183438,3.450092,144.134131,7.896199,3.532935,0.551732,1.263710,78.138714
cuda,gluon_xception65,32,3.706791,39.971305,3.264915,80.882905,5.105343,1.970563,0.592038,1.140594,45.527806
cuda,gmixer_24_224,64,1.790020,36.140192,1.771179,71.008114,4.498602,1.855736,0.317669,26.561855,63.557798
cuda,gmlp_s16_224,64,1.591580,41.423625,2.792710,76.265238,6.922916,2.401886,0.313651,36.542785,74.313084
cuda,hrnet_w18,2,11.045667,80.940252,8.551188,197.425046,17.606464,5.366048,2.573425,15.653990,141.266035
cuda,inception_v3,128,3.057583,88.880977,3.509700,182.303878,7.985805,3.544735,0.549683,1.255521,98.348160
cuda,jx_nest_base,32,2.425512,119.953015,4.009073,247.601157,8.652699,3.186929,0.517897,65.541093,197.364809
cuda,lcnet_050,128,1.222321,41.662318,1.479318,68.515507,2.393270,1.050795,0.124296,0.518672,28.909194
cuda,mixer_b16_224,64,0.795878,39.298400,1.620144,73.665913,2.717544,0.950778,0.126915,13.961612,50.017895
cuda,mixnet_l,64,6.381058,76.524676,2.461779,174.979858,5.357326,2.569267,0.495426,1.076036,102.140344
cuda,mnasnet_100,128,2.206752,56.832790,1.678842,100.561330,3.277371,1.421045,0.204746,0.723927,46.220898
cuda,mobilenetv2_100,128,2.257102,57.116636,1.757899,99.697706,3.401927,1.399343,0.219906,0.747542,45.178245
cuda,mobilenetv3_large_100,128,2.156545,72.789883,1.946898,132.357377,3.866417,1.634412,0.247344,0.755309,62.363561
cuda,mobilevit_s,32,2.312797,175.690282,3.786504,297.521684,11.395240,5.364134,0.310518,90.588393,216.561635
cuda,nfnet_l0,64,2.346929,38.039758,2.190041,87.582875,3.223804,1.600109,0.266530,2.807272,54.665740
cuda,pit_b_224,64,1.204339,53.894276,2.108421,109.596993,2.643335,1.233025,0.193535,29.366076,87.262854
cuda,pnasnet5large,16,7.822735,102.083601,6.562633,220.155821,16.613421,6.250610,1.663752,2.590583,128.323672
cuda,poolformer_m36,64,2.865472,54.296726,5.839844,109.186970,13.906858,4.247364,0.636323,1.683039,62.656149
cuda,regnety_002,128,2.159886,46.496032,1.627316,87.709111,3.086195,1.309303,0.231049,0.717134,43.648680
cuda,repvgg_a2,128,2.644147,29.504642,1.713842,58.856867,2.815251,1.010520,0.196960,0.756419,31.916135
cuda,res2net101_26w_4s,64,5.646896,69.233070,5.922284,149.159146,11.757449,4.602406,1.469330,1.960159,88.109620
cuda,res2net50_14w_8s,2,5.206834,54.733374,4.065419,159.200019,9.350244,3.316650,0.762325,1.569523,110.364356
cuda,res2next50,2,2.673121,40.568880,2.619215,107.554368,4.636406,3.052006,0.344680,0.809442,70.558508
