dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,8,pass,883,3,3,2
cuda,beit_base_patch16_224,8,pass,868,3,3,2
cuda,botnet26t_256,8,pass,540,3,3,2
cuda,cait_m36_384,4,pass,2727,3,3,2
cuda,coat_lite_mini,8,pass,765,3,3,2
cuda,convit_base,8,pass,1249,56,18,3
cuda,convmixer_768_32,8,pass,232,2,3,2
cuda,convnext_base,8,pass,1184,3,3,2
cuda,crossvit_9_240,8,pass,1137,3,3,2
cuda,cspdarknet53,8,pass,846,3,3,2
cuda,deit_base_distilled_patch16_224,8,pass,688,3,3,2
cuda,dla102,8,pass,1051,3,3,2
cuda,dm_nfnet_f0,8,pass,1083,3,3,2
cuda,dpn107,8,pass,1412,3,3,2
cuda,eca_botnext26ts_256,8,pass,580,3,3,2
cuda,eca_halonext26ts,8,pass,610,3,3,2
cuda,ese_vovnet19b_dw,8,pass,344,3,3,2
cuda,fbnetc_100,8,pass,775,3,3,2
cuda,fbnetv3_b,8,pass,1280,3,3,2
cuda,gernet_l,8,pass,753,3,3,2
cuda,ghostnet_100,8,pass,870,3,3,2
cuda,gluon_inception_v3,8,pass,883,3,3,2
cuda,gluon_xception65,8,pass,1150,3,3,2
cuda,gmixer_24_224,8,pass,1221,3,3,2
cuda,gmlp_s16_224,8,pass,1101,3,3,2
cuda,hrnet_w18,8,pass,1371,2,3,2
cuda,inception_v3,8,pass,883,3,3,2
cuda,jx_nest_base,8,pass,1470,3,3,2
cuda,lcnet_050,8,pass,352,3,3,2
cuda,mixer_b16_224,8,pass,525,3,3,2
cuda,mixnet_l,8,pass,1285,3,3,2
cuda,mnasnet_100,8,pass,618,3,3,2
cuda,mobilenetv2_100,8,pass,618,3,3,2
cuda,mobilenetv3_large_100,8,pass,661,3,3,2
cuda,mobilevit_s,8,pass,947,3,3,2
cuda,nfnet_l0,8,pass,990,3,3,2
cuda,pit_b_224,8,pass,768,3,3,2
cuda,pnasnet5large,8,pass,956,2,3,2
cuda,poolformer_m36,8,pass,1441,3,3,2
cuda,regnety_002,8,pass,738,3,3,2
cuda,repvgg_a2,8,pass,731,3,3,2
cuda,res2net101_26w_4s,8,pass,1829,3,3,2
cuda,res2net50_14w_8s,8,pass,1599,3,3,2
cuda,res2next50,8,pass,911,3,3,2
cuda,resmlp_12_224,8,pass,501,3,3,2
cuda,resnest101e,8,pass,2056,3,3,2
cuda,rexnet_100,8,fail_accuracy,856,3,3,2
cuda,sebotnet33ts_256,8,fail_accuracy,758,3,3,2
cuda,selecsls42b,8,pass,384,3,3,2
cuda,spnasnet_100,8,pass,762,3,3,2
cuda,swin_base_patch4_window7_224,8,pass,2038,3,3,2
cuda,swsl_resnext101_32x16d,8,pass,1041,3,3,2
cuda,tf_efficientnet_b0,8,pass,795,3,3,2
cuda,tf_mixnet_l,8,pass,1300,3,3,2
cuda,tinynet_a,8,pass,937,3,3,2
cuda,tnt_s_patch16_224,8,pass,1526,3,3,2
cuda,twins_pcpvt_base,8,pass,2060,3,3,2
cuda,visformer_small,8,pass,557,3,3,2
cuda,vit_base_patch16_224,8,pass,679,3,3,2
cuda,volo_d1_224,8,fail_accuracy,1118,3,3,2
cuda,xcit_large_24_p8_224,8,fail_accuracy,2449,3,3,2
