dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,AlbertForMaskedLM,4,2.269718,0.000309
cuda,AlbertForQuestionAnswering,4,2.149396,0.000302
cuda,AllenaiLongformerBase,4,10.280674,0.004694
cuda,BartForCausalLM,4,4.280404,0.000866
cuda,BartForConditionalGeneration,2,11.407210,0.001333
cuda,BertForMaskedLM,16,5.222446,0.000618
cuda,BertForQuestionAnswering,16,5.226389,0.000560
cuda,BlenderbotForCausalLM,4,8.887715,0.001605
cuda,BlenderbotSmallForCausalLM,64,3.035909,0.000578
cuda,BlenderbotSmallForConditionalGeneration,64,7.089796,0.000878
cuda,CamemBert,16,5.277448,0.000579
cuda,DebertaForMaskedLM,4,6.305064,0.002427
cuda,DebertaForQuestionAnswering,8,6.313488,0.002526
cuda,DebertaV2ForMaskedLM,1,13.286592,0.004922
cuda,DebertaV2ForQuestionAnswering,2,13.167195,0.004814
cuda,DistilBertForMaskedLM,128,2.072565,0.000309
cuda,DistilBertForQuestionAnswering,256,2.040595,0.000294
cuda,DistillGPT2,16,2.051277,0.000294
cuda,ElectraForCausalLM,32,5.426685,0.000650
cuda,ElectraForQuestionAnswering,64,5.452550,0.000589
cuda,GPT2ForSequenceClassification,4,3.835015,0.000522
cuda,GoogleFnet,16,2.642633,0.000911
cuda,LayoutLMForMaskedLM,16,5.336776,0.000628
cuda,LayoutLMForSequenceClassification,16,5.234471,0.000620
cuda,M2M100ForConditionalGeneration,16,11.268516,0.001732
cuda,MBartForCausalLM,4,4.295548,0.000838
cuda,MBartForConditionalGeneration,2,11.562611,0.001301
cuda,MT5ForConditionalGeneration,16,7.000636,0.000881
cuda,MegatronBertForCausalLM,4,10.999397,0.001029
cuda,MegatronBertForQuestionAnswering,8,11.053351,0.001021
cuda,MobileBertForMaskedLM,64,17.569274,0.000611
cuda,MobileBertForQuestionAnswering,128,17.610189,0.000572
cuda,OPTForCausalLM,2,4.069226,0.000882
cuda,PLBartForCausalLM,8,2.442631,0.000459
cuda,PLBartForConditionalGeneration,4,6.673240,0.000908
cuda,PegasusForCausalLM,32,4.155974,0.000864
cuda,PegasusForConditionalGeneration,32,4.130057,0.000480
cuda,RobertaForCausalLM,16,5.283401,0.000571
cuda,RobertaForQuestionAnswering,16,5.216568,0.000587
cuda,Speech2Text2ForCausalLM,256,2.224346,0.000498
cuda,T5ForConditionalGeneration,4,4.989170,0.000653
cuda,T5Small,4,4.985630,0.000628
cuda,TrOCRForCausalLM,32,4.222226,0.000853
cuda,XGLMForCausalLM,8,8.441563,0.001661
cuda,XLNetLMHeadModel,8,10.351613,0.001579
cuda,YituTechConvBert,16,7.531904,0.000864
