,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
ts_nvfuser,ts_nvfuser,1.04x,1.04x,1.02x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.17x,1.32x,1.06x
aot_nvfuser,aot_nvfuser,1.08x,0.0x,1.16x
inductor_cudagraphs,inductor_cudagraphs,0.0x,0.0x,0.0x
