dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,swin_base_patch4_window7_224,64,59.775810,51.758554,47.169591,30.383109,15.930330,50.638197,15.950803,6.633954,0.846723,32.312234,36.656010
cuda,swsl_resnext101_32x16d,32,46.201126,39.933818,35.269535,19.048716,5.884728,26.401114,7.692411,3.642002,0.566239,11.051821,13.713380
cuda,tf_efficientnet_b0,128,41.494746,36.914901,32.205264,21.810506,4.330831,33.987492,6.125145,3.207156,0.368896,112.786401,16.805411
cuda,tf_mixnet_l,128,56.027568,47.272273,42.502876,28.121857,5.054285,43.368116,9.074117,4.920250,0.630651,102.783441,21.122766
cuda,tinynet_a,128,45.679236,40.364918,35.616132,23.439641,5.029070,35.177602,7.468627,3.668465,0.447570,114.225837,17.124875
cuda,tnt_s_patch16_224,128,52.613261,45.249854,40.601622,25.199141,15.418124,34.035961,9.973572,4.697307,0.857084,13.003939,25.284107
cuda,twins_pcpvt_base,64,70.998854,59.107793,54.485005,33.317356,19.584206,47.912720,15.416146,7.317235,1.580809,71.246174,34.767412
cuda,visformer_small,128,31.573152,29.115037,24.471058,17.789787,4.229366,26.475195,4.316749,1.934640,0.238527,34.360372,13.118539
cuda,vit_base_patch16_224,64,30.877449,28.099515,23.595994,16.962404,6.550340,27.918731,4.015293,2.095814,0.274608,3.850822,17.686338
cuda,volo_d1_224,64,44.939468,39.687907,34.962922,23.535393,12.791899,33.861206,8.820038,4.186015,0.528546,27.185183,23.449375
cuda,xcit_large_24_p8_224,5,82.530351,67.572103,62.853140,35.949130,22.067508,49.669148,18.693084,9.092457,2.246158,37.270697,36.916316
