dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,1.770766,27.783105,3.443126,19.520442,11.373777,7.325036,0.258040,232.514369,227.799035
cuda,beit_base_patch16_224,64,1.886351,27.239015,3.199610,10.478555,7.031575,2.962929,0.240306,90.471565,76.994186
cuda,botnet26t_256,128,2.126941,73.655324,2.609950,11.562542,7.564221,3.464009,0.116970,193.747270,134.311385
cuda,convit_base,32,0.639391,36.015477,3.028565,10.282772,6.124807,3.751064,0.220412,89.394757,66.772659
cuda,convmixer_768_32,32,0.697936,5.956428,1.667935,5.437710,3.086826,2.004497,0.189733,11.297225,12.525551
cuda,crossvit_9_240,64,2.644215,72.293539,4.374623,13.781970,8.934974,4.121460,0.344476,222.367625,168.559673
cuda,cspdarknet53,64,4.867289,21.136966,2.604673,8.211759,4.818531,2.801229,0.190965,148.495944,138.249349
cuda,deit_base_distilled_patch16_224,64,1.064287,17.497489,2.578615,7.874348,5.175487,2.304560,0.216183,58.655675,51.683020
cuda,densenet121,64,13.493072,76.405553,3.983341,41.092071,25.869811,13.676248,0.342134,339.579465,308.661646
cuda,dla102,64,2.216105,29.348751,2.743255,13.951823,8.264941,4.890828,0.280591,135.535886,122.998029
cuda,dm_nfnet_f0,128,9.171728,15.625335,4.440388,16.290827,10.234611,5.121760,0.334679,2.432831,7.677895
cuda,dpn107,32,13.112743,80.976270,3.678757,17.264503,10.011794,6.196864,0.308077,274.475514,214.591764
cuda,eca_botnext26ts_256,64,2.373368,68.793236,3.176851,12.664581,8.398914,3.694389,0.145110,225.894434,173.001127
cuda,eca_halonext26ts,64,2.579586,82.404592,4.132596,16.624023,11.219886,4.805815,0.152136,169.598513,108.011656
cuda,ecaresnet101d,64,4.227597,15.695841,3.411426,14.743094,9.205162,4.743601,0.352213,84.755299,87.361290
cuda,ese_vovnet19b_dw,128,1.072505,19.481047,1.161403,8.495257,5.255032,2.800853,0.099371,113.716277,103.923861
cuda,fbnetc_100,128,3.421825,16.728744,1.813124,7.673571,4.439821,2.677339,0.181392,109.880641,102.706555
cuda,fbnetv3_b,128,7.324789,33.976043,4.410753,15.657076,9.446833,5.263612,0.402353,167.207768,153.672052
cuda,gernet_l,128,4.105543,8.891801,1.457204,5.149228,2.670772,2.063478,0.149848,68.871389,66.644897
cuda,ghostnet_100,128,1.605283,42.041057,2.732863,15.599977,9.224709,5.441324,0.288094,297.721200,274.120492
cuda,gluon_inception_v3,128,1.822398,8.659850,3.569813,20.147614,11.806648,7.544833,0.269048,2.022839,17.186378
cuda,gluon_senet154,32,9.039366,21.666568,4.866509,21.741030,14.022842,6.528772,0.619892,87.151153,92.319604
cuda,gluon_xception65,32,1.814299,17.604404,2.577649,10.615055,5.968381,3.895637,0.374727,111.547921,107.284206
cuda,hardcorenas_a,128,1.465979,20.989947,1.608354,7.704897,4.502800,2.621597,0.166477,118.837975,107.215233
cuda,hrnet_w18,2,18.733915,33.603652,7.941049,29.460812,17.781666,10.159516,0.780499,256.231714,260.379794
cuda,inception_v3,128,1.795309,8.515397,3.462596,19.484273,11.370907,7.331707,0.258754,2.085303,16.619453
cuda,lcnet_050,128,0.964406,9.664073,1.643347,5.964051,3.700367,1.899567,0.122809,54.280259,52.269113
cuda,legacy_senet154,32,5.355798,10.476322,4.943223,21.964119,14.242119,6.545554,0.637158,5.936913,22.596731
cuda,mixnet_l,64,9.700542,39.699440,2.985033,14.777296,8.508731,5.289942,0.392250,191.706946,169.883608
cuda,mnasnet_100,128,2.344383,7.646070,1.438668,6.538025,3.786640,2.272610,0.150649,54.476759,54.862498
cuda,mobilenetv2_100,128,2.341449,9.964069,1.774597,7.635124,4.525395,2.546197,0.194107,41.392946,40.907224
