dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.852442,22.802616,3.449664,10.151854,7.097473,2.536728,0.248747,58.396736,49.285774
cuda,Background_Matting,4,0.505677,18.534895,1.971982,14.945620,9.299427,5.245620,0.140934,76.695760,75.131222
cuda,LearningToPaint,96,0.286883,12.235929,0.755060,2.142143,1.187464,0.717220,0.056225,94.790415,85.474279
cuda,Super_SloMo,6,0.855639,61.142349,2.212292,10.975922,6.324678,4.182314,0.124922,79.006050,31.105112
cuda,alexnet,128,0.152960,6.748109,0.213305,1.730585,1.009115,0.604058,0.017685,19.240721,14.440830
cuda,attention_is_all_you_need_pytorch,256,2.191054,65.710091,3.707770,10.368641,6.599553,3.204823,0.297690,154.395549,103.036342
cuda,dcgan,32,0.137753,3.815603,0.151624,0.479655,0.243291,0.140579,0.012532,19.346506,16.167645
cuda,densenet121,4,3.524218,97.697580,3.560346,39.153554,25.083111,12.592402,0.335662,461.575557,406.752572
cuda,drq,1,0.265799,6.456823,0.088922,0.381561,0.179709,0.092171,0.020147,12.566540,6.587665
cuda,fastNLP_Bert,6,3.881593,22.562575,3.102493,8.733525,5.573920,2.700129,0.255478,73.749357,63.113756
cuda,hf_Albert,8,1.687579,16.182386,3.168117,8.353265,5.564933,2.401049,0.183947,74.900526,70.321136
cuda,hf_Bart,4,3.358438,13.784565,4.016541,10.289062,6.539257,3.212667,0.326773,39.299820,39.927561
cuda,hf_Bert,4,4.930927,15.993618,3.197871,8.219040,5.049139,2.737929,0.247524,19.671376,15.180635
cuda,hf_DistilBert,8,0.805952,9.343184,1.787659,4.452061,2.641625,1.518081,0.133798,22.747020,19.690080
cuda,hf_GPT2,4,4.128287,21.032547,2.560440,7.518628,4.556577,2.576687,0.217713,37.066654,26.187074
cuda,hf_Longformer,2,9.711262,93.122555,13.999118,29.610331,19.783550,8.875245,0.322735,110.455475,61.142385
cuda,hf_Reformer,4,1.810705,36.792538,0.978983,4.516388,2.795923,1.480685,0.069998,55.974472,24.719338
cuda,hf_T5,8,7.478248,26.688907,3.248535,8.277602,5.137956,2.595248,0.272379,77.885804,62.817542
cuda,mnasnet1_0,32,0.444177,22.761616,1.344628,5.946845,3.377436,2.113590,0.145661,178.948926,163.532988
cuda,mobilenet_v2,96,0.484728,23.429053,1.806715,7.594659,4.510418,2.545004,0.193567,179.675371,165.724319
cuda,mobilenet_v3_large,32,0.639157,41.874238,1.942906,8.219092,4.864583,2.718331,0.196650,190.209070,158.565271
cuda,nvidia_deeprecommender,256,0.162057,1.944491,0.099721,0.341076,0.168936,0.084668,0.011783,21.523538,20.025472
cuda,pytorch_CycleGAN_and_pix2pix,1,0.266818,14.753376,1.179663,6.929803,3.994937,2.680938,0.092357,28.966386,22.358989
cuda,pytorch_stargan,16,0.261678,7.980494,0.574261,1.894671,1.160877,0.547341,0.057602,36.723083,31.238455
cuda,pytorch_struct,200,0.195360,19.055014,0.232403,0.675104,0.351662,0.197178,0.028059,45.491512,27.352636
cuda,pytorch_unet,1,0.330415,14.403020,0.689444,4.043298,2.504503,1.300014,0.062093,38.485851,28.840305
cuda,resnet18,16,0.277639,10.306138,0.645160,3.057269,1.816099,1.000591,0.054155,72.278100,65.695856
cuda,resnet50,32,0.611064,2.945232,1.394698,5.833212,3.284012,2.150073,0.135523,83.733897,88.073365
cuda,resnext50_32x4d,8,0.607654,14.359637,1.246028,5.163062,2.865294,1.912312,0.132005,105.889691,97.994886
cuda,shufflenet_v2_x1_0,128,0.738470,19.982435,2.039087,8.601758,5.182348,2.947162,0.173095,139.604063,130.330909
cuda,soft_actor_critic,256,0.202358,2.116587,0.063451,0.237255,0.102378,0.052740,0.008111,7.888408,6.076598
cuda,squeezenet1_1,32,0.249193,10.611983,0.338730,2.839057,1.671740,0.985310,0.047017,18.464212,11.040468
cuda,timm_efficientnet,32,2.742905,34.401074,2.348538,9.430778,5.542368,3.213740,0.234480,157.138703,134.599592
cuda,timm_nfnet,128,9.353843,53.852985,4.449543,15.997751,10.394598,4.808559,0.336303,117.551265,84.287074
cuda,timm_regnet,32,6.126652,22.622999,1.766523,7.072209,4.100480,2.435822,0.230505,119.541659,105.841269
cuda,timm_resnest,32,0.460494,37.125947,1.230218,8.657979,5.342701,2.914483,0.086628,110.050737,82.843518
cuda,timm_vision_transformer,8,1.047541,22.205301,2.870093,7.857956,5.107575,2.377383,0.207401,85.406376,73.999861
cuda,timm_vovnet,32,2.101248,17.733108,1.391262,10.054763,6.151354,3.403900,0.112525,204.961266,198.717586
cuda,vgg16,64,0.178518,8.067282,0.236602,2.032807,1.137070,0.759714,0.029927,20.380926,14.590235
