dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,adv_inception_v3,128,1,1,408,408,1.0000,0.9982,2.0052
cuda,beit_base_patch16_224,128,1,1,436,436,1.0000,0.9969,1.9011
cuda,botnet26t_256,128,1,1,284,284,1.0000,0.9961,2.6944
cuda,cait_m36_384,4,1,1,1385,1385,1.0000,0.9990,7.9573
cuda,coat_lite_mini,128,1,1,561,561,1.0000,0.9979,1.8020
cuda,convit_base,64,26,26,381,537,0.7095,0.6575,0.7741
cuda,convmixer_768_32,64,1,1,296,296,1.0000,0.9978,1.0545
cuda,convnext_base,64,1,1,463,463,1.0000,0.9977,2.6286
cuda,crossvit_9_240,64,27,27,543,630,0.8619,0.9409,1.9703
cuda,cspdarknet53,64,1,1,305,305,1.0000,0.9975,6.2445
cuda,deit_base_distilled_patch16_224,128,1,1,322,322,1.0000,0.9961,1.1950
cuda,densenet121,128,13,13,565,571,0.9895,0.9957,6.3806
cuda,dla102,128,1,1,485,485,1.0000,0.9980,2.4692
cuda,dm_nfnet_f0,128,1,1,590,590,1.0000,0.9984,9.1257
cuda,dpn107,64,1,1,957,957,1.0000,0.9985,16.5428
cuda,eca_botnext26ts_256,128,1,1,321,321,1.0000,0.9967,2.8662
cuda,eca_halonext26ts,128,1,1,341,341,1.0000,0.9969,3.1026
cuda,ecaresnet101d,128,1,1,692,692,1.0000,0.9987,4.2816
cuda,ese_vovnet19b_dw,128,1,1,133,133,1.0000,0.9958,1.5591
cuda,fbnetc_100,128,1,1,258,258,1.0000,0.9968,4.5298
cuda,fbnetv3_b,128,1,1,456,456,1.0000,0.9980,9.0182
cuda,gernet_l,128,1,1,246,246,1.0000,0.9974,5.0550
cuda,ghostnet_100,128,1,1,508,508,1.0000,0.9976,2.8520
cuda,gluon_inception_v3,128,1,1,408,408,1.0000,0.9983,1.9139
cuda,gluon_senet154,64,1,1,979,979,1.0000,0.9992,8.7927
cuda,gluon_xception65,32,1,1,485,485,1.0000,0.9986,1.9306
cuda,gmixer_24_224,128,1,1,513,513,1.0000,0.9974,2.2361
cuda,gmlp_s16_224,128,1,1,409,409,1.0000,0.9976,2.0759
cuda,hardcorenas_a,128,1,1,184,184,1.0000,0.9959,2.0005
cuda,hrnet_w18,128,1,1,1471,1471,1.0000,0.9996,18.2285
cuda,inception_v3,128,1,1,408,408,1.0000,0.9979,1.9124
cuda,jx_nest_base,64,1,1,801,801,1.0000,0.9985,4.8572
cuda,lcnet_050,128,1,1,126,126,1.0000,0.9941,1.3812
cuda,legacy_senet154,64,1,1,979,979,1.0000,0.9992,5.4904
cuda,levit_128,128,1,1,618,618,1.0000,0.9982,2.4674
cuda,mixer_b16_224,128,1,1,206,206,1.0000,0.9961,0.8603
cuda,mixnet_l,128,1,1,474,474,1.0000,0.9983,12.0464
cuda,mnasnet_100,128,1,1,205,205,1.0000,0.9961,3.1142
cuda,mobilenetv2_100,128,1,1,205,205,1.0000,0.9964,3.1135
cuda,mobilenetv3_large_100,128,1,1,233,233,1.0000,0.9966,3.0481
cuda,mobilevit_s,128,1,1,395,395,1.0000,0.9978,4.1359
cuda,nasnetalarge,16,1,1,1530,1530,1.0000,0.9995,27.9807
cuda,nfnet_l0,128,1,1,521,521,1.0000,0.9983,5.5113
cuda,pit_b_224,64,1,1,376,376,1.0000,0.9965,1.4583
cuda,pnasnet5large,16,1,1,1153,1153,1.0000,0.9994,21.4749
cuda,poolformer_m36,64,1,1,616,616,1.0000,0.9983,5.3193
cuda,regnety_002,128,1,1,267,267,1.0000,0.9972,3.9589
cuda,repvgg_a2,128,1,1,231,231,1.0000,0.9966,4.8325
cuda,res2net101_26w_4s,128,1,1,842,842,1.0000,0.9991,5.3570
cuda,res2net50_14w_8s,128,1,1,721,721,1.0000,0.9990,3.6549
cuda,res2next50,128,1,1,417,417,1.0000,0.9984,1.9852
cuda,resmlp_12_224,128,1,1,183,183,1.0000,0.9946,0.7912
cuda,resnest101e,64,1,1,1014,1014,1.0000,0.9990,7.5213
cuda,resnet18,128,1,1,90,90,1.0000,0.9939,0.4024
cuda,rexnet_100,128,1,1,368,368,1.0000,0.9974,4.7320
cuda,sebotnet33ts_256,128,1,1,415,415,1.0000,0.9974,4.0735
cuda,selecsls42b,128,1,1,174,174,1.0000,0.9961,0.5647
cuda,spnasnet_100,128,1,1,253,253,1.0000,0.9969,4.4349
cuda,swin_base_patch4_window7_224,64,1,1,1426,1426,1.0000,0.9987,9.5255
cuda,swsl_resnext101_32x16d,32,1,1,450,450,1.0000,0.9982,2.2431
cuda,tf_efficientnet_b0,128,1,1,294,294,1.0000,0.9977,4.1693
cuda,tf_mixnet_l,128,1,1,489,489,1.0000,0.9983,15.4195
cuda,tinynet_a,128,1,1,343,343,1.0000,0.9980,4.6970
cuda,tnt_s_patch16_224,128,1,1,833,833,1.0000,0.9983,3.6182
cuda,twins_pcpvt_base,128,1,1,1063,1063,1.0000,0.9984,5.7547
cuda,visformer_small,128,1,1,302,302,1.0000,0.9970,1.1459
cuda,vit_base_patch16_224,128,1,1,308,308,1.0000,0.9961,1.1698
cuda,volo_d1_224,128,1,1,574,574,1.0000,0.9987,2.7108
cuda,xcit_large_24_p8_224,11,1,1,1297,1297,1.0000,0.9992,6.2325
