dev,suite,name,start_latency,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time
cuda,torchbench,timm_efficientdet,102.2015,,1.0,1.0,1189.0,1190.0,0.9992,0.3763
cuda,huggingface,MobileBertForQuestionAnswering,63.1967,32.0,1.0,1.0,1657.0,1657.0,1.0,0.9992
cuda,huggingface,MobileBertForMaskedLM,62.8676,16.0,1.0,1.0,1659.0,1659.0,1.0,0.9993
cuda,timm_models,nasnetalarge,27.9807,16.0,1.0,1.0,1530.0,1530.0,1.0,0.9995
cuda,timm_models,pnasnet5large,21.4749,16.0,1.0,1.0,1153.0,1153.0,1.0,0.9994
cuda,timm_models,hrnet_w18,18.2285,128.0,1.0,1.0,1471.0,1471.0,1.0,0.9996
cuda,timm_models,dpn107,16.5428,64.0,1.0,1.0,957.0,957.0,1.0,0.9985
cuda,huggingface,MegatronBertForQuestionAnswering,15.6209,8.0,1.0,1.0,777.0,777.0,1.0,0.9986
cuda,huggingface,MegatronBertForCausalLM,15.5889,8.0,1.0,1.0,789.0,789.0,1.0,0.9984
cuda,timm_models,tf_mixnet_l,15.4195,128.0,1.0,1.0,489.0,489.0,1.0,0.9983
cuda,torchbench,yolov3,15.2582,,5.0,3.0,323.0,324.0,0.9969,0.996
cuda,torchbench,vision_maskrcnn,14.5452,,246.0,266.0,3661.0,11351.0,0.3225,0.4418
cuda,huggingface,XLNetLMHeadModel,13.8364,8.0,1.0,1.0,972.0,972.0,1.0,0.9994
cuda,huggingface,MT5ForConditionalGeneration,12.7427,4.0,1.0,1.0,1253.0,1253.0,1.0,0.999
cuda,timm_models,mixnet_l,12.0464,128.0,1.0,1.0,474.0,474.0,1.0,0.9983
cuda,torchbench,timm_regnet,10.7407,,1.0,1.0,447.0,447.0,1.0,0.9983
cuda,huggingface,MBartForConditionalGeneration,9.9221,8.0,1.0,1.0,1328.0,1328.0,1.0,0.9992
cuda,torchbench,maml,9.9091,,23.0,23.0,749.0,1183.0,0.6331,0.6159
cuda,huggingface,BartForConditionalGeneration,9.8113,2.0,1.0,1.0,1310.0,1310.0,1.0,0.9992
cuda,huggingface,AllenaiLongformerBase,9.7002,1.0,4.0,4.0,3268.0,3272.0,0.9988,0.9949
cuda,timm_models,swin_base_patch4_window7_224,9.5255,64.0,1.0,1.0,1426.0,1426.0,1.0,0.9987
cuda,torchbench,hf_Longformer,9.4243,,4.0,4.0,3303.0,3305.0,0.9994,0.9953
cuda,timm_models,dm_nfnet_f0,9.1257,128.0,1.0,1.0,590.0,590.0,1.0,0.9984
cuda,timm_models,fbnetv3_b,9.0182,128.0,1.0,1.0,456.0,456.0,1.0,0.998
cuda,torchbench,timm_nfnet,8.8616,,1.0,1.0,590.0,590.0,1.0,0.9985
cuda,timm_models,gluon_senet154,8.7927,64.0,1.0,1.0,979.0,979.0,1.0,0.9992
cuda,timm_models,cait_m36_384,7.9573,4.0,1.0,1.0,1385.0,1385.0,1.0,0.999
cuda,huggingface,YituTechConvBert,7.771,1.0,1.0,1.0,681.0,681.0,1.0,0.9985
cuda,torchbench,hf_BigBird,7.5953,,64.0,75.0,5494.0,5572.0,0.986,0.9683
cuda,huggingface,BigBird,7.5902,1.0,64.0,75.0,5428.0,5501.0,0.9867,0.9706
