dev,name,batch_size,graphs,graph_calls,captured_ops,total_ops,pct_ops,pct_time,start_latency
cuda,BERT_pytorch,,1,1,558,558,1.0000,0.9978,2.9152
cuda,Background_Matting,,1,1,184,184,1.0000,0.9963,0.6224
cuda,LearningToPaint,,1,1,72,72,1.0000,0.9933,0.4642
cuda,Super_SloMo,0,0.0000
cuda,alexnet,,1,1,23,23,1.0000,0.9847,0.3420
cuda,attention_is_all_you_need_pytorch,,1,1,586,586,1.0000,0.9969,2.3290
cuda,dcgan,,1,1,14,14,1.0000,0.9861,0.3362
cuda,demucs,,1,1,70,70,1.0000,0.9965,0.5785
cuda,densenet121,,1,1,432,432,1.0000,0.9986,3.5550
cuda,detectron2_maskrcnn,,122,120,1234,1774,0.6956,0.7471,4.8925
cuda,dlrm,0,0.0000
cuda,drq,,1,1,26,26,1.0000,0.9851,0.3850
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,,6,6,470,544,0.8640,0.9104,4.2878
cuda,hf_Albert,,1,1,482,482,1.0000,0.9968,1.6487
cuda,hf_Bart,,1,1,662,662,1.0000,0.9977,3.2459
cuda,hf_Bert,,1,1,398,398,1.0000,0.9961,4.6132
cuda,hf_BigBird,,64,75,5494,5572,0.9860,0.9683,7.5953
cuda,hf_DistilBert,,1,1,238,238,1.0000,0.9944,0.8585
cuda,hf_GPT2,,1,1,720,720,1.0000,0.9968,3.7904
cuda,hf_Longformer,,4,4,3303,3305,0.9994,0.9953,9.4243
cuda,hf_Reformer,,7,7,589,602,0.9784,0.9879,2.9108
cuda,hf_T5,,1,1,861,861,1.0000,0.9982,6.9046
cuda,maml,,23,23,749,1183,0.6331,0.6159,9.9091
cuda,maml_omniglot,,1,1,15,15,1.0000,0.9841,0.3547
cuda,mnasnet1_0,,1,1,153,153,1.0000,0.9957,0.6240
cuda,mobilenet_v2,,1,1,154,154,1.0000,0.9955,0.6332
cuda,mobilenet_v3_large,,1,1,188,188,1.0000,0.9960,0.7833
cuda,moco,,11,7,0,-5,0.0000,0.0000,2.1012
cuda,nvidia_deeprecommender,,1,1,14,14,1.0000,0.9760,0.3485
cuda,opacus_cifar10,,1,1,70,70,1.0000,0.9935,2.3348
cuda,pyhpc_equation_of_state,,1,1,373,373,1.0000,0.9924,0.5549
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,,1,1,1891,1891,1.0000,0.9967,1.3149
cuda,pytorch_CycleGAN_and_pix2pix,,1,1,92,92,1.0000,0.9952,0.4581
cuda,pytorch_stargan,,1,1,57,57,1.0000,0.9952,0.4516
cuda,pytorch_struct,,1,1,44,44,1.0000,0.9839,0.3717
cuda,pytorch_unet,,1,1,72,72,1.0000,0.9955,0.5534
cuda,resnet18,,1,1,70,70,1.0000,0.9930,0.4528
cuda,resnet50,,1,1,176,176,1.0000,0.9966,0.7845
cuda,resnext50_32x4d,,1,1,176,176,1.0000,0.9965,0.7845
cuda,shufflenet_v2_x1_0,,1,1,247,247,1.0000,0.9967,0.8979
cuda,soft_actor_critic,,1,1,13,13,1.0000,0.9790,0.2983
cuda,speech_transformer,,4,4,1093,1199,0.9116,0.9384,2.9440
cuda,squeezenet1_1,,1,1,67,67,1.0000,0.9931,0.4366
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,,1,1,1189,1190,0.9992,0.3763,102.2015
cuda,timm_efficientnet,,1,1,240,240,1.0000,0.9971,2.7671
cuda,timm_nfnet,,1,1,590,590,1.0000,0.9985,8.8616
cuda,timm_regnet,,1,1,447,447,1.0000,0.9983,10.7407
cuda,timm_resnest,,1,1,128,128,1.0000,0.9943,0.5698
cuda,timm_vision_transformer,,1,1,315,315,1.0000,0.9963,1.1166
cuda,timm_vovnet,,1,1,130,130,1.0000,0.9958,2.0695
cuda,tts_angular,,4,4,22,30,0.7333,0.8359,0.4370
cuda,vgg16,,1,1,41,41,1.0000,0.9900,0.3659
cuda,vision_maskrcnn,,246,266,3661,11351,0.3225,0.4418,14.5452
cuda,yolov3,,5,3,323,324,0.9969,0.9960,15.2582
