dev,name,batch_size,time,memory,graphs
cuda,BERT_pytorch,16,220.2500,3.1311,1
cuda,Background_Matting,4,139.2539,12.4087,1
cuda,LearningToPaint,96,106.6434,1.3789,1
cuda,Super_SloMo,6,0,0,0
cuda,alexnet,128,19.2675,1.6130,1
cuda,attention_is_all_you_need_pytorch,256,380.6872,5.0232,1
cuda,dcgan,32,19.7737,0.0816,1
cuda,demucs,4,0,0,0
cuda,densenet121,4,600,0,0
cuda,detectron2_maskrcnn,1,0,0,0
cuda,dlrm,0,0.0000
cuda,drq,1,11.1095,0.0555,2
cuda,fambench_xlmr,0,0.0000
cuda,fastNLP_Bert,6,0,0,0
cuda,hf_Albert,8,122.9240,5.7633,1
cuda,hf_Bart,4,291.3819,6.7181,1
cuda,hf_Bert,4,227.1575,4.8847,1
cuda,hf_BigBird,2,0,0,0
cuda,hf_DistilBert,8,116.8389,4.9712,1
cuda,hf_GPT2,4,196.7347,5.8853,1
cuda,hf_Longformer,0,0.0000
cuda,hf_Reformer,4,65.8872,3.6402,22
cuda,hf_T5,8,191.6830,21.8923,1
cuda,maml,1,0,0,0
cuda,maml_omniglot,1,27.6576,0.0048,1
cuda,mnasnet1_0,32,282.1184,1.8612,1
cuda,mobilenet_v2,96,284.9982,7.7954,1
cuda,mobilenet_v2_quantized_qat,96,0,0,0
cuda,mobilenet_v3_large,32,327.5271,1.8810,1
cuda,moco,32,0,0,0
cuda,nvidia_deeprecommender,256,22.2408,4.7011,1
cuda,opacus_cifar10,64,0,0,0
cuda,pyhpc_equation_of_state,1048576,0,0,0
cuda,pyhpc_isoneutral_mixing,0,0.0000
cuda,pyhpc_turbulent_kinetic_energy,1048576,0,0,0
cuda,pytorch_CycleGAN_and_pix2pix,1,62.7439,0.5896,1
cuda,pytorch_stargan,16,43.2416,1.3536,1
cuda,pytorch_struct,200,66.1370,0.7327,1
cuda,pytorch_unet,1,101.1296,4.1419,1
cuda,resnet18,16,108.8667,0.7124,1
cuda,resnet50,32,161.4632,4.1335,1
cuda,resnet50_quantized_qat,32,0,0,0
cuda,resnext50_32x4d,8,143.2288,1.5585,1
cuda,shufflenet_v2_x1_0,128,184.7277,3.1729,1
cuda,soft_actor_critic,256,0,0,0
cuda,speech_transformer,32,0,0,0
cuda,squeezenet1_1,32,18.9186,0.6061,1
cuda,tacotron2,0,0.0000
cuda,timm_efficientdet,1,0,0,0
cuda,timm_efficientnet,32,367.8398,2.4796,1
cuda,timm_nfnet,128,251.3111,13.8171,1
cuda,timm_regnet,32,267.3739,2.8063,1
cuda,timm_resnest,32,224.8545,2.7116,1
cuda,timm_vision_transformer,8,116.6900,0.9504,1
cuda,timm_vovnet,32,208.0716,3.5218,1
cuda,tts_angular,64,0,0,0
cuda,vgg16,64,21.1590,6.9885,1
cuda,vision_maskrcnn,4,0,0,0
cuda,yolov3,0,0.0000
