dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,12.160142,10.565418,4.617465,1.750795,8.874811,3.392762,1.199455,0.153813,1.481042,6.090060
cuda,AlbertForQuestionAnswering,4,11.992812,10.438016,4.543475,1.664978,8.964932,3.285411,1.167107,0.146854,1.094564,6.166497
cuda,AllenaiLongformerBase,4,62.121445,53.688321,32.289912,6.565995,39.335208,17.699290,5.926843,0.450172,3.128396,14.141225
cuda,BartForCausalLM,4,17.012910,13.876038,7.082483,2.023203,10.166059,3.657362,1.570529,0.278689,1.471481,5.208627
cuda,BartForConditionalGeneration,2,42.331069,34.616142,16.996253,6.032120,22.028441,9.575744,3.889790,1.067388,1.190091,11.325528
cuda,BertForMaskedLM,16,16.540585,13.371807,6.436854,2.296607,9.196531,3.831415,1.629607,0.292127,2.097377,5.377675
cuda,BertForQuestionAnswering,16,16.648307,13.466863,6.484843,2.291911,9.199958,3.569160,1.874535,0.285024,1.708214,5.339261
cuda,BlenderbotForCausalLM,4,32.503300,25.636822,12.652388,4.385830,17.004729,7.349812,3.052493,0.676012,4.197863,8.938433
cuda,BlenderbotSmallForCausalLM,64,10.805581,8.810686,4.273934,1.498796,6.500306,2.442383,1.079008,0.170224,3.795830,2.061723
cuda,BlenderbotSmallForConditionalGeneration,64,27.237660,22.149148,10.788517,3.602779,14.732961,6.765040,2.644909,0.582494,1.853982,7.722419
cuda,CamemBert,16,16.866588,13.638502,6.525738,2.297361,9.181948,3.573814,1.880329,0.290021,0.989057,5.283641
cuda,DebertaForMaskedLM,4,29.888247,23.273157,14.300996,2.756073,18.164330,5.172371,2.251763,0.359130,2.539771,6.843441
cuda,DebertaForQuestionAnswering,8,29.777038,23.199859,14.259163,2.715698,18.210225,5.108180,2.215147,0.356465,2.734332,6.889994
cuda,DebertaV2ForMaskedLM,1,44.313740,31.605339,17.109418,3.870448,20.310098,5.747712,2.835497,0.624149,1.787553,7.444632
cuda,DebertaV2ForQuestionAnswering,2,44.662431,32.387347,17.280780,4.031880,21.661617,7.494534,3.527508,0.636842,0.482940,8.792728
cuda,DistilBertForMaskedLM,128,10.412033,9.002037,5.206701,1.106094,6.830954,2.101756,0.875323,0.130831,3.739329,3.016143
cuda,DistilBertForQuestionAnswering,256,10.669026,9.245919,5.137767,1.079926,7.135572,2.135499,0.875989,0.127099,2.914639,3.132667
cuda,DistillGPT2,16,11.676040,10.248437,6.713047,1.134198,8.566640,2.318113,1.155839,0.113815,2.909157,3.039729
cuda,ElectraForCausalLM,32,18.891742,15.533945,8.318511,2.349045,14.237800,4.190479,1.668655,0.305366,3.862089,8.378959
cuda,ElectraForQuestionAnswering,64,17.215594,13.899349,6.775975,2.318262,11.759999,3.929402,1.640072,0.292089,2.334901,7.639975
cuda,GPT2ForSequenceClassification,4,17.654656,14.775881,8.368336,2.727851,10.297364,3.638244,1.547692,0.256537,2.445585,4.750890
cuda,GoogleFnet,16,12.260448,10.546096,6.957779,1.375906,10.768950,1.892869,1.033402,0.128424,1.791583,5.257061
cuda,LayoutLMForMaskedLM,16,18.804564,15.295711,8.079515,2.165505,10.983788,3.975629,1.660275,0.295038,2.542705,5.372168
cuda,LayoutLMForSequenceClassification,16,19.327031,15.740817,8.500773,2.213401,13.075543,5.114928,1.937593,0.290145,6.951917,7.085481
cuda,M2M100ForConditionalGeneration,16,41.068770,33.332212,15.916047,5.078610,22.805604,9.667805,4.008746,0.791201,8.637520,12.229639
cuda,MBartForCausalLM,4,18.781424,15.751570,8.633020,2.078270,11.673084,3.782182,1.609411,0.279566,1.338817,5.219740
cuda,MBartForConditionalGeneration,2,42.028436,34.126840,16.768875,6.175717,21.278039,9.739867,4.004772,1.066874,0.517181,11.548535
cuda,MT5ForConditionalGeneration,16,28.958294,23.870157,10.808083,3.693208,15.273972,6.687809,2.498023,0.536409,22.090972,8.349241
cuda,MegatronBertForCausalLM,4,32.670183,26.124674,12.172744,5.244525,16.043381,7.893708,3.200818,0.728958,1.692283,9.580354
cuda,MegatronBertForQuestionAnswering,8,32.761590,26.255805,12.312496,4.683410,16.825403,8.328930,3.154447,0.739285,1.606089,9.675641
cuda,MobileBertForMaskedLM,64,36.213747,29.169650,8.225326,5.534374,21.410330,10.631716,4.660881,2.516175,3.656170,19.030215
cuda,MobileBertForQuestionAnswering,128,36.946015,29.721222,8.312798,5.552416,21.607244,10.636056,4.666727,2.568543,2.316599,19.154122
cuda,OPTForCausalLM,2,17.073334,13.987188,7.254371,2.214910,9.934114,3.928628,1.662693,0.277577,1.731744,4.994558
cuda,PLBartForCausalLM,8,10.821822,9.265885,5.539733,1.102054,7.464259,1.849265,1.063178,0.129399,1.184452,3.300483
cuda,PLBartForConditionalGeneration,4,21.831453,17.996387,8.824677,3.012771,12.897120,4.985616,2.458406,0.422320,1.685364,7.223592
cuda,PegasusForCausalLM,32,17.194140,14.137336,7.607758,2.277994,10.702753,3.642983,1.590817,0.277654,1.555255,5.475725
cuda,PegasusForConditionalGeneration,32,30.584343,27.022473,11.440946,4.678870,17.434920,7.615884,3.373450,0.726890,0.649438,10.890764
cuda,RobertaForCausalLM,16,17.075931,13.819898,6.669848,2.325544,9.142200,3.914767,1.664124,0.295756,1.375641,5.135825
cuda,RobertaForQuestionAnswering,16,16.910897,13.676342,6.592068,2.316201,9.050557,3.667060,1.908407,0.286484,0.618006,5.117053
cuda,Speech2Text2ForCausalLM,256,10.576583,9.012936,5.711212,0.939631,8.522306,1.861972,0.977472,0.124876,1.085683,3.803878
cuda,T5ForConditionalGeneration,4,20.943192,17.431897,8.699592,2.875792,11.451726,4.457419,1.831762,0.337685,6.925907,5.752826
cuda,T5Small,4,20.921543,17.415547,8.670991,2.889169,11.478670,4.486520,1.816879,0.341717,7.051136,5.821158
cuda,TrOCRForCausalLM,32,17.048300,13.870037,7.009915,1.982180,10.161975,3.708131,1.573760,0.275486,1.101015,5.235021
cuda,XGLMForCausalLM,8,35.001174,29.086899,14.238737,4.815369,19.993928,8.658291,3.380014,0.820324,22.192599,11.061620
cuda,XLNetLMHeadModel,8,47.867317,40.672888,19.582673,7.737289,23.759921,13.396050,3.795674,0.941660,10.494544,12.584927
