,Compiler,torchbench,huggingface,timm_models
eager,eager,0.98x,0.99x,0.99x
aot_eager,aot_eager,0.86x,0.92x,0.88x
aot_cudagraphs,aot_cudagraphs,0.39x,0.36x,0.31x
nvprims_nvfuser,nvprims_nvfuser,0.91x,1.02x,0.95x
inductor,inductor,0.84x,0.75x,0.98x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.98x,1.00x,1.09x
