dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.666206,3.193359,1.597566,7.375382,2.798702,1.308248,0.133027,1.412626,7.269244,0.880381
cuda,AlbertForQuestionAnswering,4,1.727142,3.218371,1.605415,7.332559,2.782511,1.311674,0.131907,1.053834,6.850762,0.516342
cuda,BartForCausalLM,4,1.765052,6.112131,1.949523,8.445737,2.968855,1.185553,0.220329,1.413354,1.431766,5.782821
cuda,BartForConditionalGeneration,2,4.807721,13.462726,4.430608,18.719789,8.115685,2.854620,0.818340,0.951463,1.165694,10.859668
cuda,BertForMaskedLM,16,2.361652,6.473951,1.927186,8.501318,3.173113,1.295613,0.253258,2.016307,6.066892,1.430710
cuda,BertForQuestionAnswering,16,2.386615,6.416837,1.898966,8.443545,3.128368,1.286516,0.244442,1.542479,5.560788,1.012324
cuda,BlenderbotSmallForCausalLM,64,1.189372,3.378673,1.276943,5.436044,1.962027,0.883697,0.144897,2.429386,5.823592,2.087198
cuda,BlenderbotSmallForConditionalGeneration,64,3.164700,8.243446,3.128430,11.932200,5.115961,2.044852,0.481557,2.040174,1.873308,9.002743
cuda,CamemBert,16,2.357723,6.483357,1.941016,8.565653,3.195826,1.315526,0.255554,0.970624,5.090404,0.327474
cuda,DebertaForMaskedLM,4,6.257219,15.570223,2.698049,18.636508,4.308408,2.056073,0.310826,19.698425,0.852875,25.698869
cuda,DebertaForQuestionAnswering,8,6.438780,15.610987,2.663922,18.724021,4.279968,2.050101,0.307144,20.618957,1.774716,26.636177
cuda,DebertaV2ForMaskedLM,1,9.786485,19.344544,3.321984,22.358455,4.732195,2.397044,0.532766,49.744724,1.439671,56.458952
cuda,DebertaV2ForQuestionAnswering,2,9.764928,18.634851,3.769714,22.086296,5.729006,2.857474,0.527217,50.414088,0.487220,58.015248
cuda,DistilBertForMaskedLM,128,0.917781,3.385651,1.008328,5.066571,1.798654,0.705000,0.109375,1.523243,4.259816,1.187677
cuda,DistilBertForQuestionAnswering,256,0.962234,3.393291,1.013347,5.163070,1.846673,0.717516,0.107143,0.953021,3.783973,0.584381
cuda,DistillGPT2,16,1.056056,4.436416,0.902675,6.319241,1.530839,0.698103,0.094975,2.041431,2.669235,4.868885
cuda,ElectraForCausalLM,32,2.403857,8.619722,1.918894,11.642874,3.302484,1.358691,0.249423,3.328241,2.537453,8.367605
cuda,ElectraForQuestionAnswering,64,2.323822,6.382913,1.897629,8.462893,3.145546,1.297145,0.253981,1.883539,5.954268,1.314047
cuda,GPT2ForSequenceClassification,4,2.173984,4.330173,1.909253,6.455068,2.564826,1.204165,0.212079,1.385355,5.500648,1.018780
cuda,GoogleFnet,16,1.327729,9.376381,1.066942,12.400316,1.522882,0.640072,0.104047,4.184514,1.734420,8.350694
cuda,LayoutLMForMaskedLM,16,2.756291,6.873964,2.013793,8.987823,3.476260,1.349181,0.250875,2.078035,6.304832,1.433527
cuda,LayoutLMForSequenceClassification,16,2.738135,6.475763,1.936417,10.204874,3.898278,1.498123,0.249665,7.406028,13.166700,6.959761
cuda,M2M100ForConditionalGeneration,16,4.820709,11.423754,3.728569,19.058676,6.849468,3.651659,0.669583,4.219119,9.380145,15.792556
cuda,MBartForCausalLM,4,1.716396,7.582525,1.936526,9.857123,2.961728,1.180539,0.219304,1.414195,1.325104,5.710860
cuda,MBartForConditionalGeneration,2,4.756248,12.662962,4.344166,17.727152,8.066949,2.862575,0.812974,1.019510,0.483159,10.654947
cuda,MT5ForConditionalGeneration,16,4.644089,8.393086,2.670743,13.451577,5.592280,1.827217,0.474473,4.080560,19.451829,11.971376
cuda,MegatronBertForCausalLM,4,4.527063,9.173603,4.253625,12.215655,6.162255,2.447229,0.654037,1.174395,8.651666,0.384243
cuda,MegatronBertForQuestionAnswering,8,4.654459,8.934308,4.143590,12.019228,6.470791,2.395629,0.644889,1.414551,8.823001,0.528217
cuda,MobileBertForMaskedLM,64,10.910460,6.583409,4.606892,17.013340,8.594296,3.667945,1.956366,3.198042,18.544633,1.712677
cuda,MobileBertForQuestionAnswering,128,10.839072,6.564902,5.078528,19.152207,9.123728,5.006500,2.296107,2.570669,20.546848,1.020811
cuda,OPTForCausalLM,2,1.771290,4.752306,1.819978,7.392613,2.964633,1.296967,0.234007,1.536084,6.076252,1.089597
cuda,PLBartForCausalLM,8,0.951181,4.611277,1.055050,6.672362,1.891559,0.711442,0.108249,1.104415,1.205465,4.269125
cuda,PLBartForConditionalGeneration,4,2.526034,7.664307,2.590761,11.309140,4.652874,1.726324,0.353382,1.746002,1.709631,8.328243
cuda,PegasusForCausalLM,32,1.852470,6.685699,1.981208,9.529506,3.112412,1.293914,0.243488,1.943255,1.585382,6.858967
cuda,PegasusForConditionalGeneration,32,4.589303,11.492487,4.316025,16.077547,6.529369,3.002399,0.655412,2.598346,0.683310,11.725340
cuda,Reformer,16,2.102824,7.382755,0.685431,8.190255,1.066032,0.527542,0.046270,1.266599,1.697393,2.803953
cuda,RobertaForCausalLM,16,2.313255,6.489520,1.932113,8.394978,3.176786,1.308839,0.249073,0.925442,0.725269,4.856384
cuda,RobertaForQuestionAnswering,16,2.327510,6.259728,1.863272,8.240944,3.055447,1.265116,0.242226,0.581422,4.515607
cuda,Speech2Text2ForCausalLM,256,0.961002,4.615059,0.736626,7.223080,1.288576,0.608243,0.099008,1.320045,1.106574,4.707091
cuda,T5ForConditionalGeneration,4,3.192246,6.563050,1.822510,11.805800,3.632409,1.359694,0.292259,2.463018,5.829576,9.874514
cuda,T5Small,4,3.185308,6.572659,1.820871,11.864284,3.628381,1.352410,0.288913,2.263810,5.668058,9.719079
