dev,name,batch_size,accuracy
cuda,adv_inception_v3,2,fail_accuracy
cuda,beit_base_patch16_224,2,eager_variation
cuda,botnet26t_256,2,pass
cuda,cait_m36_384,2,eager_variation
cuda,coat_lite_mini,2,eager_variation
cuda,convit_base,2,eager_variation
cuda,convmixer_768_32,2,eager_variation
cuda,convnext_base,2,fail_accuracy
cuda,crossvit_9_240,2,eager_variation
cuda,cspdarknet53,2,eager_variation
cuda,deit_base_distilled_patch16_224,2,eager_variation
cuda,dla102,2,eager_variation
cuda,dm_nfnet_f0,2,eager_variation
cuda,dpn107,2,fail_accuracy
cuda,eca_botnext26ts_256,2,fail_accuracy
cuda,eca_halonext26ts,2,eager_variation
cuda,ese_vovnet19b_dw,2,eager_variation
cuda,fbnetc_100,2,fail_accuracy
cuda,fbnetv3_b,2,eager_variation
cuda,gernet_l,2,eager_variation
cuda,ghostnet_100,2,pass
cuda,gluon_inception_v3,2,eager_variation
cuda,gluon_xception65,2,eager_variation
cuda,gmixer_24_224,2,eager_variation
cuda,gmlp_s16_224,2,eager_variation
cuda,hrnet_w18,2,pass
cuda,inception_v3,2,eager_variation
cuda,jx_nest_base,2,eager_variation
cuda,lcnet_050,2,pass
cuda,mixer_b16_224,2,eager_variation
cuda,mixnet_l,2,eager_variation
cuda,mnasnet_100,2,fail_accuracy
cuda,mobilenetv2_100,2,pass
cuda,mobilenetv3_large_100,2,pass
cuda,mobilevit_s,2,eager_variation
cuda,nfnet_l0,2,eager_variation
cuda,pit_b_224,2,eager_variation
cuda,pnasnet5large,2,eager_variation
cuda,poolformer_m36,2,eager_variation
cuda,regnety_002,2,eager_variation
cuda,repvgg_a2,2,eager_variation
cuda,res2net101_26w_4s,2,pass
cuda,res2net50_14w_8s,2,eager_variation
cuda,res2next50,2,eager_variation
cuda,resmlp_12_224,2,eager_variation
cuda,resnest101e,2,eager_variation
cuda,rexnet_100,2,eager_variation
cuda,sebotnet33ts_256,2,eager_variation
cuda,selecsls42b,2,pass
cuda,spnasnet_100,2,fail_accuracy
cuda,swin_base_patch4_window7_224,2,eager_variation
cuda,swsl_resnext101_32x16d,2,eager_variation
cuda,tf_efficientnet_b0,2,eager_variation
cuda,tf_mixnet_l,2,eager_variation
cuda,tinynet_a,2,eager_variation
cuda,tnt_s_patch16_224,2,eager_variation
cuda,twins_pcpvt_base,2,eager_variation
cuda,visformer_small,2,eager_variation
cuda,vit_base_patch16_224,2,eager_variation
cuda,volo_d1_224,2,pass
cuda,xcit_large_24_p8_224,2,eager_variation
