,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
aot_eager,aot_eager,1.00x,1.00x,1.00x
aot_cudagraphs,aot_cudagraphs,1.00x,0.0x,0.0x
aot_nvfuser,aot_nvfuser,1.08x,0.0x,1.28x
inductor,inductor,1.74x,1.93x,1.46x
