,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.00x,1.00x
aot_eager,aot_eager,0.88x,0.92x,0.85x
aot_cudagraphs,aot_cudagraphs,1.00x,0.0x,0.0x
aot_nvfuser,aot_nvfuser,0.97x,0.0x,0.82x
inductor,inductor,0.84x,0.95x,0.85x
