dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,adv_inception_v3,8,pass,317,2,9,6
cuda,beit_base_patch16_224,8,pass,472,2,9,6
cuda,botnet26t_256,8,pass,340,2,11,6
cuda,cait_m36_384,4,pass,1345,2,9,6
cuda,coat_lite_mini,8,pass,463,2,9,6
cuda,convit_base,8,pass,893,57,25,7
cuda,convmixer_768_32,8,pass,234,2,6,4
cuda,convnext_base,8,pass,498,2,9,6
cuda,crossvit_9_240,8,pass,603,2,9,6
cuda,cspdarknet53,8,pass,442,2,11,6
cuda,deit_base_distilled_patch16_224,8,pass,380,2,9,6
cuda,dla102,8,pass,419,2,9,6
cuda,dm_nfnet_f0,8,pass,619,2,9,6
cuda,dpn107,8,pass,746,2,11,6
cuda,eca_botnext26ts_256,8,pass,370,2,11,6
cuda,ese_vovnet19b_dw,8,pass,161,3,11,7
cuda,fbnetc_100,8,pass,384,3,11,7
cuda,fbnetv3_b,8,pass,610,2,11,6
cuda,gernet_l,8,pass,409,2,11,6
cuda,ghostnet_100,8,pass,328,2,11,6
cuda,gluon_inception_v3,8,pass,317,2,9,6
cuda,gluon_xception65,8,pass,356,2,9,6
cuda,gmixer_24_224,8,pass,635,2,9,6
cuda,gmlp_s16_224,8,pass,491,2,9,6
cuda,hrnet_w18,8,pass,1373,2,6,4
cuda,inception_v3,8,pass,317,2,9,6
cuda,jx_nest_base,8,pass,862,2,9,6
cuda,lcnet_050,8,fail_accuracy,168,2,11,6
cuda,mixer_b16_224,8,pass,227,2,9,6
cuda,mixnet_l,8,pass,677,2,11,6
cuda,mnasnet_100,8,pass,305,3,11,7
cuda,mobilenetv2_100,8,pass,304,2,11,6
cuda,mobilenetv3_large_100,8,pass,315,2,11,6
cuda,mobilevit_s,8,pass,520,3,11,7
cuda,nfnet_l0,8,pass,550,2,9,6
cuda,pit_b_224,8,pass,426,2,9,6
cuda,pnasnet5large,8,pass,958,2,8,4
cuda,poolformer_m36,8,pass,699,2,9,6
cuda,regnety_002,8,pass,368,2,11,6
cuda,repvgg_a2,8,pass,397,2,11,6
cuda,res2net101_26w_4s,8,pass,807,2,9,6
cuda,res2net50_14w_8s,8,pass,703,2,9,6
cuda,res2next50,8,pass,399,2,9,6
cuda,resmlp_12_224,8,pass,203,2,9,6
cuda,resnest101e,8,pass,1022,2,9,6
cuda,rexnet_100,8,pass,404,2,11,6
cuda,sebotnet33ts_256,8,pass,465,3,11,7
cuda,selecsls42b,8,pass,136,2,9,6
cuda,spnasnet_100,8,pass,376,2,11,6
cuda,swin_base_patch4_window7_224,8,pass,1382,2,9,6
cuda,swsl_resnext101_32x16d,8,pass,415,2,9,6
cuda,tf_efficientnet_b0,8,pass,371,2,11,6
cuda,tf_mixnet_l,8,pass,692,2,11,6
cuda,tinynet_a,8,fail_accuracy,435,2,11,6
cuda,tnt_s_patch16_224,8,pass,826,2,9,6
cuda,twins_pcpvt_base,8,pass,1022,2,9,6
cuda,visformer_small,8,pass,317,2,9,6
cuda,vit_base_patch16_224,8,pass,377,2,9,6
cuda,volo_d1_224,8,pass,618,2,9,6
cuda,xcit_large_24_p8_224,8,pass,1195,2,9,6
