dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,3.605159,0.000142
cuda,beit_base_patch16_224,64,2.441796,0.000186
cuda,botnet26t_256,128,2.120035,0.000255
cuda,cait_m36_384,4,7.664043,0.000409
cuda,coat_lite_mini,128,2.150821,0.000167
cuda,convit_base,64,2.335162,0.000183
cuda,convmixer_768_32,32,1.365252,0.000122
cuda,convnext_base,64,3.847684,0.000255
cuda,crossvit_9_240,128,3.315591,0.000211
cuda,cspdarknet53,64,3.811285,0.000407
cuda,deit_base_distilled_patch16_224,64,1.938718,0.000226
cuda,dla102,128,3.869334,0.000203
cuda,dm_nfnet_f0,128,3.870785,0.000261
cuda,dpn107,32,6.287979,0.000674
cuda,eca_botnext26ts_256,128,2.245924,0.000254
cuda,ese_vovnet19b_dw,128,1.689128,0.000171
cuda,fbnetc_100,128,3.292435,0.000355
cuda,fbnetv3_b,128,5.460664,0.000512
cuda,gernet_l,128,3.227073,0.000331
cuda,ghostnet_100,128,4.807855,0.000147
cuda,gluon_inception_v3,128,3.500535,0.000139
cuda,gluon_xception65,32,4.664015,0.000160
cuda,gmixer_24_224,128,3.239592,0.000220
cuda,gmlp_s16_224,128,3.244916,0.000176
cuda,hrnet_w18,128,6.895588,0.000417
cuda,inception_v3,128,3.554247,0.000145
cuda,jx_nest_base,32,4.077757,0.000297
cuda,lcnet_050,128,1.538739,0.000182
cuda,mixer_b16_224,128,1.695946,0.000110
cuda,mixnet_l,128,5.396621,0.000419
cuda,mnasnet_100,128,2.667444,0.000315
cuda,mobilenetv2_100,128,2.683468,0.000290
cuda,mobilenetv3_large_100,128,2.752142,0.000276
cuda,mobilevit_s,64,3.252073,0.000295
cuda,nfnet_l0,128,3.358284,0.000249
cuda,pit_b_224,64,2.171877,0.000170
cuda,pnasnet5large,16,5.802969,0.000310
cuda,poolformer_m36,64,4.469682,0.000270
cuda,regnety_002,128,2.915815,0.000278
cuda,repvgg_a2,128,3.261323,0.000378
cuda,res2net101_26w_4s,64,6.357123,0.000274
cuda,res2net50_14w_8s,128,5.508106,0.000228
cuda,res2next50,128,3.173551,0.000154
cuda,resmlp_12_224,128,1.587846,0.000132
cuda,resnest101e,64,6.649768,0.000302
cuda,rexnet_100,128,3.556303,0.000315
cuda,sebotnet33ts_256,64,2.846720,0.000316
cuda,selecsls42b,128,1.482234,0.000094
cuda,spnasnet_100,128,3.261508,0.000360
cuda,swin_base_patch4_window7_224,64,5.214526,0.000420
cuda,swsl_resnext101_32x16d,32,3.748094,0.000175
cuda,tf_efficientnet_b0,128,3.212667,0.000299
cuda,tf_mixnet_l,128,5.707091,0.000434
cuda,tinynet_a,128,3.656715,0.000340
cuda,tnt_s_patch16_224,128,3.984945,0.000253
cuda,twins_pcpvt_base,64,5.958109,0.000362
cuda,visformer_small,128,1.827824,0.000132
cuda,vit_base_patch16_224,64,1.931226,0.000160
cuda,volo_d1_224,64,3.086660,0.000206
cuda,xcit_large_24_p8_224,5,7.047159,0.000373
