,Compiler,torchbench,huggingface,timm_models
eager,eager,1.00x,1.01x,1.00x
aot_eager,aot_eager,1.00x,1.00x,1.00x
inductor,inductor,1.79x,1.62x,1.38x
inductor_no_cudagraphs,inductor_no_cudagraphs,1.33x,1.54x,1.33x
