dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,PegasusForCausalLM,32,17.414318,14.352594,7.473601,2.319016,10.660259,3.480237,1.515179,0.278527,1.602402,5.607800
cuda,PegasusForConditionalGeneration,32,31.571324,27.897360,11.478435,4.437621,17.652171,7.853655,3.141585,0.692925,0.681102,10.826387
cuda,RobertaForCausalLM,16,16.982977,13.721061,6.644714,2.559148,8.921920,3.382259,1.835966,0.284686,0.752900,5.188163
cuda,RobertaForQuestionAnswering,16,16.356393,13.114274,5.980888,2.761577,8.231175,3.303269,1.798252,0.284010,5.121037
cuda,Speech2Text2ForCausalLM,256,10.516900,8.946366,5.702411,1.005790,8.566836,1.733243,0.774410,0.125447,1.107835,3.923526
cuda,T5ForConditionalGeneration,4,20.219115,16.748903,8.159447,2.383630,12.022723,4.793011,1.528728,0.320669,5.792211,6.373631
cuda,T5Small,4,20.383979,16.844617,8.232552,2.402565,12.131354,4.879773,1.542910,0.322849,5.825516,6.429097
cuda,TrOCRForCausalLM,32,17.148278,13.988875,7.134011,2.163819,10.192059,3.530731,1.482761,0.275507,1.072528,5.322116
cuda,XGLMForCausalLM,8,36.390271,30.329894,15.396990,6.159724,19.947494,8.459534,3.185875,0.821090,21.967083,11.204186
cuda,XLNetLMHeadModel,8,48.025027,40.911155,19.793141,8.341697,23.492766,13.367335,3.508248,0.844217,7.585401,12.715866
cuda,YituTechConvBert,16,25.840762,20.739854,9.637464,4.145164,14.620664,5.442101,2.474422,0.467169,8.240567,9.292447
