dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,2,1.769138,16.232811,3.833533,9.053843,5.869575,2.601804,0.211623,79.861201,76.608152
cuda,AlbertForQuestionAnswering,2,1.801651,7.422660,3.840060,9.213907,6.030425,2.695948,0.214391,10.617013,16.341722
cuda,BartForCausalLM,2,2.383981,17.121680,3.921355,20.649233,5.735146,13.165854,0.251908,7.840543
cuda,BartForConditionalGeneration,1,10.426403,16.326799,6.304931,24.013725,12.895322,10.170977,0.588846,15.009830
cuda,BertForMaskedLM,64,5.062684,16.051620,3.763602,10.315482,6.737888,3.047665,0.268397,55.093333,53.226336
cuda,BertForQuestionAnswering,64,5.143964,15.717134,3.749240,10.343109,6.741473,3.084475,0.278106,20.447657,18.929648
cuda,BlenderbotSmallForCausalLM,64,1.314654,8.689853,2.496738,11.619827,4.299700,6.189899,0.171248,5.498821
cuda,BlenderbotSmallForConditionalGeneration,32,5.437593,12.951025,6.541116,19.412821,9.729418,8.931957,0.438344,13.179523
cuda,CamemBert,1,5.054888,14.554000,3.011700,8.892654,5.842699,2.548633,0.253194,52.086794,49.542515
cuda,DebertaForMaskedLM,4,3.493693,35.212587,6.080296,15.408283,9.499894,5.222674,0.405737,68.752597,55.223883
cuda,DebertaForQuestionAnswering,4,3.510917,43.471334,6.059973,15.476950,9.527037,5.296974,0.412689,48.621742,26.882746
cuda,DistilBertForMaskedLM,16,0.868927,12.392421,2.295861,5.197418,3.212684,1.636150,0.136700,21.855469,17.011772
cuda,DistilBertForQuestionAnswering,32,0.905848,21.371748,2.217806,5.069290,3.119357,1.594801,0.134793,39.040867,25.010550
cuda,DistillGPT2,1,1.489645,11.525338,1.397823,4.140007,2.545959,1.265508,0.116592,28.066376,22.123555
cuda,ElectraForCausalLM,1,5.128617,14.447586,3.064948,9.087186,5.937512,2.614999,0.263009,58.392174,56.203892
cuda,ElectraForQuestionAnswering,64,5.161901,13.894441,3.853960,10.567190,6.856041,3.142956,0.275506,74.265919,74.899296
cuda,GPT2ForSequenceClassification,4,4.529238,13.697369,3.585622,8.981266,5.711092,2.755124,0.231069,31.043958,30.005417
cuda,LayoutLMForMaskedLM,16,5.308043,10.496576,3.897898,10.530799,6.889693,3.120598,0.271554,28.284745,32.324886
cuda,LayoutLMForSequenceClassification,16,5.223894,8.934264,3.768384,11.044972,7.261031,3.267873,0.276976,16.354685,22.344115
cuda,M2M100ForConditionalGeneration,2,6.078366,31.309942,9.177642,28.177400,13.989608,13.061058,0.666744,55.666452,61.970969
cuda,MBartForCausalLM,16,2.387943,9.707443,4.033684,14.034556,6.316768,7.195909,0.261418,8.471113
cuda,MBartForConditionalGeneration,8,10.728929,17.411013,8.859707,27.474358,15.471219,10.941979,0.626621,19.201001
cuda,MT5ForConditionalGeneration,2,13.593071,30.016605,6.220610,14.004568,9.137145,3.996948,0.452952,74.794088,65.169891
cuda,MegatronBertForCausalLM,2,16.765221,25.109219,8.288962,20.716105,13.793929,6.028522,0.531296,44.263901,48.373254
cuda,MegatronBertForQuestionAnswering,8,16.777133,23.969357,7.331710,19.878177,13.368310,5.657429,0.510316,35.880531,39.332957
cuda,MobileBertForMaskedLM,16,67.412888,30.012362,10.986118,35.581192,23.170093,10.769719,1.108073,94.438692,111.371497
cuda,MobileBertForQuestionAnswering,32,67.825290,19.960094,10.958056,36.413381,23.768028,10.976758,1.128889,63.759756,91.553135
cuda,PLBartForCausalLM,16,0.942836,6.259649,2.015137,8.559148,3.444203,4.803311,0.130966,4.370364
cuda,PLBartForConditionalGeneration,8,3.693028,10.701733,5.368644,15.974545,7.733848,7.630530,0.341536,10.987049
cuda,PegasusForCausalLM,8,2.182685,14.418342,3.636747,13.770481,6.340410,6.915755,0.254440,11.536027,14.631873
cuda,PegasusForConditionalGeneration,4,6.313294,29.744801,9.407597,27.376929,14.804262,11.487999,0.653730,53.762915,61.078963
cuda,RobertaForCausalLM,4,5.080189,17.142092,4.177722,10.358784,6.766730,3.086713,0.267417,27.951429,25.638263
cuda,RobertaForQuestionAnswering,64,5.134354,9.708876,3.699892,10.112852,6.613691,3.006647,0.265038,7.760521,11.967511
cuda,Speech2Text2ForCausalLM,64,0.935100,18.229940,1.789054,9.365185,3.250206,5.758659,0.140823,36.266305,29.239921
cuda,T5ForConditionalGeneration,4,7.555474,25.782532,4.096935,9.936379,6.385006,2.879794,0.324081,63.670610,52.033660
cuda,T5Small,1,7.643640,24.997071,3.077444,8.549085,5.553570,2.358626,0.308903,68.893100,55.631311
cuda,TrOCRForCausalLM,8,2.278247,9.476851,4.032504,12.992333,5.726438,6.818082,0.243303,7.653816
cuda,XLNetLMHeadModel,4,14.299726,16.676577,10.646879,25.819663,14.347377,10.536714,0.600918,20.564521
cuda,YituTechConvBert,1,8.301836,27.801547,4.417948,13.305647,8.674994,3.928492,0.383484,64.838691,55.138789
