dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.229633,3.708828,2.694227,8.123611,2.859419,1.123555,0.161397,7.394565,1.480521
cuda,AlbertForQuestionAnswering,4,2.218359,3.480672,2.634613,8.129192,2.836066,1.120400,0.159002,7.372234,1.091261
cuda,BartForCausalLM,4,2.299536,6.301122,2.897773,9.611171,3.778401,1.372443,0.280536,1.293806,6.308335
cuda,BartForConditionalGeneration,2,6.275233,15.421499,9.660444,22.068056,10.654715,3.590084,1.140726,2.686931,16.571632
cuda,BertForMaskedLM,64,2.870401,5.342797,3.335954,8.291042,3.748116,1.494366,0.317873,6.702774,2.212566
cuda,BertForQuestionAnswering,128,2.880030,5.354524,3.583136,7.820405,3.268047,1.479612,0.309790,6.158522,1.322961
cuda,BlenderbotSmallForCausalLM,64,1.550065,3.761209,1.871221,6.620454,2.712247,0.997360,0.174344,4.798516,2.232037
cuda,BlenderbotSmallForConditionalGeneration,64,4.183861,9.382879,5.869711,14.644264,6.910665,2.528050,0.636084,2.907712,11.308778
cuda,CamemBert,1,2.885031,4.939236,3.329419,7.043649,2.970469,1.290032,0.294160,5.541876,0.649221
cuda,DebertaForMaskedLM,4,6.530892,14.982046,3.530586,19.397672,4.904947,2.096143,0.334957,0.942469,8.167539
cuda,DebertaForQuestionAnswering,8,6.812027,15.668895,3.764892,19.674984,5.153091,2.100495,0.335225,1.803961,7.994210
cuda,DistilBertForMaskedLM,64,1.182526,3.199526,1.769935,5.246776,1.752363,0.790926,0.131188,3.874797,2.221517
cuda,DistilBertForQuestionAnswering,64,1.217997,3.097441,1.686411,5.130686,1.717135,0.775614,0.126988,3.778125,1.776124
cuda,DistillGPT2,1,1.232032,2.909643,1.003179,4.942538,1.528355,0.652793,0.110864,3.083041,3.560777
cuda,ElectraForCausalLM,32,2.911321,6.980801,3.624926,10.760669,3.792049,1.529255,0.317157,3.779925,7.513955
cuda,ElectraForQuestionAnswering,64,2.897898,5.366155,3.276116,8.298276,3.314771,1.911799,0.315555,6.635351,2.091557
cuda,GPT2ForSequenceClassification,4,2.481142,5.041349,2.451579,7.774003,3.371794,1.341757,0.249603,5.277248,1.405562
cuda,LayoutLMForMaskedLM,16,3.278950,5.509471,3.162399,8.724913,3.769038,1.841959,0.321946,6.488891,2.164335
cuda,LayoutLMForSequenceClassification,16,3.224861,5.674479,3.060034,9.697224,4.423645,2.047827,0.310908,7.420075,6.600173
cuda,M2M100ForConditionalGeneration,8,6.648198,13.371145,6.186004,23.286676,10.371222,3.573399,0.880154,18.802338,16.345480
cuda,MBartForCausalLM,32,2.299503,6.643725,3.400816,9.979471,3.646958,1.476138,0.306674,1.279914,6.837809
cuda,MBartForConditionalGeneration,16,6.197416,14.139364,10.701585,22.851167,12.100470,3.881824,1.333155,2.192981,19.690327
cuda,MT5ForConditionalGeneration,8,5.175679,8.433549,5.706980,14.439988,6.928873,2.174076,0.501001,11.893080,6.806350
cuda,MegatronBertForCausalLM,16,5.600875,10.318384,7.453580,15.727225,8.036781,3.005656,0.916976,13.644101,2.767965
cuda,MegatronBertForQuestionAnswering,16,5.694842,10.199567,7.786736,15.058946,7.936679,2.988073,0.887033,13.433414,2.370570
cuda,MobileBertForMaskedLM,32,13.576583,11.820762,11.090031,26.609410,15.889681,5.007396,2.701528,26.252054,5.570122
cuda,MobileBertForQuestionAnswering,64,13.720261,11.724468,10.783246,26.342627,15.803114,4.984538,2.693745,25.773564,4.187086
cuda,OPTForCausalLM,32,2.357072,5.965290,2.389834,9.588577,4.057652,1.533575,0.284336,2.334347,6.105119
cuda,PLBartForCausalLM,32,1.204418,4.536981,1.663907,6.925040,2.023018,0.777437,0.120905,1.504633,4.108011
cuda,PLBartForConditionalGeneration,16,3.325302,7.778139,4.408861,12.337947,4.428476,2.520449,0.432258,3.869131,9.107673
cuda,PegasusForCausalLM,32,2.577167,6.910106,3.404992,10.692455,3.657478,1.505869,0.310473,1.461197,7.291624
cuda,PegasusForConditionalGeneration,16,6.272785,13.285126,8.694280,20.411751,8.637210,3.837945,0.911300,2.500297,17.038704
cuda,RobertaForCausalLM,64,2.849113,6.083850,3.322520,8.942704,3.769793,1.498626,0.310852,1.462071,6.289610
cuda,RobertaForQuestionAnswering,128,2.865022,5.425998,3.666768,7.748595,3.277308,1.477425,0.313605,6.101777,0.558177
cuda,Speech2Text2ForCausalLM,128,1.257765,5.088611,1.059668,7.771441,1.824313,0.745523,0.121405,1.450072,3.794303
cuda,T5ForConditionalGeneration,4,3.468392,7.424575,3.595274,11.042933,4.361150,1.553504,0.311026,6.994228,7.337806
cuda,T5Small,1,3.471123,9.714939,2.699076,14.310000,4.086587,1.354172,0.295082,7.999030,7.418241
cuda,TrOCRForCausalLM,32,2.323701,8.774919,2.950906,13.050205,3.832710,1.450720,0.297124,1.340868,7.326943
cuda,XGLMForCausalLM,8,5.041541,15.064590,7.754504,22.050346,8.890685,3.003840,0.830880,30.862589,15.534470
cuda,YituTechConvBert,1,4.312773,8.389655,5.655186,13.251684,4.726426,2.357838,0.482824,16.155720,10.695968
