dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.874424,11.463371,5.406978,16.021046,8.092818,3.763626,0.603765,10.142939
cuda,beit_base_patch16_224,64,1.877783,6.002522,2.127030,9.356855,3.588806,1.474755,0.236559,2.971058,5.579719
cuda,cait_m36_384,4,6.065214,12.785398,7.659759,24.741671,12.691365,5.547206,1.732852,15.279370,19.965778
cuda,coat_lite_mini,128,1.739515,6.535587,3.650344,13.256281,5.423116,2.436721,0.194966,46.637341,10.467192
cuda,convit_base,64,1.871195,5.958201,3.218671,11.923069,4.508655,2.474499,0.268173,8.585334,9.298186
cuda,convmixer_768_32,32,2.238751,4.904928,2.548029,7.816599,2.987765,1.235025,0.267197,5.585653,5.994372
cuda,convnext_base,64,2.547668,8.746041,5.491515,21.744977,9.774455,3.112830,0.454541,49.327584,18.669498
cuda,crossvit_9_240,128,2.831107,8.561682,3.913012,14.894875,7.361036,2.502507,0.403960,16.289407,10.402010
cuda,deit_base_distilled_patch16_224,64,1.515858,5.203653,2.034805,11.766947,3.715610,1.397372,0.217781,4.637883,8.683883
cuda,dla102,128,3.563916,10.407125,4.465739,14.502176,7.770344,2.753688,0.571216,9.186790
cuda,dm_nfnet_f0,128,2.922542,7.947139,5.967610,11.101623,6.120080,1.763477,0.258400,9.308262
cuda,gluon_inception_v3,128,2.961993,11.493801,5.366997,16.067410,8.106466,3.777266,0.606173,10.116657
cuda,gluon_xception65,32,3.922269,9.447538,5.069478,13.107958,6.838701,2.397876,0.684027,8.959658,5.181303
cuda,gmixer_24_224,128,2.601128,6.713318,2.274271,12.672963,5.759801,2.300402,0.383853,12.162041,8.367399
cuda,gmlp_s16_224,128,2.337018,10.090775,4.680202,16.810152,8.721415,2.963404,0.425620,15.501105,11.581806
cuda,hrnet_w18,128,11.532219,30.868403,17.161846,47.338065,27.824279,9.700861,5.329660,34.241081
cuda,inception_v3,128,2.972338,11.823849,5.809266,16.413357,8.307748,3.847372,0.619089,10.586309
cuda,jx_nest_base,32,2.855063,12.044491,5.890534,21.264206,11.314143,3.794185,0.594374,29.174092,15.318399
cuda,mixer_b16_224,128,1.281440,5.857327,2.611295,8.084283,2.536057,1.068005,0.147026,8.878223,4.930099
cuda,nfnet_l0,128,2.656016,5.484692,2.519439,9.141135,4.175476,1.393171,0.260748,6.306571,0.899755
cuda,pit_b_224,64,1.718061,5.655886,2.548997,8.936145,3.748590,1.476136,0.234321,1.757941,5.923760
cuda,poolformer_m36,64,3.045870,14.716959,7.100172,22.857712,14.197912,4.328452,0.665125,15.486518
cuda,res2net101_26w_4s,64,5.944623,16.924655,7.867922,24.329671,13.460179,5.915956,1.597325,15.599535
cuda,res2net50_14w_8s,128,5.202741,15.134032,7.900583,22.044608,12.080994,4.870580,1.327337,15.100282
cuda,res2next50,128,2.843865,8.928236,4.172424,13.140404,6.592947,2.826989,0.500317,8.545528
cuda,resmlp_12_224,128,1.094460,3.875103,1.820790,9.946435,2.178351,1.071025,0.131249,9.795099,7.963565
cuda,resnest101e,64,5.956931,12.973937,7.212517,21.194807,11.452885,4.350490,1.138300,25.699748,15.758709
cuda,selecsls42b,128,1.273229,5.547899,2.181132,8.705969,3.894323,1.685061,0.179826,5.671630
cuda,swin_base_patch4_window7_224,64,4.669240,15.745715,6.605797,27.484764,14.241916,5.281433,0.630838,39.649246,18.569901
cuda,swsl_resnext101_32x16d,32,3.270236,7.199808,3.837328,10.801710,5.484910,1.910677,0.445957,7.628229,5.159588
cuda,tnt_s_patch16_224,128,3.301536,9.487549,4.700113,15.940035,8.103090,2.887649,0.650313,4.528138,11.748495
cuda,twins_pcpvt_base,64,4.817004,12.534591,6.409132,21.578194,11.189750,4.125118,1.203787,90.589832,15.714512
cuda,visformer_small,128,1.390862,5.990652,3.304371,8.282951,2.977475,1.223918,0.190713,5.694210,7.479907
cuda,vit_base_patch16_224,64,1.510204,5.117719,2.032678,11.160118,3.296275,1.317374,0.212683,4.878954,8.161128
cuda,volo_d1_224,64,2.351436,9.179158,4.352013,15.241439,7.644387,2.862812,0.410632,11.838131,10.567704
cuda,xcit_large_24_p8_224,5,5.601892,16.188747,9.901235,26.706625,14.088724,6.689808,1.479167,23.081508,21.511680
