dev,name,batch_size,accuracy
cuda,adv_inception_v3,2,pass
cuda,beit_base_patch16_224,2,pass
cuda,botnet26t_256,2,pass
cuda,cait_m36_384,2,pass
cuda,coat_lite_mini,2,pass
cuda,convit_base,2,pass
cuda,convmixer_768_32,2,pass
cuda,convnext_base,2,pass
cuda,crossvit_9_240,2,pass
cuda,cspdarknet53,2,pass
cuda,deit_base_distilled_patch16_224,2,fail_accuracy
cuda,dla102,2,pass
cuda,dm_nfnet_f0,2,pass
cuda,dpn107,2,pass
cuda,eca_botnext26ts_256,2,pass
cuda,eca_halonext26ts,2,pass
cuda,ese_vovnet19b_dw,2,pass
cuda,fbnetc_100,2,pass
cuda,fbnetv3_b,2,fail_accuracy
cuda,gernet_l,2,pass
cuda,ghostnet_100,2,pass
cuda,gluon_inception_v3,2,pass
cuda,gluon_xception65,2,pass
cuda,gmixer_24_224,2,pass
cuda,gmlp_s16_224,2,pass
cuda,hrnet_w18,2,pass
cuda,inception_v3,2,pass
cuda,jx_nest_base,2,pass
cuda,lcnet_050,2,pass
cuda,mixer_b16_224,2,pass
cuda,mixnet_l,2,pass
cuda,mnasnet_100,2,pass
cuda,mobilenetv2_100,2,pass
cuda,mobilenetv3_large_100,2,pass
cuda,mobilevit_s,2,pass
cuda,nfnet_l0,2,pass
cuda,pit_b_224,2,pass
cuda,pnasnet5large,2,pass
cuda,poolformer_m36,2,fail_accuracy
cuda,regnety_002,2,pass
cuda,repvgg_a2,2,pass
cuda,res2net101_26w_4s,2,pass
cuda,res2net50_14w_8s,2,pass
cuda,res2next50,2,pass
cuda,resmlp_12_224,2,pass
cuda,resnest101e,2,fail_accuracy
cuda,rexnet_100,2,pass
cuda,sebotnet33ts_256,2,pass
cuda,selecsls42b,2,pass
cuda,spnasnet_100,2,pass
cuda,swin_base_patch4_window7_224,2,pass
cuda,swsl_resnext101_32x16d,2,pass
cuda,tf_efficientnet_b0,2,pass
cuda,tf_mixnet_l,2,pass
cuda,tinynet_a,2,pass
cuda,tnt_s_patch16_224,2,pass
cuda,twins_pcpvt_base,2,pass
cuda,visformer_small,2,pass
cuda,vit_base_patch16_224,2,pass
cuda,volo_d1_224,2,pass
cuda,xcit_large_24_p8_224,2,pass
