dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,1,pass,436,4,7,5
cuda,AlbertForQuestionAnswering,1,fail_accuracy,436,4,7,5
cuda,AllenaiLongformerBase,1,eager_variation,0,0,0,0
cuda,BartForCausalLM,1,pass,482,14,11,8
cuda,BartForConditionalGeneration,1,pass,1258,1,4,3
cuda,BertForMaskedLM,1,pass,366,3,7,4
cuda,BertForQuestionAnswering,1,pass,373,3,7,4
cuda,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0
cuda,BlenderbotSmallForCausalLM,1,pass,327,10,11,8
cuda,BlenderbotSmallForConditionalGeneration,1,pass,840,1,4,3
cuda,CamemBert,1,pass,373,3,7,4
cuda,DebertaForMaskedLM,1,pass,712,53,51,11
cuda,DebertaForQuestionAnswering,1,pass,719,53,51,11
cuda,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0
cuda,DebertaV2ForQuestionAnswering,1,fail_to_run,924,101,86,10
cuda,DistilBertForMaskedLM,1,pass,206,1,4,3
cuda,DistilBertForQuestionAnswering,1,pass,214,1,4,3
cuda,DistillGPT2,1,pass,336,1,4,3
cuda,ElectraForCausalLM,1,pass,371,5,10,6
cuda,ElectraForQuestionAnswering,1,pass,374,3,7,4
cuda,GPT2ForSequenceClassification,1,pass,656,2,5,4
cuda,GoogleFnet,1,pass,209,28,45,7
cuda,LayoutLMForMaskedLM,1,pass,393,5,8,5
cuda,LayoutLMForSequenceClassification,1,pass,391,6,9,6
cuda,M2M100ForConditionalGeneration,1,pass,1266,19,17,7
cuda,MBartForCausalLM,1,pass,481,14,11,8
cuda,MBartForConditionalGeneration,1,pass,1263,1,4,3
cuda,MT5ForConditionalGeneration,1,pass,1163,7,11,4
cuda,MegatronBertForCausalLM,1,pass,717,3,7,4
cuda,MegatronBertForQuestionAnswering,1,pass,720,3,7,4
cuda,MobileBertForMaskedLM,1,pass,1443,3,6,3
cuda,MobileBertForQuestionAnswering,1,pass,1447,3,6,3
cuda,OPTForCausalLM,1,pass,533,14,11,8
cuda,PLBartForCausalLM,1,pass,254,8,11,8
cuda,PLBartForConditionalGeneration,1,pass,658,10,14,7
cuda,PegasusForCausalLM,1,pass,478,16,12,8
cuda,PegasusForConditionalGeneration,1,pass,1244,7,14,5
cuda,RobertaForCausalLM,1,pass,377,3,7,4
cuda,RobertaForQuestionAnswering,1,pass,380,3,7,4
cuda,Speech2Text2ForCausalLM,1,pass,261,10,12,8
cuda,T5ForConditionalGeneration,1,pass,788,7,11,4
cuda,T5Small,1,pass,788,7,11,4
cuda,TrOCRForCausalLM,1,pass,481,14,11,8
cuda,XGLMForCausalLM,1,pass,998,28,12,8
cuda,XLNetLMHeadModel,1,pass,759,27,20,8
cuda,YituTechConvBert,1,pass,630,5,10,6
