dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,Background_Matting,4,1.437326,5.842450,1.735178,8.902217,4.051847,1.744060,0.174236,4.864898
cuda,LearningToPaint,96,0.594472,2.476451,0.755809,3.504350,0.923750,0.688137,0.064903,1.815825
cuda,Super_SloMo,6,1.685205,7.451910,2.148520,8.192938,4.112934,1.512472,0.088733,2.952828
cuda,alexnet,128,0.097859,1.483149,0.166992,2.161089,0.358575,0.160710,0.010768,0.850294
cuda,attention_is_all_you_need_pytorch,256,1.734859,20.967707,1.943289,23.386571,3.729861,1.362626,0.284875,21.526983,4.471483
cuda,dcgan,32,0.118049,1.227846,0.150949,1.792606,0.137375,0.062874,0.010204,0.722705
cuda,demucs,4,0.219799
cuda,densenet121,4,3.421212,13.666460,6.233353,19.587188,10.582448,3.603837,0.573844,12.374686
cuda,drq,1,0.189600,1.593803,0.107610,2.552685,0.094146,0.047961,0.011495,1.073643
cuda,fastNLP_Bert,6,2.090190,8.259338,1.809836,11.551147,3.404440,1.302534,0.238946,5.428459,5.198093
cuda,functorch_dp_cifar10,64,0.441226,2.840068,1.109967,5.433227,1.783922,0.726187,0.058237,3.744144,6.938288
cuda,hf_Albert,8,1.603815,3.166628,1.559412,6.155246,2.367031,1.252642,0.134891,4.624754,5.241511
cuda,hf_Bart,4,2.313395,8.061062,2.681377,11.354933,3.778733,1.591619,0.341782,4.472474,6.093540
cuda,hf_Bert,4,2.021734,6.310707,1.843533,8.424120,2.910650,1.166791,0.231485,4.044104,0.507986
cuda,hf_BigBird,2,10.064521,5.423997,1.689496,9.018965,2.023854,0.914899,0.179388,5.600264,0.433548
cuda,hf_DistilBert,8,0.842387,3.342883,1.049604,4.977972,1.393788,0.628770,0.106149,2.729267,3.382866
cuda,hf_GPT2,4,1.998670,4.219889,1.586181,6.808300,2.925280,1.124498,0.202208,4.251057,3.578819
cuda,hf_GPT2_large,4,7.145507,10.437914,4.932389,15.882970,7.711101,4.021179,0.985034,11.267410,2.276536
cuda,hf_Reformer,4,2.987849,8.165781,0.859433,9.088842,1.066965,0.548456,0.056263,6.036604,1.828287
cuda,hf_T5,8,3.064671,6.200654,1.808273,8.882462,2.665633,1.227076,0.271422,6.075739,4.981563
cuda,hf_T5_large,2,16.977558,19.912741,6.658845,30.319688,13.999691,6.397847,2.232843,33.706341,18.788915
cuda,lennard_jones,1000,0.067792,0.918910,0.054811,1.441884,0.041344,0.028669,0.005335,0.581643
cuda,mnasnet1_0,32,1.309099,5.249470,1.798983,7.326048,2.851117,1.240302,0.187078,3.949706,5.841337
cuda,mobilenet_v2,96,1.404569,5.957051,1.969836,7.582978,3.532870,1.364529,0.211389,3.672961
cuda,mobilenet_v2_quantized_qat,96,2.360976,8.878979,4.088163,12.099798,5.733221,2.704888,0.493729,7.458032
cuda,mobilenet_v3_large,32,1.442820,5.719038,2.054410,8.141498,3.530392,1.336786,0.215232,4.557559,12.025295
cuda,nvidia_deeprecommender,256,0.152469,1.026710,0.100550,2.091387,0.086795,0.044132,0.008039,1.171103,0.558526
cuda,pytorch_CycleGAN_and_pix2pix,1,0.520015,2.261295,0.819918,3.976899,1.446601,0.693498,0.063603,2.756523
cuda,pytorch_stargan,16,0.550558,1.925033,0.635434,3.242946,0.725421,0.286333,0.047323,1.988006,41.998152
cuda,pytorch_struct,200,0.206534,1.128252,0.135521,2.395467,0.154891,0.091445,0.018326,1.412908,36.898247
cuda,pytorch_unet,1,0.664926,3.046318,0.807315,4.134363,1.490797,0.597314,0.062695,1.928714
cuda,resnet18,16,0.557838,2.998861,0.913583,4.456753,1.473021,0.563044,0.063197,2.402449,6.178891
cuda,resnet50,32,1.420672,4.664164,1.852577,6.594335,2.881913,1.102460,0.184157,3.861276,5.693351
cuda,resnet50_quantized_qat,32,2.180288,7.103694,3.713893,9.869447,4.605265,1.940710,0.443524,7.045165,6.615506
cuda,resnext50_32x4d,8,1.403976,4.013940,1.716948,6.141721,2.558935,1.106533,0.171269,3.922452,5.816649
cuda,shufflenet_v2_x1_0,128,1.574146,5.543311,2.447667,7.688942,3.224605,1.824834,0.256280,4.683380
cuda,soft_actor_critic,256,0.117284,1.468125,0.055933,2.417956,0.049972,0.029399,0.005531,1.009807
cuda,speech_transformer,32,2.547725,10.351030,2.354187,14.165887,3.479651,1.574933,0.274681,6.278594
cuda,squeezenet1_1,32,0.244709,1.917998,0.466317,2.478590,0.533510,0.297044,0.028721,1.040356
cuda,tacotron2,64,19.657292,16.790281,2.892292,26.510382,6.022007,3.385872,0.543607,7.577094,12.828849
cuda,timm_nfnet,128,2.702307,9.748900,4.888666,10.550543,5.754447,1.714273,0.272454,5.835842,0.913603
cuda,timm_resnest,32,0.787998,4.841908,1.141845,7.506154,2.960582,1.121966,0.089008,55.693928,3.848106
cuda,timm_vision_transformer,8,1.100399,4.515253,1.515739,7.344443,2.743351,1.074475,0.171703,36.536632,4.413989
cuda,timm_vision_transformer_large,8,3.669370,10.766562,4.780169,16.293611,8.044028,3.843307,0.984046,24.173365,10.539709
cuda,tts_angular,64,0.130497,0.944160,0.044851,1.482374,0.031047,0.014307,0.001524,0.585055
cuda,vgg16,64,0.154833,1.525677,0.366036,2.397493,0.523911,0.220061,0.017759,1.246599
cuda,yolov3,16,3.725173,23.083686,3.686640,349.468298,12.969387,4.921482,0.328007,330.606173
