dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.580004,10.526972,4.388709,15.442126,7.947254,3.574603,0.567180,9.449639
cuda,beit_base_patch16_224,64,1.510945,5.762740,1.702783,8.776210,2.953856,1.306533,0.220039,2.866437,4.797399
cuda,cait_m36_384,4,4.917726,12.634920,6.076701,23.130355,11.846670,5.003186,1.735967,14.714375,17.810211
cuda,coat_lite_mini,128,1.442168,6.274166,3.176074,12.205593,5.049688,1.880083,0.184583,43.399771,9.189678
cuda,convit_base,64,1.487764,5.873242,2.177021,11.310359,4.914144,1.874781,0.237613,8.916945,7.710935
cuda,convmixer_768_32,32,1.941791,4.758295,2.784317,6.735298,1.857181,1.002297,0.229774,4.870503,6.846169
cuda,convnext_base,64,1.973264,8.807486,4.223312,18.557989,7.215507,2.958809,0.414757,41.592725,14.095973
cuda,crossvit_9_240,128,2.172234,7.634719,3.220624,12.745323,5.597576,2.055395,0.329818,15.877741,8.455810
cuda,deit_base_distilled_patch16_224,64,1.118577,5.013146,1.445732,8.820296,2.864031,1.127191,0.175518,5.146851,5.320969
cuda,dla102,128,3.006734,8.868463,3.980570,12.393640,6.332504,2.429546,0.514450,7.669075
cuda,dm_nfnet_f0,128,2.694708,9.727857,4.984338,10.628181,5.321651,1.737418,0.273313,6.030900,0.905365
cuda,gluon_inception_v3,128,2.588098,10.576365,3.922778,15.477403,7.893199,3.548641,0.559714,9.422597
cuda,gluon_xception65,32,3.558225,7.966408,3.885011,11.169795,5.453888,1.974276,0.602996,7.278968,5.806970
cuda,gmixer_24_224,128,1.902804,6.037993,2.434798,11.465752,4.534094,1.988726,0.345266,11.344072,7.981039
cuda,gmlp_s16_224,128,1.751322,10.376575,2.925540,16.423286,8.202495,2.575949,0.350476,16.497675,9.109654
cuda,hrnet_w18,128,10.272446,27.707335,12.341882,41.466413,23.819297,8.519890,4.956803,29.317608
cuda,inception_v3,128,2.599333,10.542291,4.348826,15.440829,7.936558,3.558995,0.555746,9.392941
cuda,jx_nest_base,32,2.500270,10.855921,4.463530,18.317569,9.118508,3.263712,0.552255,31.839791,12.087581
cuda,mixer_b16_224,128,0.852691,5.989632,1.673561,8.139101,2.630935,0.903814,0.132456,8.817445,3.886630
cuda,nfnet_l0,128,2.407564,5.060622,2.562628,8.132438,3.166205,1.241003,0.269852,6.061764,0.838452
cuda,pit_b_224,64,1.287856,5.686055,1.958510,7.949711,2.800352,1.254938,0.200276,1.738659,4.500845
cuda,poolformer_m36,64,2.984193,15.544745,6.612590,22.261327,13.947364,4.256956,0.634398,13.539928
cuda,res2net101_26w_4s,64,5.349757,15.135292,7.451084,20.136261,10.842876,4.563490,1.459621,12.722089
cuda,res2net50_14w_8s,128,4.716881,13.543684,5.656839,20.420840,11.088999,4.413379,1.239531,13.459385
cuda,res2next50,128,2.549525,8.469141,3.451829,12.149164,6.152990,2.570952,0.454362,7.268935
cuda,resmlp_12_224,128,0.795909,4.310644,1.088342,9.707129,2.331662,0.927838,0.121474,11.260175,6.530144
cuda,resnest101e,64,5.393249,11.802259,5.772928,18.244568,9.200255,3.836634,1.062582,17.509360,12.482931
cuda,selecsls42b,128,1.123315,5.172062,1.670411,8.419039,3.869967,1.537167,0.164556,4.982267
cuda,swin_base_patch4_window7_224,64,3.900513,14.185934,5.458798,23.782143,11.698564,4.606338,0.553238,45.330540,15.246955
cuda,swsl_resnext101_32x16d,32,2.924541,6.496748,3.668583,8.897514,3.644163,1.596908,0.392090,6.229260,6.091991
cuda,tnt_s_patch16_224,128,2.550360,8.598807,4.128443,13.346383,6.301239,2.401783,0.520594,4.901973,9.040819
cuda,twins_pcpvt_base,64,3.713511,14.623272,5.340611,21.429752,8.315925,3.347900,0.931921,41.792903,12.363894
cuda,visformer_small,128,1.255651,5.918688,2.350596,7.147096,2.644051,1.004798,0.162670,3.656932,8.864696
cuda,vit_base_patch16_224,64,1.118203,5.019945,1.456795,8.413101,2.499272,1.088139,0.172031,5.220742,4.917925
cuda,volo_d1_224,64,1.959274,9.243004,3.888127,13.758579,6.268273,2.463565,0.385048,9.882924,8.531178
cuda,xcit_large_24_p8_224,5,4.718182,18.971056,7.849323,27.086396,15.973790,5.153846,1.438878,23.680987,16.271282
