dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,3.417792,14.547855,4.927882,23.833346,11.269475,4.614865,0.632633,37.331642,55.357664,51.726002
cuda,beit_base_patch16_224,64,1.975968,6.391052,2.128941,10.000049,3.829194,1.565156,0.240547,0.964639,1.797194,6.798853
cuda,botnet26t_256,128,1.866931,11.612774,2.827711,17.563952,8.055208,2.734529,0.176260,17.850260,30.471288,26.706276
cuda,cait_m36_384,4,6.519198,14.091512,7.649943,25.999312,13.634577,5.697645,1.781097,6.973031,7.237271,26.888450
cuda,coat_lite_mini,128,1.803888,7.806713,2.496641,15.861632,7.298460,2.374343,0.206573,13.851384,48.371540,24.498310
cuda,convit_base,64,2.112043,6.554456,2.561537,13.039652,5.698964,2.250973,0.280127,4.366360,5.992907,13.524524
cuda,convmixer_768_32,32,2.357678,7.010945,2.959603,11.050043,4.308628,1.993967,0.348275,6.282028,6.972056,13.644320
cuda,convnext_base,64,2.593885,8.917316,4.835155,17.640720,8.599089,3.192280,0.519203,17.625243,38.116679,31.350863
cuda,crossvit_9_240,128,2.947632,8.692750,3.628519,14.979702,7.230640,2.690950,0.399665,8.200149,9.055954,18.265002
cuda,cspdarknet53,64,3.643035,9.903963,3.799093,15.513103,5.869515,2.996812,0.417046,38.129499,53.467144,47.676422
cuda,deit_base_distilled_patch16_224,64,1.620867,5.600188,2.064575,12.517729,3.965723,1.523634,0.217613,2.584250,2.640342,11.655209
cuda,dla102,128,3.746088,14.076071,5.425544,22.098355,9.792330,3.796057,0.711364,26.993564,46.462380,40.643408
cuda,dm_nfnet_f0,128,3.040242,9.775208,5.836763,15.552454,7.193627,2.382111,0.292827,17.943510,29.265162,29.747099
cuda,dpn107,32,6.177605,14.724572,5.543895,25.298860,11.411337,4.572771,0.661006,27.711073,76.238962,44.079737
cuda,eca_botnext26ts_256,128,1.959751,12.223754,2.878347,18.776283,8.176242,2.879011,0.192719,23.480552,30.335908,32.998615
cuda,ese_vovnet19b_dw,128,1.361514,7.486881,1.743493,12.321415,4.399077,1.656818,0.147166,17.598681,34.656780,24.230720
cuda,fbnetc_100,128,3.218697,10.288984,3.261936,16.727052,6.501789,2.543931,0.367169,36.716016,61.337163,46.539377
cuda,fbnetv3_b,128,5.231369,14.678131,5.451435,22.907681,10.844262,3.971844,0.792576,43.222273,65.895829,57.126120
cuda,gernet_l,128,2.975618,8.064041,2.780218,12.672461,4.103437,2.299722,0.303601,16.762986,25.220484,24.257725
cuda,ghostnet_100,128,4.695239,13.464861,4.518697,24.930315,11.307796,4.269781,0.544529,106.083281,148.816011,122.240643
cuda,gluon_inception_v3,128,3.114900,14.289786,4.865275,23.886676,11.309269,4.592286,0.635961,37.229912,55.538750,51.870198
cuda,gluon_xception65,32,4.281363,13.896767,5.257067,21.067986,9.505868,4.373819,0.952590,18.303128,28.062280,30.963421
cuda,gmixer_24_224,128,2.734257,7.186499,2.561102,13.381560,5.724399,2.340992,0.383641,5.424919,11.005447,14.321020
cuda,gmlp_s16_224,128,2.450708,11.174868,4.487223,17.242729,8.931575,3.052192,0.437423,6.760880,11.176144,17.482154
cuda,hrnet_w18,128,12.768333,42.863605,22.539657,57.487851,31.839251,10.813051,5.002863,50.823985,65.259142,88.631234
cuda,inception_v3,128,3.116354,14.324757,4.902737,23.933034,11.398166,4.631089,0.623677,37.567487,55.462015,52.256208
cuda,jx_nest_base,32,3.138791,12.563865,5.188427,23.185510,12.259506,4.246168,0.671129,11.589696,22.424893,27.594966
cuda,lcnet_050,128,1.422588,6.813998,1.899207,10.749029,3.865328,1.489580,0.154736,18.926209,33.579568,24.829964
cuda,mixer_b16_224,128,1.320198,6.111563,2.483876,8.849460,2.788242,1.092256,0.146015,4.746463,8.198015,10.057291
cuda,mixnet_l,128,7.196259,13.671917,4.346132,20.829404,8.574492,3.864492,0.613729,31.015188,59.626126,42.687618
cuda,mnasnet_100,128,2.607509,8.835260,2.563335,13.883007,5.014291,2.345726,0.268790,26.028084,46.951446,33.738221
cuda,mobilenetv2_100,128,2.672804,9.305329,2.797718,13.969252,4.978383,2.701690,0.292782,26.835524,46.756794,34.401102
cuda,mobilenetv3_large_100,128,2.516960,9.818460,2.833457,16.471660,6.351480,2.331306,0.302979,32.130951,55.224825,41.726741
cuda,mobilevit_s,64,3.106256,21.506995,5.215625,42.111523,23.764830,11.211108,0.390856,33.186234,61.522531,59.138921
cuda,nfnet_l0,128,2.727882,7.604002,2.650489,12.187781,4.655786,1.825875,0.285533,12.186742,22.796223,19.554151
cuda,pit_b_224,64,1.811092,6.105018,2.356900,10.677841,4.364340,1.722279,0.238987,0.223184,3.347554,7.251844
cuda,pnasnet5large,16,8.712646,30.385502,10.944673,47.867552,24.166352,10.353093,3.233353,59.493835,102.034888,88.356439
cuda,poolformer_m36,64,2.894835,17.354272,8.396242,32.642726,15.788972,6.443650,0.794248,14.558070,26.230323,38.493099
cuda,regnety_002,128,2.601768,8.003667,2.472058,13.539828,5.168537,2.041881,0.282493,28.220286,42.490043,36.333889
cuda,repvgg_a2,128,3.059637,7.760992,2.825136,11.774419,4.206016,1.637455,0.244034,9.269281,12.020170,16.207656
cuda,res2net101_26w_4s,64,6.138448,22.280739,8.136482,33.907550,16.866948,6.882735,1.776439,49.307080,64.766759,69.914916
cuda,res2net50_14w_8s,128,5.348885,19.347357,7.595763,32.293580,15.467256,5.979161,1.342030,93.916324,130.900803,114.743128
cuda,res2next50,128,3.039522,12.943350,4.454840,21.180090,9.069847,3.742939,0.574780,32.568682,43.357397,45.423825
cuda,resmlp_12_224,128,1.063992,3.973869,1.487030,10.544109,2.567729,1.081800,0.132219,2.819248,6.928119,10.938483
cuda,resnest101e,64,6.302658,16.795277,7.013180,28.180474,13.921255,5.740491,1.337896,24.641324,48.044095,43.860405
cuda,rexnet_100,128,3.221877,12.084879,4.010953,19.906560,8.148279,3.029024,0.359988,48.227525,87.174769,60.201668
cuda,sebotnet33ts_256,64,2.642415,14.087112,3.961160,22.669605,10.770348,3.788932,0.271068,30.552997,42.379014,43.207535
cuda,selecsls42b,128,1.440663,7.553191,2.184976,12.941062,5.076520,1.830600,0.194624,18.340717,30.971248,25.990625
cuda,spnasnet_100,128,3.356269,10.272751,3.171177,15.580608,6.226288,2.387690,0.353598,33.220722,55.975808,42.061040
cuda,swin_base_patch4_window7_224,64,4.898718,16.439422,6.265028,28.962161,15.240132,5.546010,0.642187,19.941337,24.625207,38.959491
cuda,swsl_resnext101_32x16d,32,3.829138,12.362194,4.980508,18.271067,7.851761,3.179860,0.652202,20.392621,31.380823,31.469879
cuda,tf_efficientnet_b0,128,3.004848,9.908037,3.174306,17.069536,6.961509,2.740462,0.359967,30.663898,50.096306,41.126612
cuda,tf_mixnet_l,128,7.419214,13.999441,4.289903,21.950793,9.208181,4.091437,0.604548,30.448897,59.277776,42.870427
cuda,tinynet_a,128,3.664176,10.855355,4.008775,17.834701,7.641202,3.048148,0.455580,44.322224,65.940519,55.460031
cuda,tnt_s_patch16_224,128,3.592380,10.060390,4.445377,16.892481,8.554995,3.115095,0.652157,3.680679,2.854186,15.490906
cuda,twins_pcpvt_base,64,5.178255,13.919673,6.841677,24.392470,12.517391,4.685934,1.192249,46.883630,86.212561,64.474427
cuda,visformer_small,128,1.507278,9.452771,3.372870,13.703626,4.729463,2.015652,0.224673,17.821172,34.228057,25.544507
cuda,vit_base_patch16_224,64,1.567770,5.242149,2.026111,11.055975,3.207301,1.389044,0.214813,2.662786,2.729053,10.591245
cuda,volo_d1_224,64,2.451921,10.398870,4.038460,17.416552,8.714948,3.153382,0.435700,5.754585,8.026562,17.259197
cuda,xcit_large_24_p8_224,5,5.949539,17.421297,9.892424,28.300693,15.950723,5.982345,1.655385,8.840007,14.960267,29.996431
