dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.685026,7.125178,2.905534,9.624364,3.820254,1.557198,0.301670,0.000008,9.136012,5.527236
cuda,Background_Matting,4,1.726642,6.542330,2.478223,11.294927,4.701199,2.046364,0.220802,6.339999,7.927026,13.662858
cuda,LearningToPaint,96,0.702292,4.127747,0.979705,6.602617,1.604624,0.666219,0.077062,13.699520,23.298954,17.191612
cuda,Super_SloMo,6,1.954978,8.237356,3.013634,10.384608,5.192304,2.264385,0.137095,0.306836,5.559478
cuda,alexnet,128,0.137722,1.655409,0.195175,2.422412,0.445218,0.192091,0.014906,0.126368,1.094643
cuda,attention_is_all_you_need_pytorch,256,2.241236,7.331855,2.119519,10.281222,4.442585,1.747752,0.359036,0.479743,9.089940,5.670254
cuda,dcgan,32,0.140239,2.005059,0.192806,2.651065,0.211049,0.087773,0.012785,0.109438,6.839168,0.955715
cuda,demucs,4,0.273549
cuda,densenet121,4,4.049168,20.007236,7.140015,34.053755,17.042824,5.573763,0.766141,183.590627,338.792957,205.030448
cuda,drq,1,0.261910,1.809579,0.143241,2.805541,0.152611,0.079353,0.015635,0.372133,1.520067
cuda,fastNLP_Bert,6,2.695799,8.576705,2.144331,11.675514,4.018300,1.649246,0.303629,0.917832,4.272792,6.268878
cuda,hf_Albert,8,2.186872,3.670757,1.850596,7.050888,3.236477,1.148924,0.143252,3.556259,8.873636,3.181696
cuda,hf_Bart,4,3.057969,8.717157,3.112452,12.738302,4.855319,1.959660,0.395311,3.512159,4.264145,11.037997
cuda,hf_Bert,4,2.669868,5.296041,2.393966,8.221723,3.850319,1.511386,0.285995,0.716201,6.145526,0.414592
cuda,hf_DistilBert,8,1.151631,3.346040,1.258241,5.466475,1.966639,0.835354,0.118738,2.129380,5.564131,1.858708
cuda,hf_GPT2,4,2.462171,4.897415,1.979280,7.658649,3.202997,1.401965,0.250268,2.492465,7.325051,1.851169
cuda,hf_Reformer,4,2.130605,7.669057,0.735172,8.419656,1.150545,0.583156,0.051150,2.404357,3.180779,3.927759
cuda,hf_T5,8,3.383163,7.338990,2.142720,11.533700,4.272365,1.957664,0.302449,2.705092,5.932386,9.170921
cuda,hf_T5_large,2,17.696095,24.648885,8.478223,39.082015,22.373925,5.909396,2.483279,4.960534,23.581313,28.372777
cuda,lennard_jones,1000,0.105165,0.999011,0.071615,1.552635,0.072226,0.045936,0.006596,0.098610,0.728368
cuda,mnasnet1_0,32,1.631369,8.731654,2.577941,13.728961,5.499087,2.073994,0.253166,52.789900,94.440369,60.466696
cuda,mobilenet_v2,96,1.680596,9.197311,2.731261,13.470178,5.428296,2.036850,0.280508,29.808256,53.731667,36.910530
cuda,mobilenet_v3_large,32,1.738491,9.028429,2.820953,15.468239,6.115020,2.307540,0.287337,68.069138,117.174276,77.434217
cuda,nvidia_deeprecommender,256,0.204776,1.241965,0.120908,2.350340,0.117705,0.063712,0.009420,0.579780,1.815940,0.446093
cuda,pytorch_CycleGAN_and_pix2pix,1,0.664454,2.615520,0.968679,4.500814,1.778873,0.706703,0.074423,0.202082,3.099513
cuda,pytorch_stargan,16,0.663349,2.261451,0.932175,3.666666,0.973416,0.337758,0.048228,19.592500,21.967165,19.420331
cuda,pytorch_struct,200,0.292479,1.221591,0.147159,2.826845,0.259277,0.134853,0.022892,18.309611,20.073409,18.167771
cuda,pytorch_unet,1,0.820652,4.121149,1.110922,6.458463,2.171187,0.810948,0.081877,0.578887,0.660655,4.075437
cuda,resnet152,32,4.869340,16.571927,7.625100,23.396380,11.282607,4.604087,1.247251,30.287609,50.236919,45.019020
cuda,resnet18,16,0.667600,4.714215,1.126544,7.401443,2.012347,0.811362,0.074433,19.089444,29.762199,22.939187
cuda,resnet50,32,1.685993,8.162241,2.423286,13.231026,4.840946,1.933933,0.260491,28.799114,49.170633,36.384805
cuda,resnext50_32x4d,8,1.800069,7.615188,2.337271,12.726226,4.427388,1.966765,0.255171,48.358228,81.696735,55.902242
cuda,shufflenet_v2_x1_0,128,1.928630,8.554961,2.575529,14.109302,5.689271,2.461207,0.311635,26.674898,50.965136,34.909170
cuda,soft_actor_critic,256,0.152316,1.570802,0.067804,2.554008,0.068820,0.040909,0.006474,0.269614,1.325702
cuda,speech_transformer,32,3.167304,8.417406,2.580461,12.581652,4.639460,2.171925,0.291328,0.148821,7.021921
cuda,squeezenet1_1,32,0.308973,3.631632,0.452785,5.562992,1.107540,0.570348,0.047809,28.411903,46.566221,30.810780
cuda,timm_efficientdet,1,22.844963,23.584626,10.648053,39.351748,20.423956,6.960608,1.767264,72.772605,192.503375,99.622347
cuda,timm_efficientnet,32,2.747393,9.640527,3.544355,15.474187,6.234327,2.955151,0.344506,55.953151,90.976789,65.456705
cuda,timm_nfnet,128,3.013517,9.488475,6.134153,14.674169,6.765424,2.379303,0.297767,17.603203,29.274203,29.119049
cuda,timm_regnet,32,3.490782,8.591275,3.287627,13.929369,5.790778,2.389216,0.441917,21.346214,33.696657,30.117740
cuda,timm_resnest,32,0.943466,6.878385,1.452521,11.814062,4.146696,1.885883,0.112967,19.380992,42.354881,25.818132
cuda,timm_vision_transformer,8,1.534236,4.966457,2.116061,10.883727,3.409680,1.377489,0.208253,11.239596,14.197469,19.359156
cuda,timm_vision_transformer_large,8,5.168100,12.676930,7.281852,28.430943,11.235834,4.114467,1.216633,10.167421,10.028096,33.942183
cuda,timm_vovnet,32,2.092392,6.706020,2.052399,11.943659,4.571390,2.034808,0.168033,66.188493,71.487966,73.553979
cuda,tts_angular,64,0.112618,0.963805,0.046252,1.476457,0.027031,0.014215,0.001424,0.093933,0.654912
cuda,vgg16,64,0.213461,1.929657,0.296451,2.790098,0.692660,0.419893,0.026957,0.190988,1.358751
cuda,yolov3,16,4.094948,40.415890,4.484764,1028.110777,16.962049,6.275631,0.407779,36.903509,48.608950,1029.225237
