dev,name,batch_size,ts_nvfuser,aot_nvfuser,inductor_cudagraphs
cuda,BERT_pytorch,16,0.0,1.7226,1.7824
cuda,Background_Matting,4,1.1491,1.1548,1.1658
cuda,LearningToPaint,96,1.2483,1.2711,1.2677
cuda,Super_SloMo,0,0.0,0.0,0.0
cuda,alexnet,128,0.9958,1.0002,1.0668
cuda,attention_is_all_you_need_pytorch,256,1.0315,1.0063,1.0659
cuda,dcgan,32,1.06,1.1375,1.9059
cuda,demucs,4,1.001,0.9993,0.0
cuda,densenet121,4,1.0698,1.4152,4.3938
cuda,detectron2_maskrcnn,0,0.0,0.0,0.0
cuda,dlrm,0,0.0,0.0,0.0
cuda,drq,1,1.0731,1.0899,2.2712
cuda,fambench_xlmr,0,0.0,0.0,0.0
cuda,fastNLP_Bert,6,1.2955,0.0,0.0
cuda,hf_Albert,8,1.4616,1.4495,1.5809
cuda,hf_Bart,4,1.0714,1.0734,0.0
cuda,hf_Bert,4,1.1402,1.1072,1.182
cuda,hf_BigBird,2,0.9861,0.8533,0.0
cuda,hf_DistilBert,8,1.008,0.967,0.0
cuda,hf_GPT2,4,1.4493,1.2746,0.0
cuda,hf_Longformer,2,1.1322,1.0333,0.0
cuda,hf_Reformer,0,0.0,0.0,0.0
cuda,hf_T5,8,0.0,0.8978,0.0
cuda,maml,0,0.0,0.0,0.0
cuda,maml_omniglot,1,1.009,1.0997,2.6832
cuda,mnasnet1_0,32,1.2322,1.3793,1.4215
cuda,mobilenet_v2,96,1.0539,1.3884,1.5046
cuda,mobilenet_v2_quantized_qat,96,1.4698,1.7569,0.0
cuda,mobilenet_v3_large,32,1.1949,1.4455,1.839
cuda,moco,32,1.1004,0.9969,0.0
cuda,nvidia_deeprecommender,256,0.9992,0.9263,0.7411
cuda,opacus_cifar10,0,0.0,0.0,0.0
cuda,pyhpc_equation_of_state,0,0.0,0.0,0.0
cuda,pyhpc_isoneutral_mixing,0,0.0,0.0,0.0
cuda,pyhpc_turbulent_kinetic_energy,0,0.0,0.0,0.0
cuda,pytorch_CycleGAN_and_pix2pix,1,1.2007,1.2319,1.7221
cuda,pytorch_stargan,16,1.0939,1.1057,1.2476
cuda,pytorch_struct,200,1.0133,1.074,0.0
cuda,pytorch_unet,1,1.1804,1.2055,1.3529
cuda,resnet18,16,1.1514,1.3954,1.7584
cuda,resnet50,32,1.2605,1.2914,1.2868
cuda,resnet50_quantized_qat,32,1.3397,1.6366,0.0
cuda,resnext50_32x4d,8,1.1084,1.3712,2.0036
cuda,shufflenet_v2_x1_0,128,1.281,1.3981,1.6069
cuda,soft_actor_critic,256,1.0354,1.0091,1.3774
cuda,speech_transformer,32,1.1123,1.0272,0.0
cuda,squeezenet1_1,32,1.0823,1.139,1.5763
cuda,tacotron2,0,0.0,0.0,0.0
cuda,timm_efficientdet,1,0.1242,1.3496,0.0
cuda,timm_efficientnet,32,0.9094,1.4392,1.5698
cuda,timm_nfnet,128,0.6997,0.9988,1.4282
cuda,timm_regnet,32,1.1797,1.4419,1.7716
cuda,timm_resnest,32,1.2719,1.2928,1.5664
cuda,timm_vision_transformer,8,1.0541,1.3254,2.2627
cuda,timm_vovnet,32,1.1769,1.1898,1.0113
cuda,tts_angular,64,0.9879,0.99,0.0
cuda,vgg16,64,0.9997,0.9969,1.1301
cuda,vision_maskrcnn,4,0.0,0.9587,0.0
cuda,yolov3,16,0.9965,0.9963,0.0
