dev,name,batch_size,_compile,OutputGraph.call_user_compiler
cuda,adv_inception_v3,128,3.800148,0.000131
cuda,beit_base_patch16_224,64,2.563308,0.000207
cuda,botnet26t_256,128,2.250782,0.000255
cuda,cait_m36_384,4,8.148144,0.000454
cuda,coat_lite_mini,128,2.296457,0.000201
cuda,convit_base,64,2.424651,0.000187
cuda,convmixer_768_32,32,1.425038,0.000114
cuda,convnext_base,64,4.379633,0.000222
cuda,crossvit_9_240,128,3.463093,0.000201
cuda,cspdarknet53,64,4.136001,0.000399
cuda,deit_base_distilled_patch16_224,64,2.053738,0.000145
cuda,dla102,128,4.042179,0.000178
cuda,dm_nfnet_f0,128,4.424757,0.000254
cuda,dpn107,32,6.803581,0.000649
cuda,eca_botnext26ts_256,128,2.402035,0.000243
cuda,eca_halonext26ts,128,2.483733,0.000264
cuda,ese_vovnet19b_dw,128,1.718312,0.000180
cuda,fbnetc_100,128,3.376335,0.000378
cuda,fbnetv3_b,128,5.649837,0.000553
cuda,gernet_l,128,3.507347,0.000341
cuda,ghostnet_100,128,5.121797,0.000142
cuda,gluon_inception_v3,128,3.820286,0.000137
cuda,gluon_xception65,32,4.926682,0.000153
cuda,gmixer_24_224,128,3.422764,0.000209
cuda,gmlp_s16_224,128,3.481519,0.000172
cuda,hrnet_w18,128,7.698283,0.000412
cuda,inception_v3,128,3.824291,0.000139
cuda,jx_nest_base,32,4.477883,0.000315
cuda,lcnet_050,128,1.606075,0.000183
cuda,mixer_b16_224,128,1.781254,0.000113
cuda,mixnet_l,128,5.987795,0.000412
cuda,mnasnet_100,128,2.748377,0.000304
cuda,mobilenetv2_100,128,2.764707,0.000297
cuda,mobilenetv3_large_100,128,2.833533,0.000295
cuda,mobilevit_s,64,3.500134,0.000300
cuda,nfnet_l0,128,3.639430,0.000248
cuda,pit_b_224,64,2.271354,0.000156
cuda,pnasnet5large,16,7.095073,0.000303
cuda,poolformer_m36,64,5.009832,0.000290
cuda,regnety_002,128,3.240304,0.000287
cuda,repvgg_a2,128,3.402629,0.000350
cuda,res2net101_26w_4s,64,6.496080,0.000251
cuda,res2net50_14w_8s,128,5.599667,0.000237
cuda,res2next50,128,3.254481,0.000162
cuda,resmlp_12_224,128,1.804236,0.000138
cuda,resnest101e,64,6.941986,0.000299
cuda,rexnet_100,128,3.952487,0.000317
cuda,sebotnet33ts_256,64,3.006064,0.000304
cuda,selecsls42b,128,1.477203,0.000092
cuda,spnasnet_100,128,3.332854,0.000397
cuda,swin_base_patch4_window7_224,64,5.589662,0.000388
cuda,swsl_resnext101_32x16d,32,3.815812,0.000171
cuda,tf_efficientnet_b0,128,3.365902,0.000301
cuda,tf_mixnet_l,128,6.445777,0.000413
cuda,tinynet_a,128,3.776772,0.000359
cuda,tnt_s_patch16_224,128,4.168406,0.000249
cuda,twins_pcpvt_base,64,6.041630,0.000302
cuda,visformer_small,128,1.989441,0.000177
cuda,vit_base_patch16_224,64,1.989130,0.000151
cuda,volo_d1_224,64,3.211135,0.000198
cuda,xcit_large_24_p8_224,5,7.571282,0.000379
