dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,15.115798,12.288643,6.207373,2.236644,8.310762,3.256170,1.330701,0.266070,8.134550,4.693289
cuda,Background_Matting,4,15.165668,12.972064,7.091543,2.713177,10.133939,5.116555,2.537230,0.262392,5.845847
cuda,LearningToPaint,96,6.661929,5.780251,3.337321,0.980299,4.184604,1.510734,0.589571,0.086555,1.865599
cuda,Super_SloMo,6,15.683062,13.109650,7.838974,2.703856,10.565928,5.613537,2.086805,0.115909,5.509594
cuda,alexnet,128,1.966975,1.833706,1.570276,0.196240,2.877463,0.722131,0.382502,0.013047,1.508361
cuda,attention_is_all_you_need_pytorch,256,30.619139,28.117228,21.591001,2.238032,23.954712,3.785295,1.503700,0.298078,8.997340,4.712090
cuda,dcgan,32,2.003607,1.837705,1.435330,0.177991,2.027526,0.175174,0.076607,0.011702,0.777287
cuda,demucs,4,0.233505
cuda,densenet121,4,38.544617,33.412277,17.692609,6.824291,22.915729,13.495925,4.233816,0.813652,12.290791
cuda,dlrm,1024,1.792120,1.535394,1.155793,0.150283,2.085387,0.332880,0.102106,0.014366,1.087206
cuda,drq,1,2.245438,1.998810,1.647822,0.114460,2.670705,0.112970,0.058400,0.012635,1.144465
cuda,fastNLP_Bert,6,16.850131,13.957522,8.333528,1.817845,11.853430,3.313870,1.359082,0.246806,4.244734,5.427628
cuda,functorch_dp_cifar10,64,5.729105,5.260635,2.934560,1.219835,5.509148,2.083779,0.626696,0.060190,3.834928,3.198063
cuda,hf_Albert,8,10.638068,8.472560,3.412978,2.251450,6.271997,2.573299,1.048362,0.142072,5.193115,3.141567
cuda,hf_Bart,4,19.570725,16.223814,8.765384,2.414118,12.936894,4.401302,1.684989,0.350271,3.570156,6.698924
cuda,hf_Bert,4,14.079657,11.335871,5.840860,1.791076,8.765655,3.121106,1.241344,0.244088,4.800812,0.358429
cuda,hf_DistilBert,8,6.959291,5.754991,2.976823,0.928144,4.942197,1.573675,0.649861,0.105176,2.936804,2.083823
cuda,hf_GPT2,4,12.719127,9.891666,4.636761,1.894017,7.184098,3.018842,1.226558,0.212722,4.521419,1.816737
cuda,hf_GPT2_large,4,38.606310,28.762168,12.686154,6.770099,17.128760,9.252094,3.438498,1.033647,11.733678,1.267048
cuda,hf_Longformer,2,135.979786,125.636380,109.771499,7.293762,115.552062,93.775589,4.942047,0.407371,0.708065,13.384192
cuda,hf_Reformer,4,11.524388,8.951081,7.799560,0.712879,8.539048,1.084295,0.547391,0.048602,3.585598,1.487492
