,Compiler,huggingface
eager,eager,1.00x
aot_eager,aot_eager,0.90x
aot_cudagraphs,aot_cudagraphs,0.34x
aot_nvfuser,aot_nvfuser,1.00x
inductor,inductor,0.71x
