,Compiler,torchbench,huggingface,timm_models
eager,eager,2.26,2.45,2.19
ts_nvfuser,ts_nvfuser,12.24,12.30,15.25
aot_eager,aot_eager,7.95,21.57,12.74
aot_cudagraphs,aot_cudagraphs,13.37,44.49,20.36
aot_nvfuser,aot_nvfuser,4.18,nan,31.26
inductor_cudagraphs,inductor_cudagraphs,52.21,41.42,104.75
