,Compiler,torchbench,huggingface,timm_models
eager,eager,"98%, 48/49","98%, 42/43","100%, 61/61"
ts_nvfuser,ts_nvfuser,"86%, 42/49","84%, 36/43","100%, 61/61"
aot_eager,aot_eager,"94%, 46/49","93%, 40/43","95%, 58/61"
aot_cudagraphs,aot_cudagraphs,"88%, 43/49","86%, 37/43","92%, 56/61"
aot_nvfuser,aot_nvfuser,"63%, 31/49","0%, 0/43","67%, 41/61"
inductor_cudagraphs,inductor_cudagraphs,"69%, 34/49","67%, 29/43","49%, 30/61"
