,Compiler,torchbench,huggingface,timm_models
eager,eager,3.84,5.86,4.14
aot_eager,aot_eager,9.54,15.56,12.12
inductor,inductor,60.32,59.40,106.37
inductor_no_cudagraphs,inductor_no_cudagraphs,61.32,55.99,104.34
