dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,29.393273,24.662806,20.962574,12.203125,2.993950,16.368370,4.142358,2.266097,0.318064,11.514373,28.286161,22.189127
cuda,Background_Matting,4,25.457291,22.058306,17.804150,10.781201,2.747236,17.076899,5.871830,3.004418,0.232877,17.716935,32.476458,29.601263
cuda,LearningToPaint,96,15.026532,13.618947,9.261959,6.449202,1.060920,9.946172,1.248198,0.728530,0.073483,12.289307,23.961037,17.981770
cuda,Super_SloMo,6,24.941409,21.976878,18.979915,12.063487,2.806898,16.679583,6.148667,2.762150,0.146936,9.682886,8.449451
cuda,alexnet,128,7.068524,6.573133,2.790758,2.387853,0.182419,5.997061,0.938673,0.328954,0.015628,4.637710,8.584484,4.485754
cuda,attention_is_all_you_need_pytorch,256,29.739244,25.346164,22.099607,12.915070,2.781835,18.459435,5.054336,2.341949,0.381517,14.386578,32.751056,26.298889
cuda,dcgan,32,5.956338,5.512319,2.630490,2.098835,0.352292,2.975186,0.211311,0.116962,0.015110,0.120134,1.563851
cuda,demucs,4,15.349419,13.854779,9.974659,8.949002,0.473444,13.986319,1.157672,0.672459,0.043942,5.866998,8.977467,11.844159
cuda,densenet121,4,56.691221,49.304740,45.075375,27.138302,7.044794,36.282941,13.791146,6.244262,0.695251,28.716099,55.896811,52.512669
cuda,dlrm,1024,5.504829,5.115961,2.430770,1.772220,0.183299,3.107063,0.389787,0.167573,0.016193,0.125444,1.870413
cuda,drq,1,7.796071,7.130958,3.367355,2.890041,0.136017,4.427927,0.192494,0.112452,0.015741,0.268797,2.142611
cuda,fastNLP_Bert,6,32.476054,27.334013,23.688464,15.694001,2.276288,20.254281,4.555509,2.162389,0.317371,0.566075,7.243936,10.686801
cuda,functorch_dp_cifar10,64,12.706372,11.477592,8.573106,5.745744,1.388819,10.812166,2.353327,0.944391,0.066131,26.726309,35.835711,34.400679
cuda,hf_Albert,8,22.092346,19.506958,15.684767,8.730868,2.030870,13.160301,3.499053,1.526436,0.151109,0.002614,9.240560,9.162807
cuda,hf_Bart,4,32.832561,26.837476,23.714806,13.503973,3.107633,18.443595,4.983448,2.592068,0.433081,2.830073,2.862686,14.974263
cuda,hf_Bert,4,25.859275,20.868992,17.874070,10.462720,2.188118,14.000253,3.771883,2.139361,0.292323,0.002540,3.605595,9.024374
cuda,hf_Bert_large,4,44.689621,33.942450,31.097363,16.011990,4.179307,21.147018,7.843349,4.065475,0.818895,0.002576,3.256917,15.373392
cuda,hf_BigBird,2,79.511336,67.121101,63.418833,36.126685,9.295423,52.022470,21.761398,10.580339,0.589714,15.385176,9.069892,50.279107
cuda,hf_DistilBert,8,17.474542,15.019051,12.004615,7.917907,1.167445,11.185276,1.909813,1.270318,0.117488,1.925702,6.346615,7.972464
cuda,hf_GPT2,4,24.505301,19.900398,17.016113,10.252155,2.331012,13.102509,3.851534,1.829617,0.259508,0.335696,8.222069,8.319825
cuda,hf_GPT2_large,4,62.270449,47.607276,44.470941,24.645981,6.577291,35.045148,12.698920,5.295577,1.386922,0.728330,16.234573,26.330212
