dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,9.926013,8.651762,3.168400,1.785336,7.238672,2.564903,1.290680,0.138855,6.172648,0.923393
cuda,AlbertForQuestionAnswering,4,9.988089,8.711138,3.159447,1.733192,7.462706,2.527362,1.300056,0.134276,6.340185,0.543159
cuda,AllenaiLongformerBase,4,51.641679,44.784393,27.429041,7.004716,32.640542,14.553378,4.689770,0.401574,0.670094,12.512401
cuda,BartForCausalLM,4,12.969745,11.723739,5.944179,1.705082,9.071177,3.066666,1.146468,0.232158,1.445610,4.911424
cuda,BartForConditionalGeneration,2,31.766780,28.296865,13.767628,4.812093,18.928229,7.861316,2.871763,0.815244,1.222152,10.179119
cuda,BertForMaskedLM,16,13.793313,12.270178,6.236722,1.788817,9.082454,3.129907,1.301443,0.249403,4.728395,1.474060
cuda,BertForQuestionAnswering,16,13.722830,12.157942,6.020761,2.424372,8.149016,2.636535,1.254766,0.242144,4.641488,1.021436
cuda,BlenderbotForCausalLM,4,24.073419,21.430426,10.271738,3.848741,15.504757,6.072393,2.486080,0.624071,3.890457,9.251062
cuda,BlenderbotSmallForCausalLM,64,8.185213,7.310833,3.336759,1.169043,5.996482,2.354098,0.867782,0.144255,3.886278,2.073309
cuda,BlenderbotSmallForConditionalGeneration,64,19.774103,17.651795,7.821018,2.847343,12.097468,5.217082,2.062917,0.499475,1.879947,7.266490
cuda,CamemBert,16,13.258347,11.764960,5.872378,1.763002,8.489389,2.888943,1.233693,0.246580,4.467118,0.376317
cuda,DebertaForMaskedLM,4,24.809676,19.431273,11.913320,2.701266,15.786124,4.406661,1.902085,0.319305,0.827132,6.777708
cuda,DebertaForQuestionAnswering,8,24.939268,19.542490,11.863249,2.447689,16.004814,4.120002,2.140012,0.316938,1.729721,6.787940
cuda,DebertaV2ForMaskedLM,1,34.898377,26.233762,14.085135,2.824812,18.328487,4.858452,2.498503,0.553293,1.560180,7.615267
cuda,DebertaV2ForQuestionAnswering,2,34.675165,26.176989,13.766626,3.600281,18.424390,5.723600,2.692858,0.550776,0.483915,8.581800
cuda,DistilBertForMaskedLM,128,6.561867,5.937098,2.830269,1.140368,4.684587,1.413304,0.663728,0.112265,3.039716,1.202636
cuda,DistilBertForQuestionAnswering,256,6.798201,6.138057,2.943816,1.159490,4.788762,1.434361,0.700041,0.106694,3.049892,0.589656
cuda,DistillGPT2,16,8.228489,7.429947,4.491176,1.216621,6.255912,1.433953,0.690885,0.096952,2.651831,3.022785
cuda,ElectraForCausalLM,32,15.045296,13.510781,7.549375,2.226508,10.942027,2.765803,1.285285,0.254219,2.598410,5.711532
cuda,ElectraForQuestionAnswering,64,13.096390,11.587218,5.620158,1.764706,8.253145,2.905426,1.255106,0.246484,4.485063,1.324155
cuda,GPT2ForSequenceClassification,4,11.652852,10.099408,4.619778,1.923026,7.086273,3.049043,1.218700,0.222298,4.467390,1.018766
cuda,GoogleFnet,16,9.902413,8.993531,6.009179,1.081332,9.917515,1.929094,0.654510,0.108891,1.762919,5.047966
cuda,LayoutLMForMaskedLM,16,13.704711,11.791188,5.883924,2.236992,8.182364,2.720444,1.270054,0.252864,4.623510,1.475660
cuda,LayoutLMForSequenceClassification,16,13.702708,11.817884,5.954091,2.209719,9.847810,3.415761,1.470095,0.248584,6.191802,6.949881
cuda,M2M100ForConditionalGeneration,16,30.259971,26.815650,12.641750,4.062975,20.351198,7.830381,3.877193,0.686306,8.426929,11.989236
cuda,MBartForCausalLM,4,14.528703,13.239376,7.302788,1.750204,10.344128,3.116971,1.174376,0.223063,1.332271,4.876419
cuda,MBartForConditionalGeneration,2,30.640432,27.255324,12.619874,5.264464,17.894338,7.947464,2.953864,0.858954,0.519525,10.749056
cuda,MT5ForConditionalGeneration,16,23.259568,19.719174,8.789418,3.469920,13.890354,5.899972,1.934011,0.466384,20.543296,8.739535
cuda,MegatronBertForCausalLM,4,22.735274,19.559104,7.812765,3.660421,11.947332,6.121689,2.444898,0.643085,7.962145,0.415533
cuda,MegatronBertForQuestionAnswering,8,22.394920,19.114957,7.553414,3.937332,11.070695,5.447269,2.352002,0.627648,7.625365,0.613787
cuda,MobileBertForMaskedLM,64,33.564535,26.783742,7.115864,5.059889,16.823789,8.305602,3.721946,1.940168,15.560446,1.734857
cuda,MobileBertForQuestionAnswering,128,32.882752,26.293287,6.972112,5.114629,18.778552,9.437751,4.208033,2.285231,18.030641,1.018400
cuda,OPTForCausalLM,2,13.033909,11.730279,5.978103,1.766911,9.013750,3.518291,1.326616,0.235407,1.713886,4.881265
cuda,PLBartForCausalLM,8,8.331096,7.644256,4.458629,1.175954,6.798585,1.533851,0.699829,0.109071,1.163412,3.561186
cuda,PLBartForConditionalGeneration,4,16.643058,14.966205,7.035920,2.696238,10.994810,4.186710,1.735110,0.363390,1.685925,6.766543
cuda,PegasusForCausalLM,32,12.767431,11.298591,5.827974,1.677863,9.477473,3.056430,1.242792,0.235099,1.581230,5.410627
cuda,PegasusForConditionalGeneration,32,28.973015,25.552428,11.129857,4.120928,16.842956,7.250384,3.042918,0.668160,0.683821,10.043338
cuda,RobertaForCausalLM,16,13.477231,11.962255,5.967451,2.246684,8.051130,2.732363,1.281971,0.244252,0.745441,4.418878
cuda,RobertaForQuestionAnswering,16,13.233636,11.736261,5.810615,2.213611,7.907616,2.639902,1.247573,0.246733,4.396759
cuda,Speech2Text2ForCausalLM,256,8.367125,7.620573,4.640571,0.816299,7.466447,1.485894,0.620347,0.101466,1.108999,3.685199
