dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,14.356045,12.936684,6.211596,2.046509,8.417602,3.422775,1.309992,0.263350,0.000008,8.135802,4.351143
cuda,Background_Matting,4,14.544712,13.669750,7.247439,2.702080,10.241517,5.344114,2.289988,0.264840,0.517640,6.309833
cuda,LearningToPaint,96,6.190036,5.819640,3.257593,0.969385,3.787111,1.224584,0.588122,0.088577,0.264646,1.803433
cuda,Super_SloMo,6,14.419097,13.319220,7.520714,2.679110,10.202895,5.323794,2.041839,0.117405,0.381529,5.823793
cuda,alexnet,128,1.881270,1.804893,1.522784,0.193223,2.717496,0.710526,0.250537,0.013175,0.137275,1.530483
cuda,attention_is_all_you_need_pytorch,256,29.992186,28.751698,21.729108,2.223316,24.016653,3.757418,1.514855,0.301006,0.560172,9.015089,5.183793
cuda,dcgan,32,1.920652,1.830837,1.394943,0.175595,1.978523,0.174297,0.075940,0.011627,0.108925,0.875729
cuda,demucs,4,0.231516
cuda,densenet121,4,37.107486,34.999909,18.215737,6.524430,23.258005,13.620754,4.258088,0.836993,0.854515,12.686717
cuda,dlrm,1024,1.627265,1.453416,1.056525,0.150672,1.974017,0.337874,0.102214,0.014138,0.121183,1.196955
cuda,drq,1,2.219980,2.054469,1.697434,0.112273,2.640509,0.113524,0.058422,0.012650,0.258731,1.321404
cuda,fastNLP_Bert,6,15.723296,14.207528,8.267144,1.802766,11.724537,3.266399,1.355199,0.250114,0.788678,4.239891,6.144149
cuda,functorch_dp_cifar10,64,5.325551,5.105891,2.856475,1.075915,5.337259,2.062112,0.623402,0.060582,3.554475,7.151587,3.368944
cuda,hf_Albert,8,9.782744,8.536955,3.304182,1.713237,6.632469,2.755517,1.021901,0.142995,3.580767,8.700909,3.131541
cuda,hf_Bart,4,18.899425,17.210634,9.282826,2.636288,13.264965,4.157829,1.716256,0.357045,2.701070,3.494813,9.436869
cuda,hf_Bert,4,13.250316,11.766957,5.856302,1.788434,8.804832,2.847993,1.547564,0.247672,0.691305,5.519117,0.374787
cuda,hf_Bert_large,4,26.327683,23.284707,11.646266,3.619905,15.906108,5.986559,2.388317,0.614832,1.144328,9.202830,0.354287
cuda,hf_DistilBert,8,6.690504,6.069295,3.072176,0.927237,5.104333,1.607244,0.687026,0.116863,2.134266,5.138368,1.832720
cuda,hf_GPT2,4,12.092340,10.459563,4.559573,1.838642,6.609645,2.480752,1.200689,0.216353,2.200023,6.348923,1.864551
cuda,hf_Longformer,2,50.716107,44.133574,27.173690,7.191685,31.759959,13.834607,4.344059,0.411656,21.758392,0.692255,33.879424
cuda,hf_Reformer,4,11.093693,9.389754,7.878525,0.716030,8.629110,1.084809,0.541172,0.049091,2.391513,3.593239,3.896124
cuda,hf_T5_large,2,63.288668,52.335738,22.152446,8.535210,35.032126,18.353431,5.201603,2.282183,5.065659,24.298237,26.947877
cuda,lennard_jones,1000,1.220374,1.163822,0.948392,0.057874,1.481372,0.043513,0.029623,0.005737,0.099813,0.694584
cuda,mnasnet1_0,32,14.459170,13.667674,7.557074,2.596322,8.671477,3.702178,1.588028,0.267344,2.969630,6.774847,2.588082
cuda,mobilenet_v2,96,15.715124,14.868864,8.210243,2.488870,8.964916,4.158385,1.738138,0.312160,0.405764,3.934998
cuda,mobilenet_v3_large,32,15.018687,14.148835,7.570434,2.510302,9.410291,4.019314,1.675520,0.291120,32.964039,37.590680,32.688355
cuda,nvidia_deeprecommender,256,1.496919,1.394254,1.087612,0.100695,2.160927,0.088043,0.045615,0.008338,0.518289,1.698159,0.393625
cuda,pytorch_CycleGAN_and_pix2pix,1,5.511675,5.168602,2.608328,0.911993,4.604800,1.689947,0.660588,0.067003,0.192577,3.140291
cuda,pytorch_stargan,16,6.179333,5.827304,3.173567,0.979071,4.228503,1.078826,0.380082,0.056975,19.127604,38.295189,21.202502
cuda,pytorch_struct,200,1.903303,1.748006,1.171996,0.138180,2.469427,0.167153,0.097007,0.019676,15.326560,16.771650,15.180853
cuda,pytorch_unet,1,7.214684,6.791186,3.809823,1.170108,5.348230,2.117184,1.014032,0.096153,0.255351,3.010569
cuda,resnet152,32,38.291792,35.763242,15.748671,7.482421,17.134889,9.778446,3.357479,1.290934,3.316122,12.490954,2.282232
cuda,resnet18,16,6.571994,6.222829,3.868372,1.107544,4.739663,1.644772,0.701725,0.085362,3.082610,5.099132,2.893543
cuda,resnet50,32,13.881788,13.013820,6.638340,2.345721,7.748142,3.462134,1.402823,0.261455,3.202146,6.926898,2.843393
cuda,resnext50_32x4d,8,13.046461,12.185634,5.830732,2.186053,7.046879,2.972750,1.359689,0.229306,3.013164,6.686782,2.794701
cuda,shufflenet_v2_x1_0,128,16.830214,15.773543,8.205108,2.649270,10.319036,4.835788,2.353338,0.396784,0.243834,5.118090
cuda,soft_actor_critic,256,1.818946,1.693243,1.493033,0.057649,2.425694,0.049603,0.030863,0.005883,0.315842,1.310939
cuda,speech_transformer,32,17.630218,15.925283,8.624558,2.205219,12.567918,4.224900,2.006534,0.276645,0.136621,6.405699
cuda,squeezenet1_1,32,2.620104,2.456741,1.837041,0.405505,3.455623,1.173053,0.534240,0.035406,0.147410,2.183854
cuda,timm_efficientdet,1,59.493697,49.964284,23.803817,10.912551,33.489613,18.212162,6.038430,1.695695,36.422958,48.272708,57.439785
cuda,timm_efficientnet,32,16.873557,15.105386,7.663717,2.836440,10.473525,4.559709,2.244392,0.339151,38.781365,44.549002,38.474195
cuda,timm_nfnet,128,15.536054,13.536558,5.519729,3.265903,11.543115,5.172211,1.782470,0.300664,1.211978,10.636136,0.682492
cuda,timm_regnet,32,17.856167,15.611877,7.114506,3.240144,8.726386,4.017074,1.569737,0.392260,23.027624,28.014551,22.624292
cuda,timm_resnest,32,9.655586,9.143730,6.117349,1.272775,8.563861,3.189780,1.313159,0.109772,33.377754,43.842864,37.289854
cuda,timm_vision_transformer,8,9.530864,8.694576,4.154908,1.379936,7.479313,2.476221,1.358054,0.179264,11.914399,14.992488,16.686630
cuda,timm_vision_transformer_large,8,26.391151,23.893078,9.735749,5.117792,16.082305,7.729654,3.346529,0.993968,10.956187,11.255932,22.648451
