dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,compile_fx.<locals>.bw_compiler
cuda,adv_inception_v3,128,2.755639,10.064557,3.909168,14.012281,7.465226,3.544062,0.560927,8.342844
cuda,beit_base_patch16_224,64,1.436147,4.836444,1.680826,7.149541,2.581004,1.545710,0.213651,4.077050
cuda,botnet26t_256,128,1.622324,8.192168,2.202790,11.472135,5.487178,2.039638,0.130386,5.549421
cuda,cait_m36_384,2,4.594932,11.708666,5.994896,20.455019,11.476761,4.854945,1.611177,15.039608
cuda,coat_lite_mini,128,1.350847,6.058115,3.142878,12.076122,5.488716,2.508206,0.189646,9.242801
cuda,convit_base,32,1.425951,5.146276,2.190289,8.544243,3.951777,1.631140,0.244611,5.684892
cuda,convmixer_768_32,32,2.104962,3.729714,2.478518,4.967366,1.890291,1.002033,0.228148,3.824670
cuda,convnext_base,32,1.737655,8.073250,3.690530,16.873795,6.710809,2.697299,0.432377,12.619372
cuda,crossvit_9_240,64,2.033062,6.495528,2.795607,10.075917,4.575506,2.301131,0.319257,6.506993
cuda,cspdarknet53,64,3.224510,5.590757,2.659241,7.643481,3.911577,1.714701,0.331693,4.828809
cuda,deit_base_distilled_patch16_224,64,1.054151,3.892457,1.436151,6.580395,2.948824,1.097898,0.169450,4.192769
cuda,dla102,64,3.148802,7.372797,3.500371,10.802640,5.970299,2.498528,0.512109,7.533832
cuda,dm_nfnet_f0,128,2.614785,8.890465,4.159873,8.995760,5.781267,1.739129,0.273991,4.720068
cuda,dpn107,32,5.509775,8.831982,3.687879,12.795286,6.859955,2.836453,0.498348,8.279088
cuda,eca_botnext26ts_256,64,1.733613,8.617072,2.802090,11.489313,5.721137,2.327668,0.149519,5.752374
cuda,eca_halonext26ts,64,1.808071,10.811509,3.080379,16.076807,9.251776,3.484494,0.158527,8.688610
cuda,ese_vovnet19b_dw,128,1.224038,4.110295,1.391626,6.092999,3.160956,1.273288,0.112137,3.422338
cuda,fbnetc_100,128,2.922895,5.730737,2.073127,7.820874,4.148467,1.689270,0.283990,4.263018
cuda,fbnetv3_b,128,4.629552,8.865261,4.232397,12.030564,6.666130,2.651004,0.678944,7.571455
cuda,gernet_l,128,2.740141,4.038275,2.186287,5.017891,2.272464,1.201343,0.218738,3.258580
cuda,ghostnet_100,128,3.896962,8.599320,3.198414,13.039323,7.125180,3.005818,0.468319,7.776014
cuda,gluon_inception_v3,128,2.790802,9.355804,3.991687,13.326042,7.532023,3.577295,0.559985,8.106703
cuda,gluon_xception65,32,3.856709,6.947697,3.269108,9.612602,5.574735,1.972783,0.599511,6.120141
cuda,gmixer_24_224,64,1.804014,4.707410,2.035944,9.539429,4.215573,2.223972,0.325380,7.302326
cuda,gmlp_s16_224,64,1.632187,9.022500,2.842316,13.215926,7.524938,2.415107,0.318058,7.163241
cuda,hrnet_w18,2,10.626350,17.901778,9.872985,25.816000,15.386184,5.363498,2.563873,19.335437
cuda,inception_v3,128,2.771416,9.612407,3.957116,13.177197,7.454494,3.568957,0.557590,7.988120
cuda,jx_nest_base,32,2.550345,10.673728,4.033123,16.473546,8.752521,3.207238,0.518387,9.991822
cuda,lcnet_050,128,1.237552,3.919296,1.332830,5.036065,2.590948,1.056788,0.125352,2.500904
cuda,mixer_b16_224,64,0.799696,4.726408,1.633892,6.464895,2.761652,0.963169,0.128120,3.436532
cuda,mixnet_l,64,6.419676,6.760112,2.907037,11.113237,5.352668,3.129079,0.511338,7.395885
cuda,mnasnet_100,128,2.169112,4.984778,1.664129,6.728006,3.527324,1.430088,0.201341,3.488957
cuda,mobilenetv2_100,128,2.258392,5.268148,2.046796,6.500749,3.421218,1.413438,0.220749,3.360833
cuda,mobilenetv3_large_100,128,2.147538,5.442134,1.922587,7.617728,4.144571,1.618846,0.245091,4.184683
cuda,mobilevit_s,32,2.331326,12.859961,4.084775,21.180328,11.781759,5.482100,0.309121,12.513266
cuda,nfnet_l0,64,2.346484,4.087034,2.184838,6.960743,3.204954,1.234586,0.267502,5.476879
cuda,pit_b_224,64,1.203496,4.521437,1.933109,6.864738,2.646010,1.482538,0.191971,4.355480
cuda,pnasnet5large,16,7.825313,17.589536,6.544139,27.877976,16.620806,6.289442,1.646694,18.124804
cuda,poolformer_m36,64,2.786431,14.790856,6.471280,21.283887,13.925597,4.267563,0.637168,13.179141
cuda,regnety_002,128,2.192314,4.670795,1.662286,6.672406,3.593900,1.334492,0.235542,3.749909
cuda,repvgg_a2,128,2.760621,4.178703,1.729138,5.774091,3.108246,1.029986,0.200147,3.408900
cuda,res2net101_26w_4s,64,5.562860,14.018105,5.890339,19.882073,11.762770,4.600585,1.608468,12.028690
cuda,res2net50_14w_8s,2,4.920367,9.569462,4.681532,15.136163,8.731249,3.334024,0.767775,10.488138
cuda,res2next50,2,2.663158,5.570988,2.641202,8.498303,4.638254,2.166013,0.339502,6.089156
cuda,resmlp_12_224,128,0.764907,3.000829,1.048503,7.793853,2.257167,0.868444,0.117270,5.886126
cuda,resnest101e,32,5.421514,9.922389,4.934006,16.390010,9.316540,3.761548,1.042220,11.675701
cuda,rexnet_100,128,2.737577,7.180827,2.532969,10.823589,5.169323,2.626464,0.285677,6.629135
cuda,sebotnet33ts_256,64,2.222556,10.028340,3.290413,13.579585,7.285651,2.648570,0.213672,6.935667
cuda,selecsls42b,128,1.195489,4.207236,1.457175,7.563392,4.194248,1.680555,0.164090,4.875374
cuda,spnasnet_100,128,2.889047,5.758989,2.280777,7.510052,3.806879,1.678702,0.273415,4.131603
cuda,swin_base_patch4_window7_224,64,3.767787,16.218397,6.089104,25.144504,12.729237,4.935103,0.554088,15.204357
cuda,swsl_resnext101_32x16d,32,3.073787,5.452361,3.480926,6.958474,3.703684,1.598647,0.389747,5.145813
cuda,tf_efficientnet_b0,128,2.515861,6.377142,2.472880,9.401757,4.784824,2.292224,0.298944,5.603306
cuda,tf_mixnet_l,64,6.795074,7.729414,2.914736,11.627330,5.907288,2.863760,0.506252,6.951405
cuda,tinynet_a,128,3.061466,6.540276,2.853702,9.481688,5.146832,2.089553,0.368479,5.914564
cuda,tnt_s_patch16_224,64,2.407288,7.891555,4.083402,11.626702,6.005326,2.365506,0.549415,7.984599
cuda,twins_pcpvt_base,32,3.488653,11.240205,5.946671,19.595744,9.436272,4.850512,0.984297,14.522031
cuda,visformer_small,128,1.256737,5.229901,2.103850,6.182330,2.934691,1.003190,0.162560,3.136811
cuda,vit_base_patch16_224,64,1.045898,3.570450,1.421122,5.854318,2.626018,1.063310,0.165821,3.771398
cuda,volo_d1_224,64,1.882518,8.377302,3.433797,12.267353,6.150993,2.975804,0.366227,8.067777
cuda,xcit_large_24_p8_224,5,4.441681,17.333622,7.239164,24.928412,15.005565,5.259082,1.380869,15.151456
