dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,2.309538,3.794856,2.346425,8.365194,2.906132,1.115905,0.145006,1.314950,8.321529,0.793719
cuda,AlbertForQuestionAnswering,4,2.288676,3.703575,2.463780,8.048503,2.867346,1.089199,0.140596,0.936956,7.833776,0.416642
cuda,BartForCausalLM,4,2.380922,5.928412,2.264197,8.976417,3.276054,1.327271,0.252878,1.505885,1.703468,6.912398
cuda,BartForConditionalGeneration,2,6.626781,13.836653,7.148345,19.239292,8.521342,3.479774,1.022578,1.078995,1.187526,13.880256
cuda,BertForMaskedLM,16,2.820209,4.803396,2.303487,7.493398,3.375915,1.410864,0.284246,1.698137,6.789357,1.444098
cuda,BertForQuestionAnswering,16,2.898992,4.928772,2.297369,7.520489,3.414804,1.419371,0.279435,1.287047,6.273401,1.013748
cuda,BlenderbotSmallForCausalLM,64,1.576781,3.367308,1.450464,5.793385,1.902764,0.955776,0.158301,2.949691,6.889862,2.623247
cuda,BlenderbotSmallForConditionalGeneration,64,4.304927,8.667932,4.432646,12.794641,5.783411,2.460203,0.565714,1.993964,1.944207,10.720107
cuda,CamemBert,16,2.897124,4.813056,2.349346,7.447146,3.398217,1.425955,0.282712,0.607631,5.689722,0.328677
cuda,DebertaForMaskedLM,4,7.319641,14.697215,3.216284,18.947145,4.484618,2.251582,0.351713,16.648315,0.925514,24.365697
cuda,DebertaForQuestionAnswering,8,7.273549,14.743968,3.117029,18.583148,4.381879,2.158622,0.339597,16.593577,1.785543,23.792491
cuda,DebertaV2ForMaskedLM,1,12.351566,17.536531,3.845447,22.680998,5.491351,3.010672,0.591444,36.403605,1.554277,45.788751
cuda,DebertaV2ForQuestionAnswering,2,12.470154,17.226128,4.541539,22.458295,6.341228,3.302388,0.602396,36.441437,0.578190,46.614139
cuda,DistilBertForMaskedLM,128,1.233135,3.140445,1.204617,4.972237,1.518219,0.761569,0.120543,1.399513,4.491878,1.108123
cuda,DistilBertForQuestionAnswering,256,1.220544,3.119898,1.158626,4.930904,1.722920,0.767671,0.118779,0.840548,3.861274,0.548047
cuda,DistillGPT2,16,1.334016,4.008188,1.228429,5.968871,1.844619,0.755477,0.106085,2.260271,2.369388,5.501474
cuda,ElectraForCausalLM,32,2.925956,6.525662,2.320198,9.916312,3.430112,1.479271,0.286777,3.192957,2.582154,9.004146
cuda,ElectraForQuestionAnswering,64,3.046862,4.975866,2.334440,7.552232,3.450100,1.427557,0.281947,1.587183,6.595526,1.309372
cuda,GPT2ForSequenceClassification,4,2.853439,5.100362,2.397294,7.968595,3.048188,1.909351,0.244954,1.649403,7.015304,1.244781
cuda,LayoutLMForMaskedLM,16,3.210443,4.893556,2.376869,7.663693,3.476932,1.432180,0.288841,1.691185,6.936554,1.430327
cuda,LayoutLMForSequenceClassification,16,3.225481,4.980817,2.328598,8.935339,4.122658,1.666519,0.280951,6.449235,12.831137,6.071056
cuda,M2M100ForConditionalGeneration,16,6.442135,12.825734,6.062935,20.707917,8.030307,3.638768,0.803772,4.222295,11.518335,18.414633
cuda,MBartForCausalLM,4,2.394175,6.181360,2.392854,9.301359,3.310142,1.352805,0.298914,1.820145,1.652181,7.429881
cuda,MBartForConditionalGeneration,2,6.538312,12.578528,7.290382,19.278264,9.113865,3.587257,1.138555,1.455095,0.611168,15.992215
cuda,MT5ForConditionalGeneration,16,5.249093,9.470435,5.320421,14.700979,5.868958,2.085926,0.422969,3.701589,19.618576,14.439146
cuda,MegatronBertForCausalLM,4,5.599026,9.272771,5.885130,13.820115,6.984081,2.835592,0.799873,1.162843,11.793436,0.407619
cuda,MegatronBertForQuestionAnswering,8,5.804617,9.692504,5.915606,14.269812,7.374418,2.880047,0.817224,1.318040,12.024478,0.484773
cuda,MobileBertForMaskedLM,64,13.477590,11.080089,9.580277,23.494846,13.055370,4.955106,2.544583,3.249337,26.021046,1.676740
cuda,MobileBertForQuestionAnswering,128,13.358281,10.927758,11.056226,23.491827,12.411694,5.379616,2.834895,2.876086,27.270277,1.004543
cuda,OPTForCausalLM,2,2.445426,6.048877,2.309307,9.403811,3.800266,1.537039,0.262145,1.617903,2.115254,7.375176
cuda,PLBartForCausalLM,8,1.256376,4.527495,1.180364,6.660354,1.707006,0.751345,0.113615,1.105114,1.252271,4.468227
cuda,PLBartForConditionalGeneration,4,3.430320,7.159468,3.183006,11.160697,4.435040,1.884419,0.380611,1.975124,1.968763,9.289431
cuda,PegasusForCausalLM,32,2.398122,6.269814,2.383951,10.114352,3.379460,1.438526,0.279113,2.088446,1.834680,8.415614
