dev,name,batch_size,total_aot_graphs,ok_aot_graphs
cuda,adv_inception_v3,128,1,1
cuda,beit_base_patch16_224,64,1,1
cuda,botnet26t_256,128,1,1
cuda,cait_m36_384,2,1,1
cuda,coat_lite_mini,128,1,1
cuda,convit_base,32,26,26
cuda,convmixer_768_32,32,1,1
cuda,crossvit_9_240,64,1,1
cuda,cspdarknet53,64,1,1
cuda,deit_base_distilled_patch16_224,64,1,1
cuda,densenet121,64,12,12
cuda,dla102,64,1,1
cuda,dm_nfnet_f0,128,1,1
cuda,dpn107,32,1,1
cuda,eca_botnext26ts_256,128,1,1
cuda,eca_halonext26ts,128,1,1
cuda,ecaresnet101d,64,1,1
cuda,ese_vovnet19b_dw,128,1,1
cuda,fbnetc_100,128,1,1
cuda,fbnetv3_b,128,1,1
cuda,gernet_l,128,1,1
cuda,ghostnet_100,128,1,0
cuda,gluon_inception_v3,128,1,1
cuda,gluon_senet154,32,1,1
cuda,gluon_xception65,32,1,1
cuda,gmixer_24_224,64,1,1
cuda,gmlp_s16_224,64,1,1
cuda,hardcorenas_a,128,1,1
cuda,hrnet_w18,128,1,1
cuda,inception_v3,128,1,1
cuda,jx_nest_base,64,1,0
cuda,lcnet_050,128,1,1
cuda,legacy_senet154,32,1,1
cuda,levit_128,128,1,1
cuda,mixer_b16_224,64,1,1
cuda,mixnet_l,64,1,1
cuda,mnasnet_100,128,1,1
cuda,mobilenetv2_100,128,1,1
cuda,mobilenetv3_large_100,128,1,1
cuda,mobilevit_s,64,1,1
cuda,nasnetalarge,16,1,1
cuda,nfnet_l0,128,1,1
cuda,pit_b_224,64,1,1
cuda,pnasnet5large,16,1,1
cuda,poolformer_m36,64,1,1
cuda,regnety_002,128,1,1
cuda,repvgg_a2,128,1,1
cuda,res2net101_26w_4s,64,1,1
cuda,res2net50_14w_8s,128,1,1
cuda,res2next50,128,1,1
cuda,resmlp_12_224,128,1,1
cuda,resnest101e,32,1,1
cuda,resnet18,128,1,1
cuda,rexnet_100,128,1,1
cuda,sebotnet33ts_256,64,1,1
cuda,selecsls42b,128,1,1
cuda,spnasnet_100,128,1,1
cuda,swin_base_patch4_window7_224,64,1,0
cuda,swsl_resnext101_32x16d,32,1,1
cuda,tf_efficientnet_b0,128,1,1
cuda,tf_mixnet_l,64,1,1
cuda,tinynet_a,128,1,1
cuda,tnt_s_patch16_224,64,1,1
cuda,twins_pcpvt_base,32,1,1
cuda,visformer_small,128,1,1
cuda,vit_base_patch16_224,64,1,1
cuda,volo_d1_224,64,1,1
