,Compiler,torchbench,huggingface,timm_models
eager,eager,0.97x,1.00x,0.99x
aot_eager,aot_eager,0.87x,0.91x,0.87x
aot_cudagraphs,aot_cudagraphs,0.39x,0.36x,0.32x
nvprims_nvfuser,nvprims_nvfuser,0.81x,0.83x,0.81x
inductor,inductor,0.84x,0.72x,0.98x
inductor_no_cudagraphs,inductor_no_cudagraphs,0.99x,0.96x,1.09x
