dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,CachingAutotuner.benchmark_all_configs,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,19.309535,17.329419,13.765002,8.226110,1.830818,13.604486,3.184257,1.458248,0.145223,6.772687,9.370762
cuda,AlbertForQuestionAnswering,4,19.126241,17.169110,13.558064,8.059806,1.801723,13.621642,3.172248,1.456333,0.141872,3.182102,9.506965
cuda,BartForCausalLM,4,21.518813,18.381107,14.753265,8.761808,2.193814,12.744901,2.594241,1.586918,0.266068,1.520491,8.477091
cuda,BartForConditionalGeneration,2,43.963306,36.449393,32.824124,18.137821,4.920732,21.828596,7.924085,3.946877,1.071353,0.425606,14.349967
cuda,BertForMaskedLM,16,22.963058,19.334538,15.579069,9.082276,1.794750,12.772042,2.881545,1.899590,0.279574,2.583061,8.256178
cuda,BertForQuestionAnswering,16,23.265851,19.342233,15.703599,9.423579,2.256810,12.556823,2.889306,1.624458,0.276242,2.188263,7.883692
cuda,BlenderbotForCausalLM,4,31.767649,24.969104,21.714626,10.416355,3.618278,15.804791,5.299312,3.082368,0.681074,7.424272,13.919255
cuda,BlenderbotSmallForCausalLM,64,15.062593,12.947748,9.126812,5.307864,1.357117,8.843990,2.043393,1.084312,0.155119,2.733532,6.492522
cuda,BlenderbotSmallForConditionalGeneration,64,31.746695,26.355794,22.763739,12.319124,3.083609,15.957195,4.845888,2.678508,0.572195,2.290932,10.671033
cuda,CamemBert,16,23.058004,19.435053,15.813116,9.361413,1.802924,12.701779,3.204893,1.866636,0.278446,1.254943,7.679097
cuda,DebertaForMaskedLM,4,31.492161,25.562223,21.965229,15.471266,1.853872,23.402972,3.432337,1.868269,0.257280,3.482551,12.501106
cuda,DebertaForQuestionAnswering,8,29.986851,24.476990,21.397723,14.918561,2.076868,23.066267,3.592125,1.853410,0.255604,3.140944,12.939505
cuda,DebertaV2ForMaskedLM,1,45.359658,33.436218,29.592851,17.642954,2.508825,23.317462,3.795555,2.438842,0.486986,1.384465,13.191170
cuda,DebertaV2ForQuestionAnswering,2,43.135331,31.994645,28.236335,15.959649,2.844702,22.431897,5.180613,3.123985,0.502083,14.358142
cuda,DistilBertForMaskedLM,128,16.807657,15.212131,11.308000,8.096308,0.986873,11.450937,1.764624,0.893820,0.114591,6.814728,5.619248
cuda,DistilBertForQuestionAnswering,256,17.218078,15.593204,11.556230,8.336816,0.975161,12.025041,1.775990,0.894131,0.110750,9.119354,5.942122
cuda,DistillGPT2,16,15.905705,14.203824,10.519608,7.673666,1.024300,10.712461,1.837370,0.879894,0.105110,4.578882,5.239399
cuda,ElectraForCausalLM,32,23.432478,19.830322,16.092599,9.631611,1.845877,13.315032,3.386118,1.928365,0.280730,8.231429,7.992606
cuda,ElectraForQuestionAnswering,64,23.194957,19.518698,15.714360,9.258439,1.793038,12.709825,2.900103,1.897649,0.278841,2.543605,7.999796
cuda,GPT2ForSequenceClassification,4,21.696085,18.380467,14.842947,9.493572,2.298983,10.686457,2.856830,1.571295,0.240560,1.518989,5.686965
cuda,GoogleFnet,16,14.993212,13.115310,9.443521,6.407248,1.376969,10.275756,2.111781,0.970638,0.101909,2.492640,6.540329
cuda,LayoutLMForMaskedLM,16,23.136545,19.316489,15.806502,9.567244,1.834141,13.417800,3.520416,1.681529,0.284029,2.611293,8.153175
cuda,LayoutLMForSequenceClassification,16,22.865592,19.090248,15.566472,9.404722,1.798917,14.498454,4.098064,1.881516,0.278458,6.807080,9.316784
cuda,M2M100ForConditionalGeneration,16,43.013102,35.522449,31.905849,16.929545,4.995384,23.426180,8.104556,4.151232,1.168608,23.322662,17.455099
cuda,MBartForCausalLM,4,22.456118,19.013647,15.343439,9.700244,2.206062,13.837236,2.534738,1.604521,0.252919,1.425291,8.628661
cuda,MBartForConditionalGeneration,2,43.714009,36.189656,32.568637,17.801076,4.980309,21.288313,7.708177,3.979673,1.069481,0.407113,14.230702
cuda,MT5ForConditionalGeneration,16,39.476352,33.215373,29.570826,18.030955,3.272276,21.565474,5.207696,2.330478,0.489202,34.117289,11.529648
cuda,MegatronBertForCausalLM,4,36.766679,29.665515,25.832912,14.038208,3.506958,18.254000,6.335656,3.169499,0.742936,3.032232,12.794247
cuda,MegatronBertForQuestionAnswering,8,38.172149,31.012658,27.152398,14.522082,3.530936,19.096278,6.309686,3.112335,0.733079,2.502177,13.373134
cuda,MobileBertForMaskedLM,64,53.496076,38.625195,35.676852,15.487135,5.684510,25.264598,9.460143,5.766700,2.379775,18.524756,24.310978
cuda,MobileBertForQuestionAnswering,128,53.764537,39.006889,35.999474,15.291802,5.661402,25.449479,9.391196,5.773123,2.382514,18.410632,24.313293
cuda,OPTForCausalLM,2,19.605628,16.796664,13.624886,8.066510,1.909181,12.016150,2.991443,1.642247,0.251797,1.869194,8.078596
cuda,PLBartForCausalLM,8,16.197623,14.501276,10.222810,7.164368,0.953640,11.508724,1.494662,1.058222,0.111507,1.280915,6.506040
cuda,PLBartForConditionalGeneration,4,27.399798,23.315668,20.203606,12.317694,2.620793,16.568042,3.901561,2.147979,0.400563,1.682438,10.018274
cuda,PegasusForCausalLM,32,17.945742,14.897033,11.889114,6.309800,1.710339,10.350032,2.919338,1.565910,0.243369,2.082723,7.987008
cuda,PegasusForConditionalGeneration,32,34.938170,30.391106,27.478071,13.020163,4.848241,17.237569,7.005041,4.347964,1.043165,1.643530,14.754871
cuda,RobertaForCausalLM,16,21.004259,17.573178,14.765043,8.746638,1.775786,11.429723,2.919543,1.892661,0.276544,1.655626,7.101957
cuda,RobertaForQuestionAnswering,16,23.449534,19.924173,15.757883,9.601162,1.784371,11.618034,2.922758,1.903743,0.277754,0.922349,6.501835
cuda,Speech2Text2ForCausalLM,256,14.147357,12.487234,7.728790,4.916033,0.845985,8.980388,1.385370,0.831131,0.108293,3.361229,6.037252
cuda,T5ForConditionalGeneration,4,27.643128,23.166234,20.331475,12.747863,2.362565,14.713091,3.086573,1.689155,0.310919,8.529680,7.586941
cuda,T5Small,4,27.578600,23.429630,20.511268,12.898387,2.463916,15.569657,3.347903,1.694959,0.312610,8.686209,8.097769
cuda,TrOCRForCausalLM,32,21.255151,18.159811,14.698806,8.801646,1.668738,13.111034,3.060060,1.567473,0.256576,1.122713,8.234835
cuda,XGLMForCausalLM,8,33.529223,27.668819,24.820513,12.941233,4.023350,17.732726,6.447881,3.300895,0.758389,25.466311,13.846982
cuda,XLNetLMHeadModel,8,54.932064,47.804778,44.457648,25.788384,5.431898,27.511865,14.718640,3.947384,0.917125,10.972730,14.212432
cuda,YituTechConvBert,16,29.074934,23.735775,20.760329,11.418625,3.107306,17.193827,5.211662,2.475917,0.463481,12.334196,12.396111
