dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,CachingAutotuner.autotune_to_one_config,compile_fx.<locals>.bw_compiler
cuda,BERT_pytorch,16,2.177300,6.956711,2.833163,9.593764,3.430908,1.680122,0.272702,0.000006,9.932479,5.572670
cuda,Background_Matting,4,1.394309,4.867730,1.970103,8.008575,4.034026,1.734432,0.183852,0.467977,5.648919
cuda,LearningToPaint,96,0.605663,2.563505,0.842770,3.320660,0.936860,0.450595,0.069332,0.230403,1.861673
cuda,Super_SloMo,6,1.426223,6.435915,2.139314,7.390863,3.494444,1.305689,0.092628,0.337530,3.485164
cuda,alexnet,128,0.102543,1.518196,0.174168,2.211985,0.369774,0.160678,0.011613,0.143341,1.017292
cuda,attention_is_all_you_need_pytorch,256,1.823425,21.181921,2.950745,24.179134,3.866886,1.429223,0.312212,2.486407,14.164299,8.540430
cuda,dcgan,32,0.123188,1.926715,0.158351,2.511037,0.156424,0.074783,0.010508,0.106394,2.720642,0.855339
cuda,demucs,4,0.226571
cuda,densenet121,4,3.561115,13.651456,7.140469,20.324013,11.902407,3.746186,0.566941,0.941780,14.965044
cuda,dlrm,2048,0.379604,1.116652,0.149622,2.054868,0.335943,0.105786,0.013677,0.118118,1.212647
cuda,drq,1,0.200075,1.709314,0.122982,2.690428,0.098404,0.049580,0.012014,0.362711,1.474000
cuda,fastNLP_Bert,6,2.201677,8.609794,2.676452,12.405560,2.975046,1.706808,0.253319,2.619252,6.028222,9.187473
cuda,functorch_dp_cifar10,64,0.331715,3.441162,1.397757,5.768482,1.918882,0.658180,0.059311,3.363699,5.587749,7.128614
cuda,hf_Albert,8,1.677495,3.181977,2.068887,7.043392,3.001412,1.008553,0.145620,4.694477,10.709999,4.005351
cuda,hf_Bart,4,2.445774,9.831956,3.485635,14.023167,5.056188,1.737779,0.369967,3.701830,4.201271,11.506676
cuda,hf_Bert,4,2.195586,6.698010,2.800644,8.832267,2.860992,1.237785,0.254039,2.443565,7.473139,1.930606
cuda,hf_DistilBert,8,0.889637,3.175856,1.221084,5.051968,1.494910,0.643640,0.115580,3.232618,6.382494,2.819815
