,Compiler,torchbench,timm_models
eager,eager,"96%, 52/54","100%, 61/61"
aot_eager,aot_eager,"94%, 51/54","100%, 61/61"
inductor,inductor,"85%, 46/54","90%, 55/61"
inductor_no_cudagraphs,inductor_no_cudagraphs,"87%, 47/54","90%, 55/61"
