dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,12.793528,11.128453,3.951625,2.259107,8.826802,3.328163,1.145375,0.146554,1.378613,8.604803,0.804366
cuda,AlbertForQuestionAnswering,4,12.550675,10.965086,3.917849,2.198415,8.332113,2.975566,1.129000,0.144643,0.936744,7.639284,0.414144
cuda,AllenaiLongformerBase,4,52.635737,45.781199,28.051165,7.365230,33.062411,14.487244,4.551304,0.417181,22.413303,0.660597,35.139997
cuda,BartForCausalLM,4,15.110986,13.552078,6.167499,1.906139,9.451800,3.116803,1.380553,0.268603,2.162641,2.466842,7.448325
cuda,BartForConditionalGeneration,2,37.236458,32.991611,14.281353,5.148129,19.941107,8.656043,3.472081,1.047106,0.953522,1.188097,12.279161
cuda,BertForMaskedLM,16,14.777920,12.792201,5.235050,2.074045,8.023300,3.595346,1.505189,0.300391,1.849744,6.814581,1.460989
cuda,BertForQuestionAnswering,16,15.233087,13.252212,5.455945,2.071290,8.101674,3.730495,1.508737,0.293730,1.404612,6.225288,1.022367
cuda,BlenderbotSmallForCausalLM,64,9.903340,8.820799,3.658113,1.313640,6.096733,2.077066,1.019996,0.170781,2.886456,6.705047,2.556618
cuda,BlenderbotSmallForConditionalGeneration,64,24.537308,21.605913,9.057492,3.631221,13.370119,5.945043,2.515230,0.608813,2.033918,1.961145,10.145323
cuda,CamemBert,16,14.627378,12.648916,5.138041,2.034228,7.950939,3.571375,1.501773,0.299007,0.730793,5.679382,0.334215
cuda,DebertaForMaskedLM,4,28.953448,23.210098,14.153832,3.136874,17.640339,4.826639,2.308034,0.360824,19.103448,0.955147,25.989254
cuda,DebertaForQuestionAnswering,8,28.798354,23.040631,14.052442,3.070042,17.384755,4.703963,2.273360,0.350173,19.141560,1.841602,25.802340
cuda,DebertaV2ForMaskedLM,1,42.256408,32.133967,16.688253,3.761829,21.352920,5.883859,3.154177,0.624001,45.054769,1.531237,53.906304
cuda,DebertaV2ForQuestionAnswering,2,41.645126,31.597404,16.231341,4.372969,20.864452,6.733861,3.474400,0.628779,44.798374,0.583258,54.229617
cuda,DistilBertForMaskedLM,128,7.946400,7.174904,3.272383,1.240070,4.931748,1.620796,0.796472,0.125927,1.381911,4.333697,1.141942
cuda,DistilBertForQuestionAnswering,256,8.075080,7.290799,3.367720,1.057949,5.279067,1.644931,0.801132,0.119796,0.806956,3.828187,0.555035
cuda,DistillGPT2,16,8.830694,7.914951,4.261875,1.213584,6.190252,1.895407,0.809675,0.113485,2.227003,2.352337,5.421157
cuda,ElectraForCausalLM,32,16.356700,14.385986,6.948680,2.045389,10.620275,3.429192,1.879383,0.302167,3.196169,2.599614,9.017246
cuda,ElectraForQuestionAnswering,64,15.168866,13.112051,5.217192,2.064328,7.913493,3.604241,1.507624,0.293306,1.771813,6.632855,1.351942
cuda,GPT2ForSequenceClassification,4,13.727441,11.794699,5.292819,2.469735,7.836512,3.233007,1.402189,0.256267,1.710494,6.816040,1.424379
cuda,LayoutLMForMaskedLM,16,14.855207,12.677788,5.131532,2.068004,8.033463,3.617920,1.508424,0.299920,1.818996,6.891065,1.433974
cuda,LayoutLMForSequenceClassification,16,14.918260,12.723237,5.171527,2.056513,9.254542,4.283222,1.722984,0.294794,6.359338,12.598891,5.950620
cuda,M2M100ForConditionalGeneration,16,35.253947,31.099190,13.009559,4.958226,21.282183,8.273302,3.717585,0.813578,4.905849,11.793433,18.380892
cuda,MBartForCausalLM,4,15.624311,14.063058,6.596727,2.035878,10.140972,3.610650,1.441911,0.290090,2.358097,2.349109,8.045436
cuda,MBartForConditionalGeneration,2,36.481943,32.286121,13.163917,5.370270,19.833866,9.260842,3.589556,1.140978,0.992874,0.595845,13.562888
cuda,MT5ForConditionalGeneration,16,25.246143,21.633240,9.187135,3.544020,15.626525,6.486195,2.180479,0.469900,4.365137,20.588385,14.540146
cuda,MegatronBertForCausalLM,4,29.070578,25.158442,9.770160,4.743370,14.646286,7.369921,2.999261,0.842421,1.190020,11.009068,0.405787
cuda,MegatronBertForQuestionAnswering,8,27.655151,23.944377,9.445801,4.532868,14.291957,7.179214,2.895068,0.851238,1.257636,10.839871,0.520737
cuda,MobileBertForMaskedLM,64,46.748812,38.699276,11.394896,7.266915,24.085467,13.267784,5.072529,2.875146,3.188369,23.915161,1.771883
cuda,MobileBertForQuestionAnswering,128,46.703943,38.682363,11.281401,7.589183,25.292958,13.735339,5.566463,3.170091,2.732978,25.095774,1.026138
cuda,OPTForCausalLM,2,15.140049,13.426403,6.387546,2.013457,9.866198,3.937781,1.592055,0.275292,2.539349,3.081746,8.126156
cuda,PLBartForCausalLM,8,9.429338,8.618498,4.744631,1.040105,6.998579,1.594511,0.772910,0.119302,1.381972,1.560722,4.726291
cuda,PLBartForConditionalGeneration,4,19.872094,17.640498,7.608821,2.709293,11.932712,4.714971,1.969337,0.411855,2.657616,2.799213,9.822087
cuda,PegasusForCausalLM,32,14.895742,13.325948,6.256907,2.218784,10.123463,3.313210,1.502872,0.301395,2.744618,2.526576,8.929014
cuda,PegasusForConditionalGeneration,32,34.451076,30.500186,12.122904,5.211972,19.881643,8.397380,3.747227,0.846226,2.337303,0.658508,15.565582
cuda,RobertaForCausalLM,16,15.247844,13.282982,5.803542,2.044335,8.350964,3.638634,1.509399,0.293494,0.715340,0.702894,5.406767
cuda,RobertaForQuestionAnswering,16,14.661467,12.687288,5.173133,2.021189,7.511952,3.508676,1.477354,0.287828,0.386982,4.846987
cuda,Speech2Text2ForCausalLM,256,9.463776,8.595505,5.127723,0.896287,7.591779,1.481725,0.722432,0.114176,1.501753,1.355084,4.910860
cuda,T5ForConditionalGeneration,4,17.991459,15.413176,7.092622,2.649536,10.865454,4.235625,1.585403,0.298355,3.140006,6.533412,9.689469
cuda,T5Small,4,18.293987,15.711416,7.193187,2.397133,11.217184,4.529040,1.585680,0.295781,2.977946,6.379140,9.529263
cuda,TrOCRForCausalLM,32,15.109087,13.583634,6.133676,1.920383,9.658141,3.211236,1.462814,0.286791,1.315654,1.351275,6.856107
cuda,XGLMForCausalLM,8,29.860388,26.638957,11.278016,4.998458,17.568233,7.184237,2.953114,0.787377,4.447740,32.806081,15.952586
cuda,XLNetLMHeadModel,8,42.740284,38.421572,17.815370,7.907298,21.420277,12.205565,3.363722,0.817505,7.951062,11.810664
cuda,YituTechConvBert,16,22.499839,19.702900,8.388605,3.793214,13.873008,5.464775,2.238595,0.495713,6.152516,7.917033,15.590239
