,Compiler,torchbench,huggingface,timm_models
eager,eager,1.76,3.12,2.19
aot_eager,aot_eager,7.02,11.83,9.86
inductor,inductor,26.55,38.68,43.27
inductor_no_cudagraphs,inductor_no_cudagraphs,26.37,33.07,41.40
