dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,1.644314,3.219119,1.597396,7.387559,2.608606,1.210509,0.135396,1.574684,7.418208,1.035218
cuda,AlbertForQuestionAnswering,4,1.721532,3.218824,1.570139,7.276472,2.614522,0.955664,0.132462,1.053490,6.758265,0.525508
cuda,BartForCausalLM,4,1.712998,5.954394,1.815179,8.217597,2.768493,1.074183,0.208483,2.038614,2.421590,6.205214
cuda,BartForConditionalGeneration,2,4.603732,13.293833,4.092995,18.287358,7.624227,2.716750,0.772155,0.946126,1.810744,10.257330
cuda,BertForMaskedLM,64,2.314126,6.239343,1.839687,8.194152,2.886383,1.177926,0.233617,3.112906,6.998369,2.550247
cuda,BertForQuestionAnswering,128,2.370109,6.183367,1.816072,8.219550,2.821124,1.158315,0.235154,1.949546,5.894362,1.367967
cuda,BigBird,1,9.601159,5.434226,1.205094,9.166777,1.917214,0.913347,0.183730,7.960936,13.003978,0.551354
cuda,BlenderbotSmallForCausalLM,64,1.143322,3.363285,1.263194,5.628928,1.803936,0.811535,0.136693,4.666998,8.255415,4.275238
cuda,BlenderbotSmallForConditionalGeneration,64,3.073852,8.515538,3.131381,12.058554,4.940887,1.989299,0.480494,3.346169,3.628420,10.169517
cuda,CamemBert,1,2.276086,6.068757,1.609940,7.906146,2.690554,1.090938,0.228464,1.331502,4.870065,0.944483
cuda,DebertaForMaskedLM,4,6.435735,13.561614,2.911154,16.931299,3.960181,1.871673,0.313525,19.459590,1.242701,25.971735
cuda,DebertaForQuestionAnswering,8,6.735489,13.182917,2.877831,16.946354,3.945969,1.890469,0.313258,24.385000,3.277874,31.265432
cuda,DistilBertForMaskedLM,64,0.854321,3.270269,1.046433,4.654981,1.610560,0.625907,0.109613,2.827830,5.305865,2.530762
cuda,DistilBertForQuestionAnswering,64,0.878153,3.251823,1.010329,4.606148,1.580965,0.621336,0.103488,2.410386,4.821720,2.095599
cuda,DistillGPT2,1,1.071088,2.551220,0.738466,4.343484,1.146803,0.567620,0.091937,7.354677,9.928836,7.130204
cuda,ElectraForCausalLM,32,2.362206,8.604381,1.918196,11.852629,3.067826,1.263096,0.237857,4.959693,4.187703,10.227048
cuda,ElectraForQuestionAnswering,64,2.338867,6.252750,1.853441,8.220924,2.883111,1.190729,0.239544,2.869019,6.785666,2.289350
cuda,GPT2ForSequenceClassification,4,2.155840,4.287617,1.868565,6.489495,2.383108,1.139571,0.204010,2.237239,6.391663,1.873865
cuda,GoogleFnet,1,1.220479,5.048218,0.964643,8.379040,1.427728,0.702505,0.115808,5.047400,9.408779,1.065841
cuda,LayoutLMForMaskedLM,16,2.843117,6.368616,1.902622,8.349125,2.995043,1.209721,0.239288,2.963427,6.938415,2.423682
cuda,LayoutLMForSequenceClassification,16,2.586033,6.206474,1.838067,9.704204,3.576112,1.401513,0.234442,13.366922,18.794995,12.901474
cuda,M2M100ForConditionalGeneration,8,4.472906,11.852296,3.474255,18.596330,6.300072,3.131758,0.637087,6.660944,27.798246,17.093456
cuda,MBartForCausalLM,32,1.730697,7.440947,1.865225,10.009709,2.909137,1.181243,0.220662,1.958915,2.037113,6.481123
cuda,MBartForConditionalGeneration,16,4.535499,12.752393,4.194417,18.178214,7.434370,2.922017,0.861715,0.956022,0.787233,10.800271
cuda,MT5ForConditionalGeneration,8,4.796819,6.405115,2.822736,10.979962,4.639928,1.627348,0.419825,8.180411,15.739328,7.722516
cuda,MegatronBertForCausalLM,16,4.487432,8.524116,3.835505,11.703111,5.699578,2.299477,0.600224,3.083015,10.279940,2.328171
cuda,MegatronBertForQuestionAnswering,16,4.527632,8.014000,3.803142,11.085497,5.584494,2.260095,0.607741,2.475407,9.531814,1.730724
cuda,MobileBertForMaskedLM,32,11.244303,6.167454,4.286567,15.000728,7.019857,3.512710,1.722551,5.442681,18.877836,4.373257
cuda,MobileBertForQuestionAnswering,64,10.595338,6.075935,4.164473,14.883676,6.943817,3.528350,1.708472,3.851574,17.134024,2.631049
cuda,OPTForCausalLM,32,1.769507,4.589572,1.764562,7.239388,2.834031,1.217902,0.217486,2.212509,6.707139,1.806186
cuda,PLBartForCausalLM,32,0.896122,4.642617,1.078798,6.650705,1.717284,0.652033,0.100773,2.141438,2.772264,5.275465
cuda,PLBartForConditionalGeneration,16,2.436326,7.283636,2.387820,10.948440,4.327384,1.608960,0.344697,4.048903,5.018849,10.449258
cuda,PegasusForCausalLM,32,1.792979,6.660148,1.823145,9.615448,2.800076,1.172277,0.221606,2.428875,2.692846,7.295423
cuda,PegasusForConditionalGeneration,16,4.358086,12.051613,4.107774,16.665436,6.235950,3.217831,0.639341,2.401898,1.997991,11.346566
cuda,RobertaForCausalLM,64,2.240483,6.491220,1.871196,8.281362,2.976738,1.216087,0.238178,0.903024,0.748812,4.657401
cuda,RobertaForQuestionAnswering,128,2.297045,6.305237,1.839185,8.167020,2.864878,1.180640,0.234550,0.666003,4.460476
cuda,Speech2Text2ForCausalLM,128,0.943618,4.626606,0.784341,7.335175,1.237534,0.595562,0.095854,2.152725,2.840199,5.687791
cuda,T5ForConditionalGeneration,4,3.181397,6.490823,1.907568,11.810977,3.269597,1.244846,0.274798,3.635875,7.556250,10.973741
cuda,T5Small,1,3.152534,6.264573,1.522298,8.664713,2.458638,1.100837,0.267561,6.940727,13.403838,11.196762
cuda,TrOCRForCausalLM,32,1.646864,6.025107,1.809658,8.588893,2.847421,1.152150,0.218698,1.970019,2.375063,6.430153
cuda,XGLMForCausalLM,8,3.650023,15.673196,4.087882,20.501336,7.101047,2.660835,0.588700,5.957729,48.549769,15.061090
cuda,YituTechConvBert,1,3.263662,8.667457,2.784446,12.654838,3.832321,1.564784,0.383135,9.336343,22.226598,16.245733
