dev,name,batch_size,accuracy,calls_captured,unique_graphs,graph_breaks,unique_graph_breaks
cuda,AlbertForMaskedLM,1,pass,436,4,8,6
cuda,AlbertForQuestionAnswering,1,pass,436,4,8,6
cuda,AllenaiLongformerBase,1,fail_to_run,88,10,18,7
cuda,BartForCausalLM,1,pass,482,14,12,9
cuda,BartForConditionalGeneration,1,pass,1258,1,5,4
cuda,BertForMaskedLM,1,pass,366,3,8,5
cuda,BertForQuestionAnswering,1,pass,373,3,8,5
cuda,BlenderbotForCausalLM,1,pass_due_to_skip,0,0,0,0
cuda,BlenderbotSmallForCausalLM,1,pass,327,10,12,9
cuda,BlenderbotSmallForConditionalGeneration,1,pass,840,1,5,4
cuda,CamemBert,1,pass,373,3,8,5
cuda,DebertaForMaskedLM,1,pass,712,53,52,12
cuda,DebertaForQuestionAnswering,1,pass,719,53,52,12
cuda,DebertaV2ForMaskedLM,1,pass_due_to_skip,0,0,0,0
cuda,DebertaV2ForQuestionAnswering,1,fail_to_run,924,101,87,11
cuda,DistilBertForMaskedLM,1,pass,206,1,5,4
cuda,DistilBertForQuestionAnswering,1,pass,214,1,5,4
cuda,DistillGPT2,1,pass,336,1,5,4
cuda,ElectraForCausalLM,1,pass,371,5,11,7
cuda,ElectraForQuestionAnswering,1,pass,374,3,8,5
cuda,GPT2ForSequenceClassification,1,pass,656,2,6,5
cuda,LayoutLMForMaskedLM,1,pass,393,5,9,6
cuda,LayoutLMForSequenceClassification,1,pass,391,6,10,7
cuda,M2M100ForConditionalGeneration,1,pass,1266,19,18,8
cuda,MBartForCausalLM,1,pass,481,14,12,9
cuda,MBartForConditionalGeneration,1,pass,1263,1,5,4
cuda,MT5ForConditionalGeneration,1,pass,1163,7,12,5
cuda,MegatronBertForCausalLM,1,pass,717,3,8,5
cuda,MegatronBertForQuestionAnswering,1,pass,720,3,8,5
cuda,MobileBertForMaskedLM,1,pass,1443,3,7,4
cuda,MobileBertForQuestionAnswering,1,pass,1447,3,7,4
cuda,OPTForCausalLM,1,pass,533,14,12,9
cuda,PLBartForCausalLM,1,pass,254,8,12,9
cuda,PLBartForConditionalGeneration,1,pass,658,10,15,8
cuda,PegasusForCausalLM,1,pass,478,16,13,9
cuda,PegasusForConditionalGeneration,1,pass,1244,7,15,6
cuda,RobertaForCausalLM,1,pass,377,3,8,5
cuda,RobertaForQuestionAnswering,1,pass,380,3,8,5
cuda,Speech2Text2ForCausalLM,1,pass,261,10,13,9
cuda,T5ForConditionalGeneration,1,pass,800,7,12,5
cuda,T5Small,1,pass,800,7,12,5
cuda,TrOCRForCausalLM,1,pass,481,14,12,9
cuda,XGLMForCausalLM,1,pass,998,28,13,9
cuda,XLNetLMHeadModel,1,pass,759,27,21,9
cuda,YituTechConvBert,1,pass,630,5,11,7
