dev,name,batch_size,convert_frame_assert.<locals>._convert_frame_assert,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler,CachingAutotuner.autotune_to_one_config
cuda,AlbertForMaskedLM,4,10.098412,8.813413,3.426229,1.781216,7.544521,3.075036,1.032997,0.137861,1.453193,7.431306,0.889860
cuda,AlbertForQuestionAnswering,4,10.312577,9.015826,3.543073,1.756726,8.019666,3.089492,1.030361,0.134861,1.132079,7.444952,0.513626
cuda,BartForCausalLM,4,12.633907,11.163442,5.700322,1.875199,8.690830,2.526785,1.130019,0.220666,1.328600,1.448307,6.278157
cuda,BartForConditionalGeneration,2,31.505996,28.103436,13.998742,4.837487,19.199666,7.884029,2.885726,0.820971,0.975255,1.183711,11.231130
cuda,BertForMaskedLM,16,13.168742,11.504708,5.859355,1.797017,8.414497,2.681464,1.570902,0.250955,1.911732,6.544161,1.441822
cuda,BertForQuestionAnswering,16,13.655765,11.893491,5.914943,1.791858,8.412132,2.676306,1.546988,0.247331,1.480958,6.046845,1.000160
cuda,BlenderbotSmallForCausalLM,64,7.968059,7.111188,3.307259,1.332765,5.571685,1.868085,0.870418,0.148338,2.438806,6.094229,2.091372
cuda,BlenderbotSmallForConditionalGeneration,64,20.023166,17.693171,8.084225,2.900944,12.470906,5.323309,2.097573,0.494748,2.075135,1.933357,9.510936
cuda,CamemBert,16,13.329732,11.621992,5.923765,1.992615,8.472440,2.670685,1.564073,0.250096,0.818523,5.450202,0.336479
cuda,DebertaForMaskedLM,4,26.118096,20.562385,12.478863,2.589738,15.961770,3.964464,1.929571,0.325618,17.595068,0.842677,23.911109
cuda,DebertaForQuestionAnswering,8,26.072430,20.454133,12.341521,2.559346,16.049431,3.942246,1.908833,0.321976,18.674500,1.777076,25.184438
cuda,DebertaV2ForMaskedLM,1,35.245051,26.665594,14.426684,2.982094,18.517329,4.461226,2.382671,0.561646,43.148536,1.577546,50.611395
cuda,DebertaV2ForQuestionAnswering,2,34.953231,26.330214,14.084606,3.590006,18.554013,5.241127,2.775165,0.561330,43.127092,0.492796,51.579031
cuda,DistilBertForMaskedLM,128,6.811484,6.182898,3.116752,0.935051,4.963897,1.428398,0.861547,0.109382,1.505550,4.333133,1.185769
cuda,DistilBertForQuestionAnswering,256,7.247483,6.567050,3.220560,0.957802,5.159932,1.454293,0.918729,0.110409,0.915194,3.858759,0.577798
cuda,DistillGPT2,16,8.658154,7.857509,4.956420,1.008439,6.802267,1.443333,0.678526,0.097862,2.075144,2.673666,4.971938
